rxn_id,mw_kDa,kcat_s,source,group
R05085__cyto,42.76,5.9853,dlkcat,Vitamin B6 metabolism
R03663__cyto,125.49,1.2998,dlkcat,Aminoacyl-tRNA biosynthesis
R08240__cyto,56.03,2.8683,dlkcat,Drug metabolism - other enzymes
R01280__pero,77.35,3.1745,dlkcat,Fatty acid biosynthesis
R01214__cyto,41.27,1.3939,dlkcat,Glucosinolate biosynthesis
R04404__cyto,124.76,13.7,default_13.7,Inositol phosphate metabolism
R04162__cyto,68.542727,13.7,default_13.7,Ether lipid metabolism
R02957__cyto,55.203333,43.51,dlkcat,Ascorbate and aldarate metabolism
R01801__mito,32.86,7.5063,dlkcat,Glycerophospholipid metabolism
R03451__cyto,45.76,0.9509,dlkcat,Lysine degradation
R09881__cyto,83.995,15.6904,dlkcat,
R04535__cyto,132.035,13.7,default_13.7,Fatty acid biosynthesis
R01126__cyto,44.765,34.9746,dlkcat,Purine metabolism
R02056__cyto,60.335,13.7,default_13.7,Glycerophospholipid metabolism
R02111__cyto,136.615,13.7,default_13.7,Biosynthesis of secondary metabolites
R00943__cyto,198.965,35.0752,dlkcat,Carbon fixation pathways in prokaryotes
R07758__cyto,37.565,0.651,dlkcat,Fatty acid metabolism
R09409__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R01624__cyto,227.86,6.4311,dlkcat,Fatty acid biosynthesis
R01654__cyto,51.505,1.7047,dlkcat,
R04125__cyto,42.96,4.6888,dlkcat,"Glycine, serine and threonine metabolism"
R00259__cyto,46.21,64.0371,dlkcat,2-Oxocarboxylic acid metabolism
R02019__cyto,81.16,13.7,default_13.7,Purine metabolism
R08237__cyto,37.815,1.472,dlkcat,Drug metabolism - other enzymes
R01163__cyto,92.31,3.0767,dlkcat,Histidine metabolism
R02335__cyto,115.5125,25.9708,dlkcat,Amino sugar and nucleotide sugar metabolism
R03942__cyto,26.96,3.4761,dlkcat,Microbial metabolism in diverse environments
R00570__cyto,17.08,13.7,default_13.7,Pyrimidine metabolism
R03815__mito,51.85,13.7,default_13.7,"Glycine, serine and threonine metabolism"
R00508__cyto,39.41,38.4106,dlkcat,Microbial metabolism in diverse environments
R09222__cyto,33.52,1.7413,dlkcat,Microbial metabolism in diverse environments
R01244__cyto,39.97,12.1649,dlkcat,Purine metabolism
R08245__cyto,37.815,0.3999,dlkcat,Drug metabolism - other enzymes
R01933__cyto,50.1,13.4805,dlkcat,Biosynthesis of antibiotics
R04433__mito,71.05,3.2844,dlkcat,
R06171__cyto,41.315,5.0157,dlkcat,"Glycine, serine and threonine metabolism"
R00321__cyto,42.756,6.1908,dlkcat,
R00512__cyto,34.66,1.4795,dlkcat,Pyrimidine metabolism
R09827__cyto,124.76,13.7,default_13.7,Inositol phosphate metabolism
R00258__mito,56.13,0.1196,dlkcat,2-Oxocarboxylic acid metabolism
R03950__cyto,50.856429,2.758,dlkcat,
R00760__cyto,176.006667,57.9861,dlkcat,Biosynthesis of secondary metabolites
R08772__mito,93.21,13.7,default_13.7,Ubiquinone and other terpenoid-quinone biosynthesis
R02327__cyto,58.325,43.2786,dlkcat,Pyrimidine metabolism
R02767__cyto,99.21,13.7,default_13.7,Fatty acid biosynthesis
R02466__cyto,59.86,2.7747,dlkcat,Taurine and hypotaurine metabolism
R11957__cyto,78.464286,15.2807,dlkcat,
R11679__cyto,249.62,1.138,dlkcat,Biosynthesis of amino acids
R01184__cyto,39.14,2.7199,dlkcat,Ascorbate and aldarate metabolism
R04247__cyto,39.33,1.4665,dlkcat,Phosphonate and phosphinate metabolism
R12402__cyto,44.092,6.2537,dlkcat,
R01185__cyto,81.812857,11.4647,dlkcat,Inositol phosphate metabolism
R08549__mito,71.523333,15.7152,dlkcat,Biosynthesis of antibiotics
R04463__cyto,147.16,7.7393,dlkcat,Biosynthesis of antibiotics
R01248__cyto,28.97,54.3003,dlkcat,Biosynthesis of antibiotics
R00174__cyto,34.515,25.2374,dlkcat,Vitamin B6 metabolism
R03199__cyto,54.49,8.5824,dlkcat,Biosynthesis of antibiotics
R02057__cyto,32.86,8.7395,dlkcat,Glycerophospholipid metabolism
R01528__cyto,55.69,43.4866,dlkcat,Glutathione metabolism
R02239__cyto,45.32,13.7,default_13.7,Glycerophospholipid metabolism
R04903__cyto,55.203333,18.4901,dlkcat,Tryptophan metabolism
R02115__cyto,64.688182,13.7,default_13.7,
R08178__cyto,43.78,1.1407,dlkcat,Biosynthesis of unsaturated fatty acids
R00512__mito,34.66,1.4795,dlkcat,Pyrimidine metabolism
R04184__cyto,62.863333,128.7754,dlkcat,
R00829__cyto,74.11,12.4485,dlkcat,Microbial metabolism in diverse environments
R03503__cyto,83.16,5.3158,dlkcat,Folate biosynthesis
R05238__cyto,55.203333,6.1735,dlkcat,Microbial metabolism in diverse environments
R00220__cyto,88.56,11.6792,dlkcat,Biosynthesis of antibiotics
R07349__cyto,41.33,13.7,default_13.7,
R04747__cyto,43.63,0.4195,dlkcat,Fatty acid elongation
R08549__cyto,71.523333,15.7152,dlkcat,Biosynthesis of antibiotics
R01802__cyto,23.93,9.6511,dlkcat,Inositol phosphate metabolism
R03223__cyto,54.51,0.9467,dlkcat,Thiamine metabolism
R00004__cyto,67.128333,13.7,default_13.7,Oxidative Phosphorilation
R07069__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R03321__cyto,61.27,11.0694,dlkcat,Biosynthesis of antibiotics
R06223__cyto,50.36,0.2959,dlkcat,
R00224__cyto,70.973333,6.9188,dlkcat,
R03662__cyto,51.555,5.461,dlkcat,Aminoacyl-tRNA biosynthesis
R00161__cyto,30.71,12.0779,dlkcat,Riboflavin metabolism
R05237__cyto,55.203333,6.1735,dlkcat,Microbial metabolism in diverse environments
R12401__cyto,44.092,1.9718,dlkcat,Steroid biosynthesis
R06917__cyto,47.68,80.1655,dlkcat,Degradation of aromatic compounds
R04754__cyto,79.816667,9.2341,dlkcat,Fatty acid metabolism
R00220__mito,88.56,11.6792,dlkcat,Biosynthesis of antibiotics
R03857__pero,79.816667,8.9897,dlkcat,Fatty acid metabolism
R00942__cyto,57.68,1.8718,dlkcat,Folate biosynthesis
R01251__cyto,28.97,26.7855,dlkcat,Biosynthesis of antibiotics
R00267__mito,46.66,5.3952,dlkcat,2-Oxocarboxylic acid metabolism
R04534__cyto,152.01,13.7,default_13.7,Fatty acid biosynthesis
R04742__cyto,43.63,0.4195,dlkcat,Fatty acid elongation
R02521__cyto,53.38,15.8323,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R02018__cyto,81.16,13.7,default_13.7,Pyrimidine metabolism
R07023__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R11043__cyto,46.94,4.6807,dlkcat,Fatty acid metabolism
R01430__cyto,45.3625,12.851,dlkcat,Pentose and glucuronate interconversions
R04965__cyto,132.035,13.7,default_13.7,Fatty acid biosynthesis
R10991__cyto,41.27,2.5216,dlkcat,Cysteine and methionine metabolism
R00986__cyto,135.12,11.78,dlkcat,Biosynthesis of antibiotics
R02740__cyto,61.27,11.0694,dlkcat,Biosynthesis of antibiotics
R01909__cyto,34.515,5.261,dlkcat,Vitamin B6 metabolism
R08557__cyto,46.52125,529.8585,dlkcat,"Glycine, serine and threonine metabolism"
R04027__cyto,77.315,29.5613,dlkcat,Biosynthesis of secondary metabolites
R01090__cyto,41.27,1.4399,dlkcat,Glucosinolate biosynthesis
R12406__cyto,44.01,6.9096,dlkcat,
R02300__cyto,42.96,4.3306,dlkcat,One carbon pool by folate
R00267__cyto,46.66,5.3952,dlkcat,2-Oxocarboxylic acid metabolism
R04970__mito,103.506667,13.7,default_13.7,Fatty acid biosynthesis
R03816__cyto,23.81,1.2234,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R10121__cyto,74.243333,13.7,default_13.7,Biotin metabolism
R08231__cyto,37.395,3.0605,dlkcat,Drug metabolism - other enzymes
R02241__cyto,59.665,13.7,default_13.7,Glycerophospholipid metabolism
R07026__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R02021__cyto,27.78,85.3254,dlkcat,Microbial metabolism in diverse environments
R08557__mito,46.52125,529.8585,dlkcat,"Glycine, serine and threonine metabolism"
R00765__cyto,27.62,22.1664,dlkcat,Amino sugar and nucleotide sugar metabolism
R02241__mito,59.665,13.7,default_13.7,Glycerophospholipid metabolism
R00985__cyto,135.12,3.7333,dlkcat,Biosynthesis of antibiotics
R06983__cyto,77.18,4.2293,dlkcat,Microbial metabolism in diverse environments
R01468__cyto,64.43,4.3595,dlkcat,Glycerophospholipid metabolism
R05779__mito,71.37,202.0019,dlkcat,
R08232__cyto,53.24,1.1956,dlkcat,Drug metabolism - other enzymes
R08558__mito,46.52125,529.8585,dlkcat,"Glycine, serine and threonine metabolism"
R05731__cyto,59.6,2.0445,dlkcat,Steroid biosynthesis
R04970__cyto,103.506667,13.7,default_13.7,Fatty acid biosynthesis
R00004__mito,67.128333,13.7,default_13.7,Oxidative Phosphorilation
R00268__cyto,46.66,3.0973,dlkcat,2-Oxocarboxylic acid metabolism
R02732__cyto,111.04,2.0085,dlkcat,Fructose and mannose metabolism
R05233__cyto,47.68,47.8315,dlkcat,Microbial metabolism in diverse environments
R05511__cyto,33.52,43.495,dlkcat,Chlorocyclohexane and chlorobenzene degradation
R10993__cyto,86.15,10.7577,dlkcat,Cysteine and methionine metabolism
R02237__mito,51.505,2.7471,dlkcat,Folate biosynthesis
R01280__cyto,77.35,3.1745,dlkcat,Fatty acid biosynthesis
R01968__cyto,31.315,8.0792,dlkcat,Purine metabolism
R05086__cyto,57.67,3.069,dlkcat,Vitamin B6 metabolism
R03916__cyto,63.94,13.7,default_13.7,Glutathione metabolism
R00137__cyto,41.46,17.0826,dlkcat,Nicotinate and nicotinamide metabolism
R03005__cyto,41.46,17.8858,dlkcat,Nicotinate and nicotinamide metabolism
R03664__cyto,44.76,4.1362,dlkcat,Aminoacyl-tRNA biosynthesis
R02613__cyto,77.315,164.9793,dlkcat,Phenylalanine metabolism
R01218__cyto,38.57,2.7546,dlkcat,One carbon pool by folate
R02953__cyto,43.97,13.7,default_13.7,
R01872__cyto,36.69,1.023,dlkcat,"Phenylalanine, tyrosine and tryptophan biosynthesis"
R02082__cyto,110.54,21.3593,dlkcat,Biosynthesis of antibiotics
R04405__cyto,85.98,1.2496,dlkcat,Cysteine and methionine metabolism
R03482__cyto,31.665,13.7,default_13.7,
R02055__mito,99.08,13.7,default_13.7,Glycerophospholipid metabolism
R05333__cyto,173.69,13.7,default_13.7,Glycerolipid metabolism
R03416__pero,232.64,13.7,default_13.7,Glycerophospholipid metabolism
R04780__cyto,37.42,0.4433,dlkcat,Biosynthesis of antibiotics
R10685__cyto,35.48,1.7297,dlkcat,Thiamine metabolism
R02867__cyto,147.8575,50.6207,dlkcat,
R01213__mito,65.65,27.2626,dlkcat,2-Oxocarboxylic acid metabolism
R08176__cyto,43.78,1.2672,dlkcat,Biosynthesis of unsaturated fatty acids
R07937__cyto,43.63,0.7114,dlkcat,Fatty acid metabolism
R01310__cyto,205.92,13.7,default_13.7,Glycerophospholipid metabolism
R04563__cyto,75.48,0.8994,dlkcat,
R02736__cyto,57.22,7.9342,dlkcat,Glutathione metabolism
R04967__cyto,103.506667,13.7,default_13.7,Fatty acid biosynthesis
R00268__mito,46.66,3.0973,dlkcat,2-Oxocarboxylic acid metabolism
R01714__cyto,40.58,8.5611,dlkcat,Biosynthesis of antibiotics
R08512__cyto,35.276667,43.3824,dlkcat,
R02237__cyto,51.505,2.7471,dlkcat,Folate biosynthesis
R00722__cyto,17.08,13.7,default_13.7,Purine metabolism
R03449__cyto,119.27,13.7,default_13.7,
R01934__cyto,40.35,0.2452,dlkcat,2-Oxocarboxylic acid metabolism
R00416__cyto,49.73,5.7752,dlkcat,Biosynthesis of antibiotics
R02457__cyto,38.965,18.8919,dlkcat,D-Arginine and D-ornithine metabolism
R00485__cyto,41.24,1.7148,dlkcat,"Alanine, aspartate and glutamate metabolism"
R00103__cyto,47.68,13.7,default_13.7,Nicotinate and nicotinamide metabolism
R10117__cyto,74.243333,13.7,default_13.7,Biotin metabolism
R05861__cyto,38.965,15.0645,dlkcat,
R00132__cyto,33.19,17453.7506,dlkcat,
R03417__mito,232.64,13.7,default_13.7,Glycerophospholipid metabolism
R00946__cyto,50.115385,24.6383,dlkcat,One carbon pool by folate
R01287__cyto,47.75,47.0688,dlkcat,Cysteine and methionine metabolism
R01470__cyto,144.72,4.4163,dlkcat,Glycerophospholipid metabolism
R10712__cyto,54.51,1.01,dlkcat,Thiamine metabolism
R00130__cyto,26.47,92.8916,dlkcat,Pantothenate and CoA biosynthesis
R00100__cyto,33.0,13.7,default_13.7,Amino sugar and nucleotide sugar metabolism
R08771__mito,50.115385,13.7,default_13.7,Ubiquinone and other terpenoid-quinone biosynthesis
R03635__cyto,57.07,19.9757,dlkcat,Galactose metabolism
R02144__cyto,44.57,5.0828,dlkcat,Histidine metabolism
R04568__cyto,132.035,13.7,default_13.7,Fatty acid biosynthesis
R00261__cyto,59.86,3.357,dlkcat,"Alanine, aspartate and glutamate metabolism"
R00858__cyto,157.81,4.0688,dlkcat,Microbial metabolism in diverse environments
R00762__cyto,37.42,0.4433,dlkcat,Microbial metabolism in diverse environments
R01569__cyto,31.315,27.467,dlkcat,Pyrimidine metabolism
R10463__cyto,40.06,7.4274,dlkcat,
R08774__mito,48.909286,13.7,default_13.7,Ubiquinone and other terpenoid-quinone biosynthesis
R03444__cyto,87.31,24.8399,dlkcat,2-Oxocarboxylic acid metabolism
R04711__cyto,50.115385,10.2047,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R00885__cyto,40.0,14.1898,dlkcat,Fructose and mannose metabolism
R00226__cyto,52.78,11.8141,dlkcat,2-Oxocarboxylic acid metabolism
R01068__cyto,39.22,0.2182,dlkcat,Microbial metabolism in diverse environments
R00480__cyto,58.39,12.5505,dlkcat,2-Oxocarboxylic acid metabolism
R01652__cyto,44.2,10.515,dlkcat,2-Oxocarboxylic acid metabolism
R00724__cyto,59.495,59.053,dlkcat,
R01843__cyto,91.266667,37.1506,dlkcat,
R00483__cyto,66.865,6.8607,dlkcat,"Alanine, aspartate and glutamate metabolism"
R02053__cyto,105.0,13.7,default_13.7,Glycerophospholipid metabolism
R07093__cyto,32.915,43.3824,dlkcat,Metabolism of xenobiotics by cytochrome P450
R10119__cyto,44.99,13.7,default_13.7,Biotin metabolism
R01845__cyto,76.26375,13.8955,dlkcat,Microbial metabolism in diverse environments
R08238__cyto,37.815,3.104,dlkcat,Drug metabolism - other enzymes
R03139__cyto,77.315,81.135,dlkcat,beta-Alanine metabolism
