kind,index,setting,mu_max,T_opt,T_opt_at_edge,plateau99_lo,plateau99_hi,plateau99_width,CT_max_rel_1pct,CT_max_rel_10pct,T_first_zero
posterior_draw,56,glucose_cap=4.0,0.36062750986802505,47.48638613861386,False,47.0,48.5,1.5,48.995,48.95,49.0
posterior_draw,56,glucose_cap=2.0,0.18473835213212805,29.973042493554658,False,29.5,30.5,1.0,38.46440704457207,38.1440704457207,38.5
posterior_draw,56,glucose_cap=1.0,0.09652865702315537,25.95248185271295,False,24.0,28.0,4.0,38.450990955754726,38.009909557547296,38.5
posterior_draw,58,glucose_cap=10.0,0.27268163243127025,29.45124232112848,False,28.5,30.0,1.5,42.25217913346922,40.42647161577744,48.5
posterior_draw,58,glucose_cap=4.0,0.19946373200630482,29.87898519468499,False,29.0,30.5,1.5,42.26821814710695,39.91811629990756,45.5
posterior_draw,58,glucose_cap=2.0,0.17534386992003148,29.9145974259398,False,29.5,30.0,0.5,39.48050286300498,39.02305149021835,40.0
posterior_draw,58,glucose_cap=1.0,0.09665500653031969,25.122920298889643,False,25.0,28.0,3.0,39.4196057782623,38.89278469640552,39.5
posterior_draw,57,glucose_cap=10.0,0.30406584324125,29.03548861349214,False,28.0,30.0,2.0,41.627449130262846,40.19732708680705,44.5
posterior_draw,57,glucose_cap=4.0,0.26340062313795426,27.990419012639347,False,27.0,29.0,2.0,40.82716810507014,38.46517755688861,42.0
posterior_draw,57,glucose_cap=2.0,0.19717363869167462,22.624548489141574,False,22.5,28.5,6.0,38.427059682687364,37.89475012385664,38.5
posterior_draw,57,glucose_cap=1.0,0.09682641425428216,20.0,True,20.0,27.5,7.5,37.97958782099087,37.79587820990872,38.0
posterior_draw,59,glucose_cap=10.0,0.9633325347830475,46.984848484848484,False,44.5,50.0,5.5,48.495,48.45,48.5
posterior_draw,59,glucose_cap=4.0,0.36062750986802533,47.875,False,44.0,50.0,6.0,48.495,48.45,48.5
posterior_draw,59,glucose_cap=2.0,0.1971401569043731,23.623989442492373,False,23.5,28.5,5.0,41.302974966923614,39.67194884444916,43.5
posterior_draw,59,glucose_cap=1.0,0.09682641425428214,20.0,True,20.0,27.5,7.5,41.26412308298685,39.94697073779826,43.0
posterior_draw,60,glucose_cap=10.0,0.3040978183362589,28.96611327238559,False,28.0,29.5,1.5,43.441960594322246,41.96467506126784,48.0
posterior_draw,60,glucose_cap=4.0,0.26225495240129265,28.876428082922402,False,28.0,29.5,1.5,42.52112248131141,40.08653373434518,43.5
posterior_draw,60,glucose_cap=2.0,0.19711585454467542,24.12396307015365,False,24.0,28.5,4.5,38.99755359062666,38.69096600970763,39.5
posterior_draw,60,glucose_cap=1.0,0.09682641425428246,20.0,True,20.0,27.5,7.5,38.96929570449528,38.6929570449528,39.0
posterior_draw,61,glucose_cap=10.0,0.3039631306846619,28.478846501588002,False,27.5,29.0,1.5,41.9784671566678,40.322719208272254,45.0
posterior_draw,61,glucose_cap=4.0,0.2617375108696124,27.936744616668463,False,27.0,28.5,1.5,41.40542424709592,39.341994799341336,43.5
posterior_draw,61,glucose_cap=2.0,0.19708626369275922,24.59483620609734,False,23.0,28.5,5.5,39.370465586390125,38.68151201617385,39.5
posterior_draw,61,glucose_cap=1.0,0.0968220720129982,20.559885393956325,False,20.0,27.5,7.5,38.959955733457015,38.599557334570186,39.0
posterior_draw,62,glucose_cap=10.0,0.31397048807789296,28.54940255970011,False,27.5,29.5,2.0,41.8954608433111,40.18928212589536,47.0
posterior_draw,62,glucose_cap=4.0,0.2639463320941861,28.509284105467426,False,27.5,29.5,2.0,41.5415786283752,39.294051972314904,44.5
posterior_draw,62,glucose_cap=2.0,0.19714076833847663,23.623847343975797,False,23.5,28.5,5.0,39.38386170384925,38.77577427027952,39.5
posterior_draw,62,glucose_cap=1.0,0.09682641425428172,20.0,True,20.0,27.5,7.5,38.97609040502727,38.76090405027272,39.0
posterior_draw,63,glucose_cap=10.0,0.2977342237897793,29.077525271611293,False,28.5,30.0,1.5,42.62466169909756,40.97799047550669,48.5
posterior_draw,63,glucose_cap=4.0,0.2480222586362343,28.573681573720926,False,28.0,29.5,1.5,41.53780341652886,39.356237214026656,42.5
posterior_draw,63,glucose_cap=2.0,0.19667327615264282,27.083265870210727,False,26.5,29.0,2.5,38.4637687595157,38.13768759515701,38.5
posterior_draw,63,glucose_cap=1.0,0.09670471097658773,24.596752051912183,False,24.0,28.0,4.0,38.45175785769794,38.017578576979446,38.5
posterior_draw,65,glucose_cap=10.0,0.9633325347830471,47.125,False,45.5,47.5,2.0,47.99499999449448,47.949999994994975,48.0
posterior_draw,65,glucose_cap=4.0,0.3606275263655194,44.6249999885615,False,43.0,47.5,4.5,45.99500010944177,45.950000097413124,46.5
posterior_draw,65,glucose_cap=2.0,0.19714268058711343,23.615364361477507,False,23.0,28.5,5.5,38.653250972506406,38.15185421625708,39.0
posterior_draw,65,glucose_cap=1.0,0.09682641300742983,20.0,True,20.0,27.5,7.5,38.454285635452955,38.04285635452956,38.5
posterior_draw,64,glucose_cap=10.0,0.9633325347830471,47.625,False,47.5,49.5,2.0,49.995,49.95,50.0
posterior_draw,64,glucose_cap=4.0,0.3606275098680242,47.45550847457627,False,47.0,49.5,2.5,49.995,49.95,50.0
posterior_draw,64,glucose_cap=2.0,0.18836911050508076,29.903090806247906,False,29.5,30.0,0.5,39.32783202707413,38.649340462304565,39.5
posterior_draw,64,glucose_cap=1.0,0.09666171431211362,25.107980441675256,False,24.5,28.0,3.5,38.94328592618285,38.465879350355216,39.0
posterior_draw,66,glucose_cap=10.0,0.3068488568315349,29.599268377465187,False,28.5,30.5,2.0,41.950725180152354,40.24816664064793,45.5
posterior_draw,66,glucose_cap=4.0,0.2661288507674238,28.61501600159584,False,28.0,30.0,2.0,41.28487679790928,39.41841802394862,42.0
posterior_draw,66,glucose_cap=2.0,0.19715923142570838,23.12422635686611,False,23.0,28.5,5.5,39.289336826926316,38.73660030196539,39.5
posterior_draw,66,glucose_cap=1.0,0.09682641425428207,20.0,True,20.0,27.5,7.5,38.97514795524078,38.75147955240776,39.0
