kind,index,T_opt_range,CT_max_range,plateau_lo,plateau_hi,mu_max_ratio,asymmetry
posterior_draw,30,9.592855925080265,4.729023922705913,1.5,7.5,3.1353207132331775,2.028506533667798
posterior_draw,34,26.875,9.016935093967433,4.0,7.5,9.949067537017179,2.9805027672850923
posterior_draw,35,2.489466757430243,4.360210335158229,0.0,1.0,2.6646471476434503,0.5709510702629675
posterior_draw,31,29.444179264470915,4.829137441704297,0.0,7.5,3.724624446289701,6.097192225301313
posterior_draw,32,5.276471235598734,4.4859976020255345,0.5,3.0,3.1233178161842936,1.176209107471721
posterior_draw,33,23.770983582510365,9.719230329955131,1.5,4.5,9.954143971823466,2.4457681087407774
posterior_draw,36,4.852775819673898,4.598617052085707,0.5,2.5,2.9104577824478777,1.0552685219729085
posterior_draw,37,26.70352394264629,11.031533338598976,0.5,6.0,9.951200948489678,2.420653876756328
posterior_draw,38,1.896359367322745,3.4314468263596964,0.0,1.5,2.6155161759783216,0.5526413385617073
posterior_draw,40,7.353399224008424,3.9947338725303823,1.0,5.5,3.065472762450762,1.8407732426367025
posterior_draw,39,5.265067643708608,4.578220542391762,0.5,3.0,2.9205507127314165,1.1500249048635875
posterior_draw,42,9.970991582433445,4.202824104389947,1.5,7.5,3.2932833843141323,2.372450365462241
posterior_draw,45,8.580929547580102,3.7573059649479177,1.5,7.5,3.2098671935893353,2.283798452303856
posterior_draw,41,27.375,9.508814054992293,0.5,7.5,3.7244744902042224,2.8789079102485604
posterior_draw,43,6.259619129875734,4.295677128214649,1.5,4.5,3.104822665193655,1.4571903201852905
posterior_draw,44,9.109649604693644,5.510670837554201,1.5,7.5,3.1348958859454505,1.653092676596299
posterior_draw,46,3.9332615725183793,5.506541331041937,1.0,1.5,2.748641211868253,0.7142889403817723
posterior_draw,47,20.88049950775011,8.017251581024759,1.0,3.0,3.7307785537639697,2.6044460868822057
posterior_draw,48,7.5387484948459225,2.0082601679968803,1.0,6.0,3.150966807401614,3.753870447156941
posterior_draw,49,5.767143465095341,5.800825592800571,0.5,3.5,2.9358219246101487,0.9941935631115969
posterior_draw,50,9.523444995557679,4.939997442929602,1.5,7.5,3.192445260569171,1.9278238714856342
posterior_draw,51,8.057697064471387,5.4722072816781875,1.0,6.5,3.0506281457493754,1.4724765802366127
posterior_draw,54,9.119800529556294,3.7875151046314457,1.5,7.5,3.2735706901436807,2.407858524023951
posterior_draw,52,5.882214586934449,4.455458833895406,1.0,5.0,3.303254320780135,1.3202264472033356
posterior_draw,55,8.506127806145798,4.437145350484457,1.5,7.5,3.3886407752220364,1.9170270825626845
posterior_draw,53,27.125,10.008991552728418,1.0,7.5,9.949067537017148,2.7100632323548934
posterior_draw,56,22.42251814728705,10.544009044245271,0.5,4.0,9.979756939454399,2.1265647680305104
posterior_draw,58,4.791677127050157,2.8486123688446483,0.5,3.0,2.8211847706588564,1.682109219020763
posterior_draw,57,9.035488613492141,3.647861309271974,2.0,7.5,3.1403191534359918,2.4769276700641365
posterior_draw,59,27.875,7.230876917013148,5.0,7.5,9.949067537017093,3.8549957798914245
posterior_draw,60,8.966113272385591,4.472664889826966,1.5,7.5,3.140649384553752,2.0046467806651314
posterior_draw,61,7.918961107631677,3.018511423210782,1.5,7.5,3.1393991510928974,2.6234656747491454
posterior_draw,62,8.549402559700109,2.9193704382838277,2.0,7.5,3.2426119514594025,2.9285089852200925
posterior_draw,63,4.48077321969911,4.1729038413996165,1.5,4.0,3.078797514444368,1.073778210570084
posterior_draw,65,27.125,9.540714359041523,2.0,7.5,9.949067665133141,2.843078513748212
posterior_draw,64,22.517019558324744,11.051714073817145,0.5,3.5,9.966019552193298,2.037423281848225
posterior_draw,66,9.599268377465187,2.975577224911575,2.0,7.5,3.169061450790684,3.2260189038617364
