line,step_sd,logL,T_C,growth,o2
axis:topt_scale,-0.9,-10.831077521056745,20.0,0.23382245021774622,9.144393575827433
axis:topt_scale,-0.9,-10.831077521056745,25.0,0.8276663466824061,17.6861610865746
axis:topt_scale,-0.9,-10.831077521056745,27.0,1.0761448609025837,21.28626178673472
axis:topt_scale,-0.9,-10.831077521056745,30.0,1.3638315087257478,24.80167882713296
axis:topt_scale,-0.9,-10.831077521056745,35.0,1.5944408619727906,34.1451420184332
axis:topt_scale,-0.9,-10.831077521056745,37.0,1.6456730154774963,37.78883294127977
axis:topt_scale,-0.9,-10.831077521056745,40.0,1.6786940260756884,39.80764311709803
axis:topt_scale,-0.9,-10.831077521056745,43.0,1.6153426614790949,37.33104781927821
axis:topt_scale,-0.9,-10.831077521056745,45.0,1.3889205960491497,44.554461332790446
axis:topt_scale,-0.9,-10.831077521056745,47.0,0.34874617785113626,19.885024426619722
axis:topt_scale,-0.9,-10.831077521056745,50.0,0.0010281723522940806,6.807257390012886
axis:topt_scale,-0.8500000000000001,-10.393842187199303,15.0,0.020412157272016996,2.0864472691302804
axis:topt_scale,-0.8500000000000001,-10.393842187199303,20.0,0.22680823181940546,8.932531303702298
axis:topt_scale,-0.8500000000000001,-10.393842187199303,25.0,0.8132484274980738,17.488382185766753
axis:topt_scale,-0.8500000000000001,-10.393842187199303,27.0,1.0653079372423642,21.13652269825569
axis:topt_scale,-0.8500000000000001,-10.393842187199303,30.0,1.357611257649426,24.605706000618177
axis:topt_scale,-0.8500000000000001,-10.393842187199303,35.0,1.5915063974536,33.999874557033735
axis:topt_scale,-0.8500000000000001,-10.393842187199303,37.0,1.6435868602433432,37.662160770969116
axis:topt_scale,-0.8500000000000001,-10.393842187199303,40.0,1.6779322238364986,39.77975344077673
axis:topt_scale,-0.8500000000000001,-10.393842187199303,43.0,1.6157072061063538,37.350872297299404
axis:topt_scale,-0.8500000000000001,-10.393842187199303,45.0,1.3902795851178078,44.608194915469916
axis:topt_scale,-0.8500000000000001,-10.393842187199303,47.0,0.3504734060716766,19.930484870861235
axis:topt_scale,-0.8500000000000001,-10.393842187199303,50.0,0.001028888728349227,6.80737062119082
axis:topt_scale,-0.8,-9.936288615752348,15.0,0.01859245342950164,2.0445848288625164
axis:topt_scale,-0.8,-9.936288615752348,20.0,0.2198311000218806,8.718328054179254
axis:topt_scale,-0.8,-9.936288615752348,25.0,0.7987471804908243,17.289307063057464
axis:topt_scale,-0.8,-9.936288615752348,27.0,1.0542999453677209,20.982261358773783
axis:topt_scale,-0.8,-9.936288615752348,30.0,1.351259102847986,24.405577466315435
axis:topt_scale,-0.8,-9.936288615752348,35.0,1.5884261426370114,33.84933362098668
axis:topt_scale,-0.8,-9.936288615752348,37.0,1.6414382797780365,37.22811806108935
axis:topt_scale,-0.8,-9.936288615752348,40.0,1.6771214963309171,39.75001722417859
axis:topt_scale,-0.8,-9.936288615752348,43.0,1.6160334938759646,37.36861631060761
axis:topt_scale,-0.8,-9.936288615752348,45.0,1.3916159029848227,44.660905049754454
axis:topt_scale,-0.8,-9.936288615752348,47.0,0.35221098860224215,19.976025588121257
axis:topt_scale,-0.8,-9.936288615752348,50.0,0.001029601922444992,6.807487176480182
axis:topt_scale,-0.75,-9.458000852865379,15.0,0.01680868152465551,2.003559381955738
axis:topt_scale,-0.75,-9.458000852865379,20.0,0.21290683106933575,6.623319597510976
axis:topt_scale,-0.75,-9.458000852865379,25.0,0.7840636963792251,17.047944043009792
axis:topt_scale,-0.75,-9.458000852865379,27.0,1.043115433913057,20.814574983213618
axis:topt_scale,-0.75,-9.458000852865379,30.0,1.3447593489057514,24.200798730524603
axis:topt_scale,-0.75,-9.458000852865379,35.0,1.5852497195055057,33.69464853851881
axis:topt_scale,-0.75,-9.458000852865379,37.0,1.6392424241370522,36.8662103288954
axis:topt_scale,-0.75,-9.458000852865379,40.0,1.6762602964294813,39.71834081759794
axis:topt_scale,-0.75,-9.458000852865379,43.0,1.6163202139741193,37.38420857520042
