rxn_id,mw_kDa,kcat_s,source,group
R02668__cyto,52.61,9.6694,dlkcat,Tryptophan metabolism
R02778__cyto,84.16,10.2261,dlkcat,Starch and sucrose metabolism
R12399__cyto,39.09,0.2517,dlkcat,Steroid biosynthesis
TO1000201_CYTMEM__plas,60.686667,47.7533,dlkcat,Transporters pathway
R02235__cyto,16.5,18.7054,dlkcat,Folate biosynthesis
TZ3000012_CYTMEM__plas,81.730769,12.6795,dlkcat,Transporters pathway
R00332__cyto,21.19,77.1733,dlkcat,Purine metabolism
R01752__cyto,62.486667,157.7217,dlkcat,Glycerolipid metabolism
TR2900289_CYTMEM__plas,31.55,752.689,dlkcat,Transporters pathway
R02617__cyto,84.765,19.2758,dlkcat,
R01086__cyto,52.45,11.2956,dlkcat,Biosynthesis of amino acids
R10056__cyto,51.87,48.5197,dlkcat,
TO1000263_CYTMEM__plas,60.686667,26.8689,dlkcat,Transporters pathway
R04863__cyto,155.19,7.4889,dlkcat,Lysine biosynthesis
R10827__cyto,23.486667,13.7,default_13.7,Fatty acid elongation
R03903__cyto,18.31,3.2906,dlkcat,Phenylalanine metabolism
R01663__cyto,38.74,8.2069,dlkcat,Pyrimidine metabolism
TR2000043_CYTMEM__plas,37.24,13.1078,dlkcat,Transporters pathway
TO0000311_CYTMEM__plas,45.88,0.7996,dlkcat,Transporters pathway
TR2900291_CYTMEM__plas,31.55,50.5879,dlkcat,Transporters pathway
R11099__pero,37.385,4.9354,dlkcat,Spontaneous
TR0001210_CYTMEM__plas,108.486667,6.7067,dlkcat,Transporters pathway
R08282__pero,53.566667,18.5555,dlkcat,
R05046__cyto,30.98,6.8488,dlkcat,Folate biosynthesis
TR0003847_CYTMEM__plas,47.15,8.2078,dlkcat,Transporters pathway
R00582__cyto,33.66,33.2283,dlkcat,Biosynthesis of amino acids
R04536__cyto,122.9675,13.7,default_13.7,Fatty acid biosynthesis
R01759__cyto,35.98,0.2757,dlkcat,Pentose and glucuronate interconversions
R00405__mito,39.18,0.9207,dlkcat,Citrate cycle (TCA cycle)
R00770__cyto,107.505,9.1594,dlkcat,
TR2900203_CYTMEM__plas,42.78,6.5761,dlkcat,Transporters pathway
R02731__cyto,76.29,26.5083,dlkcat,Fructose and mannose metabolism
R04946__cyto,66.08,2.4199,dlkcat,Selenocompound metabolism
TZ2900067_CYTMEM__plas,85.15,13.7,default_13.7,Transporters pathway
TR0003566_CYTMEM__plas,47.15,36.4655,dlkcat,Transporters pathway
R00014__mito,44.3,18.1446,dlkcat,Citrate cycle (TCA cycle)
TR2900101_CYTMEM__plas,42.78,9.4698,dlkcat,Transporters pathway
R00177__cyto,42.31,23.1392,dlkcat,Biosynthesis of amino acids
R11220__cyto,59.885,13.7,default_13.7,
R00209__mito,48.811667,70.4239,dlkcat,Carbon metabolism
R01279__cyto,79.8425,19.5546,dlkcat,Fatty acid metabolism
TR2916185_CYTMEM__plas,62.16,4.8224,dlkcat,Transporters pathway
R00515__mito,40.75,32.1485,dlkcat,Pyrimidine metabolism
TR1000306_CYTMEM__plas,60.932,50.6673,dlkcat,Transporters pathway
R00904__cyto,58.812,253.4506,dlkcat,beta-Alanine metabolism
TR0012849_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
R01773__cyto,38.68,3.0415,dlkcat,Biosynthesis of amino acids
T00485__cyto,72.966667,13.7,default_13.7,Oxidative Phosphorylation
R00515__cyto,40.75,32.1485,dlkcat,Pyrimidine metabolism
TZ2900031_CYTMEM__plas,85.15,13.7,default_13.7,Transporters pathway
TR0002419_CYTMEM__plas,108.486667,6.8357,dlkcat,Transporters pathway
TR0011662_CYTMEM__plas,108.486667,9.6037,dlkcat,Transporters pathway
R03755__cyto,72.18,13.7,default_13.7,Glycerolipid metabolism
R00925__cyto,74.31,1.7801,dlkcat,
R03970__cyto,64.67,7.5759,dlkcat,Cyanoamino acid metabolism
R00086__cyto,119.6625,13.7,default_13.7,Purine metabolism
TR0000029_CYTMEM__plas,29.332857,40.2037,dlkcat,Transporters pathway
R03629__cyto,65.45,3.528,dlkcat,Tryptophan metabolism
R10089__mito,29.485,111.2326,dlkcat,
R00236__cyto,74.31,6.7948,dlkcat,Pyruvate metabolism
R01974__cyto,69.5,2.6858,dlkcat,Tryptophan metabolism
R04962__cyto,130.5775,13.7,default_13.7,Fatty acid biosynthesis
TR0012375_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
TR2901117_CYTMEM__plas,34.64,13.7,default_13.7,Transporters pathway
R02731__mito,76.29,26.5083,dlkcat,Fructose and mannose metabolism
R11220__mito,59.885,13.7,default_13.7,
TR2900988_CYTMEM__plas,34.64,3.9908,dlkcat,Transporters pathway
R01274__cyto,34.69,35.3428,dlkcat,Biosynthesis of unsaturated fatty acids
R09510__cyto,51.87,48.5197,dlkcat,
R02283__cyto,49.9,6.6269,dlkcat,2-Oxocarboxylic acid metabolism
R00751__cyto,41.21,2.6378,dlkcat,Biosynthesis of amino acids
TR1001017_CYTMEM__plas,57.919091,43.5058,dlkcat,Transporters pathway
R00513__cyto,69.47,1.3251,dlkcat,Pyrimidine metabolism
TR0000009_CYTMEM__plas,65.883077,13.7,default_13.7,Transporters pathway
R03313__cyto,47.48,28.3075,dlkcat,Arginine and proline metabolism
R02577__cyto,35.98,0.2564,dlkcat,
TR1000105_CYTMEM__plas,60.932,45.946,dlkcat,Transporters pathway
TR1000027_CYTMEM__plas,61.427333,40.4284,dlkcat,Transporters pathway
R04037__cyto,92.52,1.7411,dlkcat,Histidine metabolism
R04779__cyto,107.505,9.1048,dlkcat,Pentose phosphate pathway
TR0012678_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
TO0000367_CYTMEM__plas,48.805,19.3997,dlkcat,Transporters pathway
TZ2900053_CYTMEM__plas,85.15,2.4186,dlkcat,Transporters pathway
TR2900966_CYTMEM__plas,34.64,7.7707,dlkcat,Transporters pathway
TR0011684_CYTMEM__plas,58.682727,13.7,default_13.7,Transporters pathway
R04726__cyto,218.285,13.7,default_13.7,Fatty acid biosynthesis
R02109__cyto,173.86,13.7,default_13.7,
R02340__cyto,48.805,122.1248,dlkcat,"Phenylalanine, tyrosine and tryptophan biosynthesis"
R03066__cyto,88.59,9.2077,dlkcat,Folate biosynthesis
R01574__cyto,36.975,4.0917,dlkcat,
R10951__cyto,300.76,13.7,default_13.7,
R07162__mito,28.41,13.7,default_13.7,Fatty acid elongation
R00287__cyto,40.75,32.077,dlkcat,Pyrimidine metabolism
R04301__cyto,28.94,16.8746,dlkcat,Tyrosine metabolism
R02106__cyto,34.33,5.1662,dlkcat,Purine metabolism
R01880__cyto,69.47,1.2505,dlkcat,Pyrimidine metabolism
TR0012500_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
TR1900004_CYTMEM__plas,56.83,7.373,dlkcat,Transporters pathway
R01708__cyto,38.93,9.3902,dlkcat,Vitamin B6 metabolism
R01818__cyto,28.76,6.4775,dlkcat,Fructose and mannose metabolism
TO1000016_CYTMEM__plas,60.686667,19.8964,dlkcat,Transporters pathway
TO1000182_CYTMEM__plas,70.25,10.8313,dlkcat,Transporters pathway
R02687__cyto,52.10375,13.7,default_13.7,Glycerolipid metabolism
TZ3000004_CYTMEM__plas,81.730769,7.7796,dlkcat,Transporters pathway
R07888__cyto,79.8425,18.2278,dlkcat,alpha-Linolenic acid metabolism
R12329__cyto,32.91,13.7,default_13.7,Fatty acid biosynthesis
R00257__cyto,80.78,2.6577,dlkcat,Nicotinate and nicotinamide metabolism
TO1000367_CYTMEM__plas,70.25,15.124,dlkcat,Transporters pathway
TR0000289_CYTMEM__plas,108.486667,1.0914,dlkcat,Transporters pathway
R08362__pero,22.045556,64.6264,dlkcat,Glutathione metabolism
R04426__cyto,40.14,9.7386,dlkcat,2-Oxocarboxylic acid metabolism
TO1000924_CYTMEM__plas,70.25,11.3623,dlkcat,Transporters pathway
R03013__cyto,35.6,15.188,dlkcat,Histidine metabolism
TR0015545_CYTMEM__plas,78.363333,13.7,default_13.7,Transporters pathway
R00344__cyto,129.78,34.5187,dlkcat,Citrate cycle (TCA cycle)
R00424__cyto,30.98,13.7,default_13.7,
R04889__cyto,53.566667,193.4616,dlkcat,Tyrosine metabolism
R04756__cyto,29.976667,28.2475,dlkcat,Fatty acid degradation
TR2901005_CYTMEM__plas,34.64,9.5026,dlkcat,Transporters pathway
R01926__cyto,62.34,10.364,dlkcat,Sphingolipid metabolism
R01706__cyto,229.63,13.7,default_13.7,Fatty acid biosynthesis
R04866__cyto,130.8925,13.7,default_13.7,Lysine degradation
R00014__cyto,62.86,31.706,dlkcat,Citrate cycle (TCA cycle)
R00754__cyto,39.8325,998.1427,dlkcat,Glycolysis / Gluconeogenesis
R03197__cyto,40.63,0.2457,dlkcat,Porphyrin and chlorophyll metabolism
R12205__pero,49.95,2.2544,dlkcat,Biosynthesis of unsaturated fatty acids
TO1000207_CYTMEM__plas,60.686667,47.0091,dlkcat,Transporters pathway
TO0000249_CYTMEM__plas,48.805,13.5593,dlkcat,Transporters pathway
TR2000137_CYTMEM__plas,33.3,39.1659,dlkcat,Transporters pathway
TO1000345_CYTMEM__plas,60.686667,55.9156,dlkcat,Transporters pathway
R01054__cyto,23.61,1.2065,dlkcat,Purine metabolism
R04559__cyto,54.49,3.0024,dlkcat,Purine metabolism
R02324__cyto,28.69,14.2035,dlkcat,Nicotinate and nicotinamide metabolism
R07505__cyto,47.22,0.2631,dlkcat,Steroid biosynthesis
R08174__pero,33.66,12.0702,dlkcat,Biosynthesis of unsaturated fatty acids
R04428__cyto,218.285,13.7,default_13.7,Fatty acid biosynthesis
R00955__cyto,42.63,12.2936,dlkcat,Galactose metabolism
R08575__cyto,35.77,95.9689,dlkcat,
R04444__mito,65.33,3.7822,dlkcat,Arginine and proline metabolism
R00897__cyto,45.745,9.4077,dlkcat,Biosynthesis of amino acids
R12657__mito,36.54,1.8141,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R08639__cyto,65.985,39.8009,dlkcat,Streptomycin biosynthesis
R01993__cyto,41.23,164.6084,dlkcat,Pyrimidine metabolism
R02872__cyto,50.71,2.2471,dlkcat,Sesquiterpenoid and triterpenoid biosynthesis
R10700__cyto,218.285,13.7,default_13.7,Fatty acid biosynthesis
R01021__cyto,64.35,10.7466,dlkcat,Glycerophospholipid metabolism
R07389__cyto,44.7,3.1756,dlkcat,Ether lipid metabolism
R10089__cyto,29.485,111.2326,dlkcat,
R00896__cyto,47.15,35.7255,dlkcat,Cysteine and methionine metabolism
R02091__cyto,69.47,1.3251,dlkcat,Pyrimidine metabolism
R02746__cyto,82.545,13.7,default_13.7,Glycerophospholipid metabolism
R08179__pero,33.66,15.3774,dlkcat,Biosynthesis of unsaturated fatty acids
R07052__cyto,65.45,2.6479,dlkcat,Arachidonic acid metabolism
R03361__cyto,162.2,13.7,default_13.7,Inositol phosphate metabolism
R02029__cyto,24.4,13.7,default_13.7,Glycerophospholipid metabolism
R00126__cyto,36.18,13.7,default_13.7,Purine metabolism
R07110__cyto,71.11,13.8115,dlkcat,Arachidonic acid metabolism
R04887__cyto,28.94,0.0517,dlkcat,Tyrosine metabolism
TR0000042_CYTMEM__plas,100.4925,66.7102,dlkcat,Transporters pathway
R02984__cyto,75.08,15.7623,dlkcat,
R02260__cyto,37.233333,14.3029,dlkcat,Propanoate metabolism
TO1000412_CYTMEM__plas,70.25,8.4178,dlkcat,Transporters pathway
R03530__cyto,16.86,13.672,dlkcat,Purine metabolism
R07051__cyto,65.45,2.6479,dlkcat,Arachidonic acid metabolism
TR0000167_CYTMEM__plas,108.486667,13.7,default_13.7,Transporters pathway
R04001__cyto,85.09,4.7072,dlkcat,2-Oxocarboxylic acid metabolism
TO0000184_CYTMEM__plas,45.88,0.7546,dlkcat,Transporters pathway
R03471__cyto,60.54,10.9505,dlkcat,Thiamine metabolism
R01775__cyto,38.68,3.0415,dlkcat,Biosynthesis of amino acids
R00848__cyto,72.15,41.9421,dlkcat,Glycerophospholipid metabolism
TR2900846_CYTMEM__plas,31.89,5.0271,dlkcat,Transporters pathway
R00086__mito,64.936,13.7,default_13.7,Purine metabolism
R02096__cyto,69.47,1.3251,dlkcat,Pyrimidine metabolism
TR2900924_CYTMEM__plas,33.29,13.7,default_13.7,Transporters pathway
TR2916163_CYTMEM__plas,64.120909,485.2071,dlkcat,Transporters pathway
R02101__cyto,51.02,32.6966,dlkcat,Pyrimidine metabolism
R01070__cyto,39.67,0.432,dlkcat,Pentose phosphate pathway
TO0000021_EXTR__plas,54.053333,72.4542,dlkcat,Transporters pathway
TZ2900069_CYTMEM__plas,85.15,2.6454,dlkcat,Transporters pathway
TR2900165_CYTMEM__plas,42.78,6.5761,dlkcat,Transporters pathway
R11945__mito,54.02,5.6955,dlkcat,Oxidative Phosphorylation
R02748__cyto,32.79,1.1588,dlkcat,Purine metabolism
R01496__cyto,51.36,5.8072,dlkcat,Sphingolipid metabolism
R01005__cyto,36.45,5.8159,dlkcat,N-Glycan biosynthesis
R00239__cyto,45.98,15.728,dlkcat,Arginine and proline metabolism
R10035__cyto,87.74,5.3116,dlkcat,Cyanoamino acid metabolism
TR1000724_CYTMEM__plas,60.932,40.4284,dlkcat,Transporters pathway
R00677__cyto,46.19,8.9758,dlkcat,Tryptophan metabolism
R00472__cyto,62.46,1.3782,dlkcat,Carbon metabolism
TR0000062_CYTMEM__plas,79.254545,13.7,default_13.7,Transporters pathway
TR2900196_CYTMEM__plas,42.78,6.5761,dlkcat,Transporters pathway
R06516__cyto,64.34,3.8443,dlkcat,Sphingolipid metabolism
R02820__cyto,35.98,13.7,default_13.7,
R04882__cyto,53.566667,31.0626,dlkcat,Tyrosine metabolism
R02093__cyto,16.86,63.5705,dlkcat,Pyrimidine metabolism
TO0000438_CYTMEM__plas,45.88,0.86,dlkcat,Transporters pathway
R07111__cyto,71.11,16.5937,dlkcat,Arachidonic acid metabolism
R01056__cyto,25.74,30.1593,dlkcat,Pentose phosphate pathway
TR0000020_CYTMEM__plas,14.245,76.9398,dlkcat,Transporters pathway
TO1002555_CYTMEM__plas,60.686667,86.4734,dlkcat,Transporters pathway
R01059__cyto,64.56,4.3119,dlkcat,Fructose and mannose metabolism
TR1000185_CYTMEM__plas,60.932,42.3611,dlkcat,Transporters pathway
