i,j,t,logl
1,7,0.55,-11.559816655717762
1,7,0.5750000000000001,-11.630171445885182
1,7,0.6000000000000001,-11.705536731220752
1,7,0.625,-11.693851335371725
1,7,0.65,-11.343703927480586
1,7,0.675,-11.398507952968398
1,7,0.7000000000000001,-11.470165763712524
1,7,0.7250000000000001,-11.534715211685075
1,7,0.75,-11.608829592738271
1,7,0.775,-11.66437641358679
1,7,0.8,-11.645710193743586
1,7,0.8250000000000001,-11.630041742424778
1,7,0.8500000000000001,-11.615233852399985
1,7,0.875,-11.58116436423126
1,7,0.9,-11.566263739235156
1,7,0.925,-11.558391458190618
1,7,0.9500000000000001,-11.56183855346222
1,7,0.9750000000000001,-11.56416740687553
1,7,1.0,-11.542051978718124
1,8,0.0,-8.2995492379133
1,8,0.025,-9.634617917515424
1,8,0.05,-11.491690938448981
1,8,0.07500000000000001,-13.019639793684487
1,8,0.1,-14.391769108838822
1,8,0.125,-15.461781260417457
1,8,0.15000000000000002,-15.485453981137697
1,8,0.17500000000000002,-15.338825233851416
1,8,0.2,-15.695451625373757
1,8,0.225,-16.91095430404128
1,8,0.25,-18.51997083996022
1,8,0.275,-19.798917637111252
1,8,0.30000000000000004,-20.584184670145852
1,8,0.325,-21.39681500989535
1,8,0.35000000000000003,-22.604637329633096
1,8,0.375,-24.087064303526088
1,8,0.4,-24.449098762118922
1,8,0.42500000000000004,-25.730813155868283
1,8,0.45,-27.139476018739217
1,8,0.47500000000000003,-28.60726750761188
1,8,0.5,-29.317532664534117
1,8,0.525,-29.614632862209277
1,8,0.55,-29.54766110101511
1,8,0.5750000000000001,-29.16147309848001
1,8,0.6000000000000001,-28.62470322950221
1,8,0.625,-27.276413534243495
1,8,0.65,-26.608951868415986
1,8,0.675,-26.398283128193036
1,8,0.7000000000000001,-26.597398525436212
1,8,0.7250000000000001,-26.99543199168809
1,8,0.75,-27.420080911385114
1,8,0.775,-27.821872693806625
1,8,0.8,-28.11399672324754
1,8,0.8250000000000001,-28.242519422862863
1,8,0.8500000000000001,-28.378915329368816
1,8,0.875,-28.3756597414257
1,8,0.9,-28.113331083211587
1,8,0.925,-27.94230664940553
1,8,0.9500000000000001,-26.845584179357694
1,8,0.9750000000000001,-26.222320757239736
1,8,1.0,-25.960372390150916
2,3,0.0,-8.446559605121248
2,3,0.025,-8.442050258592978
2,3,0.05,-8.567042862194663
2,3,0.07500000000000001,-8.560800603541423
2,3,0.1,-8.55445158320699
2,3,0.125,-8.548435541587452
2,3,0.15000000000000002,-8.543082594755429
2,3,0.17500000000000002,-8.538261586664706
2,3,0.2,-8.536845167293073
2,3,0.225,-8.535132689184778
2,3,0.25,-8.53378691186214
2,3,0.275,-8.536225034251377
2,3,0.30000000000000004,-8.54112641117888
2,3,0.325,-8.545653362544197
2,3,0.35000000000000003,-8.54971697447906
2,3,0.375,-8.553124049790323
2,3,0.4,-8.556955755386788
2,3,0.42500000000000004,-8.55994415083832
2,3,0.45,-8.55694347256117
2,3,0.47500000000000003,-8.56019619491737
2,3,0.5,-8.563684999071114
2,3,0.525,-8.56725492588724
2,3,0.55,-8.57120853101771
2,3,0.5750000000000001,-8.570993278638952
2,3,0.6000000000000001,-8.571608267530461
2,3,0.625,-8.572093133874654
2,3,0.65,-8.572555811302205
2,3,0.675,-8.573747951664746
2,3,0.7000000000000001,-8.576093037784668
2,3,0.7250000000000001,-8.578440189257728
2,3,0.75,-8.5813146623458
2,3,0.775,-8.584744386022482
2,3,0.8,-8.58883197190327
2,3,0.8250000000000001,-8.593723057308237
2,3,0.8500000000000001,-8.59905276917069
2,3,0.875,-8.60494409675947
2,3,0.9,-8.611676983875377
2,3,0.925,-8.618900937574843
2,3,0.9500000000000001,-8.626193258108188
2,3,0.9750000000000001,-8.633531735709552
2,3,1.0,-8.641046913276764
2,4,0.0,-8.446559605596462
2,4,0.025,-8.532333631511552
2,4,0.05,-8.627279287955977
2,4,0.07500000000000001,-8.730044680200672
2,4,0.1,-8.858870700036693
2,4,0.125,-8.988192570334627
2,4,0.15000000000000002,-9.106431712300077
2,4,0.17500000000000002,-9.121261239258175
2,4,0.2,-9.141013918337421
2,4,0.225,-9.165476699644731
2,4,0.25,-9.194936172896346
2,4,0.275,-9.227886363895674
2,4,0.30000000000000004,-9.264467150076221
2,4,0.325,-9.30094553870731
2,4,0.35000000000000003,-9.338314855619728
2,4,0.375,-9.478051903188266
2,4,0.4,-9.528524485544953
2,4,0.42500000000000004,-9.579563650619956
2,4,0.45,-9.631757184431864
2,4,0.47500000000000003,-9.675778283532392
2,4,0.5,-9.617558872429022
2,4,0.525,-9.556707238131779
2,4,0.55,-9.493548146792406
2,4,0.5750000000000001,-9.428447569642707
2,4,0.6000000000000001,-9.36156154841122
2,4,0.625,-9.29368417676686
2,4,0.65,-9.223425944124559
2,4,0.675,-9.540620271001604
2,4,0.7000000000000001,-10.875957712250806
2,4,0.7250000000000001,-11.834285614090218
2,4,0.75,-11.74338360979137
2,4,0.775,-9.350067027909756
2,4,0.8,-9.197154580232429
2,4,0.8250000000000001,-8.764487245744416
2,4,0.8500000000000001,-8.659328607749368
2,4,0.875,-8.635273578545636
2,4,0.9,-8.632851742876479
2,4,0.925,-8.649634481858353
2,4,0.9500000000000001,-8.686597893597828
2,4,0.9750000000000001,-8.74565317513231
2,4,1.0,-8.796950672061984
2,5,0.0,-8.446559605851764
2,5,0.025,-8.744626717398173
2,5,0.05,-8.891349823335878
2,5,0.07500000000000001,-9.03870491327658
2,5,0.1,-9.188722382701014
2,5,0.125,-9.349508489603718
2,5,0.15000000000000002,-9.503230657034774
2,5,0.17500000000000002,-9.65754826659373
2,5,0.2,-9.758221998582147
2,5,0.225,-9.714747251393138
2,5,0.25,-9.674568585277422
2,5,0.275,-9.635357133222659
2,5,0.30000000000000004,-9.596256623105432
2,5,0.325,-9.559873767706584
2,5,0.35000000000000003,-9.530936307349835
2,5,0.375,-9.501351393863438
2,5,0.4,-9.469674160820757
2,5,0.42500000000000004,-9.43102866118377
2,5,0.45,-9.407878037920732
2,5,0.47500000000000003,-9.388521712460829
2,5,0.5,-9.375285654278336
2,5,0.525,-9.365387490817685
2,5,0.55,-9.302370702372095
2,5,0.5750000000000001,-9.225802359084888
2,5,0.6000000000000001,-9.150421488061175
2,5,0.625,-9.079642738145022
2,5,0.65,-9.008088237811343
2,5,0.675,-8.950444730080383
2,5,0.7000000000000001,-8.902055104092177
2,5,0.7250000000000001,-8.857614526028037
2,5,0.75,-8.81696235695047
2,5,0.775,-8.780421407458729
2,5,0.8,-8.752045436645393
2,5,0.8250000000000001,-8.725604888037003
2,5,0.8500000000000001,-8.739692731258401
2,5,0.875,-8.731250122110893
2,5,0.9,-8.765263993445338
2,5,0.925,-8.804302570890949
2,5,0.9500000000000001,-8.847952885173166
2,5,0.9750000000000001,-8.908114704575409
2,5,1.0,-8.976148623029594
2,6,0.0,-8.446559605348584
2,6,0.025,-8.942383414070706
2,6,0.05,-9.429134974133788
2,6,0.07500000000000001,-9.94357519762238
2,6,0.1,-10.498207353892022
2,6,0.125,-10.710088009127698
2,6,0.15000000000000002,-10.937849421863104
2,6,0.17500000000000002,-11.18223322239782
2,6,0.2,-11.366533342327118
2,6,0.225,-11.583794021189757
2,6,0.25,-11.815096002745623
2,6,0.275,-12.0686974782565
2,6,0.30000000000000004,-12.313972002165304
2,6,0.325,-12.606146871300453
2,6,0.35000000000000003,-12.910986707300566
2,6,0.375,-13.220194609711621
2,6,0.4,-13.527321615448953
2,6,0.42500000000000004,-13.831247451546014
2,6,0.45,-14.14422615380747
2,6,0.47500000000000003,-14.274956122077151
2,6,0.5,-14.369314492207875
2,6,0.525,-14.466514544022697
2,6,0.55,-14.500794389261307
2,6,0.5750000000000001,-14.517176872560798
2,6,0.6000000000000001,-14.520701981433607
2,6,0.625,-14.477452831890501
2,6,0.65,-14.423392365870981
2,6,0.675,-14.356111663772442
2,6,0.7000000000000001,-14.236708130688367
2,6,0.7250000000000001,-14.089190849214052
2,6,0.75,-13.886877766610167
2,6,0.775,-13.639025972753345
2,6,0.8,-13.397207134252216
2,6,0.8250000000000001,-13.151194672538471
2,6,0.8500000000000001,-12.912600984693134
2,6,0.875,-12.67108316394888
2,6,0.9,-12.443027352841714
2,6,0.925,-12.245112556849843
2,6,0.9500000000000001,-12.109583411098026
2,6,0.9750000000000001,-12.082218931818
2,6,1.0,-12.134843972183488
2,7,0.0,-8.446559606207547
2,7,0.025,-8.671346716041697
2,7,0.05,-8.878280162026606
2,7,0.07500000000000001,-9.082618577618096
2,7,0.1,-9.276951276035886
2,7,0.125,-9.46951622719758
2,7,0.15000000000000002,-9.676187943780533
2,7,0.17500000000000002,-9.884339385010772
2,7,0.2,-10.090205706994904
2,7,0.225,-10.276302908092415
2,7,0.25,-10.462766545213187
2,7,0.275,-10.563513409724223
2,7,0.30000000000000004,-10.622662010603968
2,7,0.325,-10.682418051013345
2,7,0.35000000000000003,-10.732860281219782
2,7,0.375,-10.798670766254322
2,7,0.4,-10.867403171696033
2,7,0.42500000000000004,-10.906803440783245
2,7,0.45,-10.944970820002101
2,7,0.47500000000000003,-11.038968358486844
2,7,0.5,-11.081033696282963
2,7,0.525,-11.12713068915767
2,7,0.55,-11.174560971272504
2,7,0.5750000000000001,-11.224699973048944
2,7,0.6000000000000001,-11.277098810928798
2,7,0.625,-11.328464293957293
2,7,0.65,-11.368890327851762
2,7,0.675,-11.344306118178297
2,7,0.7000000000000001,-11.352299269548922
2,7,0.7250000000000001,-11.362225167499453
2,7,0.75,-11.371178044507776
