line,t,logl
P4->A,0.8,-11.45009504898592
P4->A,0.825,-11.16590638763769
P4->A,0.85,-10.858427721662334
P4->A,0.875,-10.712242209991091
P4->A,0.9,-10.650548122277334
P4->A,0.925,-10.574148392445448
P4->A,0.95,-10.521801260991436
P4->A,0.975,-10.465707667191367
P4->A,1.0,-10.422225235237272
P4->A,1.025,-10.39763091602132
P4->A,1.05,-10.363404331264054
P4->A,1.075,-10.333987123842455
P4->A,1.1,-10.309478484415141
P4->A,1.125,-10.289882947540146
P4->A,1.15,-10.275558428850164
P4->A,1.175,-10.259840486651898
P4->A,1.2,-10.253891000694423
P4->A,1.225,-10.24242351759136
P4->A,1.25,-10.246020716297165
P4->B,-0.25,-19.536552691801834
P4->B,-0.225,-18.53222406838562
P4->B,-0.2,-17.63668359407506
P4->B,-0.175,-16.899295451224816
P4->B,-0.15,-16.296040283671886
P4->B,-0.125,-15.825277778531389
P4->B,-0.1,-15.469772605732866
P4->B,-0.075,-15.196150768954126
P4->B,-0.05,-15.006457925224236
P4->B,-0.025,-14.8877743453705
P4->B,0.0,-14.830240910269518
P4->B,0.025,-14.83228143229383
P4->B,0.05,-14.901477837035756
P4->B,0.075,-15.019026413879839
P4->B,0.1,-15.215065577238676
P4->B,0.125,-15.471015147494732
P4->B,0.15,-15.777120605394988
P4->B,0.175,-16.14276572793021
P4->B,0.2,-16.55405160583342
P4->B,0.225,-16.898782673993775
P4->B,0.25,-17.247043738172827
P4->B,0.275,-17.705491069127305
P4->B,0.3,-18.225407388562985
P4->B,0.325,-18.828355294780394
P4->B,0.35,-19.55246740734035
P4->B,0.375,-20.467018508998372
P4->B,0.4,-21.66543608199135
P4->B,0.425,-23.081172795014645
P4->B,0.45,-24.45410297506419
P4->B,0.475,-25.2047235877489
P4->B,0.5,-26.351893789494028
P4->B,0.525,-27.276372601209495
P4->B,0.55,-28.012915818369812
P4->B,0.575,-28.853171895877708
P4->B,0.6,-29.731920014705224
P4->B,0.625,-31.0910105379592
P4->B,0.65,-32.569040907965565
P4->B,0.675,-33.561941696584064
P4->B,0.7,-34.25339371774535
P4->B,0.725,-34.03881755496958
P4->B,0.75,-34.107798838947915
P4->B,0.775,-34.283115425250074
P4->B,0.8,-35.18001936236602
P4->B,0.825,-36.060882283686105
P4->B,0.85,-35.39173291124352
P4->B,0.875,-35.691925023345895
P4->B,0.9,-35.66472411605339
P4->B,0.925,-35.308545301109405
P4->B,0.95,-35.413453867773505
P4->B,0.975,-35.18812584394734
P4->B,1.0,-34.957080187084
P4->B,1.025,-34.65448925786523
P4->B,1.05,-34.34476264602512
P4->B,1.075,-33.82833627686796
P4->B,1.1,-32.920922377249354
P4->B,1.125,-32.7971736215072
P4->B,1.15,-32.64372276247469
P4->B,1.175,-32.21838554199512
P4->B,1.2,-31.85397771342228
P4->B,1.225,-31.41092949309144
P4->B,1.25,-30.386316448408103
A->Bstar,-0.25,-10.93125891162561
A->Bstar,-0.225,-10.884010892270945
A->Bstar,-0.2,-10.846255383795325
A->Bstar,-0.175,-10.818415046369841
A->Bstar,-0.15,-10.792204801313604
A->Bstar,-0.125,-10.771195097626542
A->Bstar,-0.1,-10.738016627639313
A->Bstar,-0.075,-10.673549278206108
A->Bstar,-0.05,-10.562735711330301
A->Bstar,-0.025,-10.487017536987963
A->Bstar,0.0,-10.422225235347467
A->Bstar,0.025,-10.373231953305442
A->Bstar,0.05,-10.330814332457336
A->Bstar,0.075,-10.287405682794388
A->Bstar,0.1,-10.247011094314864
A->Bstar,0.125,-10.208747127706673
A->Bstar,0.15,-10.09357209178067
A->Bstar,0.175,-10.062853692048972
A->Bstar,0.2,-10.033714658364971
A->Bstar,0.225,-10.005741724116781
A->Bstar,0.25,-9.978417664644574
A->Bstar,0.275,-9.95087353254891
A->Bstar,0.3,-9.924248782512143
A->Bstar,0.325,-9.891808220383005
A->Bstar,0.35,-9.85829468942254
A->Bstar,0.375,-9.79872191804932
A->Bstar,0.4,-9.738963159790234
A->Bstar,0.425,-9.683522822452675
A->Bstar,0.45,-9.628536998910432
A->Bstar,0.475,-9.569757901290973
A->Bstar,0.5,-9.524627990558319
A->Bstar,0.525,-9.480259506074416
A->Bstar,0.55,-9.437340889972758
A->Bstar,0.575,-9.39674421506114
A->Bstar,0.6,-9.356889419595532
A->Bstar,0.625,-9.318100044474871
A->Bstar,0.65,-9.28232950921602
A->Bstar,0.675,-9.253292749418954
A->Bstar,0.7,-9.223576232753114
A->Bstar,0.725,-9.19386395052587
A->Bstar,0.75,-9.166719137086366
A->Bstar,0.775,-9.141771058889894
A->Bstar,0.8,-9.11989630694939
A->Bstar,0.825,-9.101506384830252
A->Bstar,0.85,-9.087053981693083
A->Bstar,0.875,-9.077223668861244
A->Bstar,0.9,-9.071726681427073
A->Bstar,0.925,-9.071267856528166
A->Bstar,0.95,-9.07914944532654
A->Bstar,0.975,-9.096467670975514
A->Bstar,1.0,-9.105753820043885
A->Bstar,1.025,-9.136073105121696
A->Bstar,1.05,-9.17964552216446
A->Bstar,1.075,-9.258327514791315
A->Bstar,1.1,-9.314753251552954
A->Bstar,1.125,-9.566417088845641
A->Bstar,1.15,-10.046715790881738
A->Bstar,1.175,-10.687759871571524
A->Bstar,1.2,-11.591420517938069
A->Bstar,1.225,-12.587991270333825
A->Bstar,1.25,-13.756901656437455
