kind,idx,ok,logpost,logl,nfev,wall_s,x_dTopt,x_topt_scale,x_dCp_scale,x_dTm,x_tm_scale,x_kcat_scale,x_kappa_scale,x_sigma,x_f_metab,x_f_maint,x_ngam_scale,x_ngam_steepness,x_clearance_mult,x_resp_scale,x_disc_resp,x_disc_growth,basin
prior,18,True,-19.196902730723494,-13.346060823902064,600,1574.5,-1.6883571057358664,0.2789270878572871,-0.020343557626449512,-3.2297569906015475,0.10573749685827841,0.8723479153286565,3.0726104841878814e-05,0.5968925824298041,0.2799999198018864,0.35805547603891535,0.03446034542097613,0.0006980347107197749,0.007168273631452275,1.1640356119261983,-1.0941906312599363,-1.6510889411980525,9
prior,19,True,-20.412489644189453,-14.182539965433048,600,1567.2,6.898226465307028,-0.15399710146911727,-0.08823797813514678,-4.354921499581609,0.004031432845792001,1.1480714254939481,-3.4926843699347517e-06,0.5602746364821162,0.2800000746572347,0.3578173466779612,0.012961785479198254,0.0010881690223052075,0.003948814618305393,1.1400929117994492,-1.086472256924413,-1.6032331462198035,10
prior,20,True,-18.579337866124824,-12.699968237054675,600,1616.8,4.826770396315102,0.009912350077905318,-0.13470921534214492,-4.3886533071109,0.004476375324659014,1.007443915398006,-0.0019494641036246878,0.6398751848566653,0.28000000000705033,0.35855186037382436,0.0033903856330697486,0.00352477201557588,-0.0059368603309000925,1.197112319285757,-1.0867712378778924,-1.6746313542122846,23
prior,21,True,-31.4609710669746,-25.960372391468823,600,1507.9,0.6892527953875724,-0.004852463649981883,0.07611815997214928,-13.071259916456485,0.022085600118693868,0.12961317297684205,-1.3817302410843702e-08,0.5431559390128401,0.27999999998846187,0.3591981665554848,0.0931183116082437,0.025491039679263153,0.02333432098492181,0.9741079516365415,-0.9560029686304775,-0.19122257826097605,5
prior,22,True,-18.722095460568646,-13.602606694856158,600,1560.5,4.209248421328592,-0.0012288617432142622,0.02487100955048297,-4.432814676860374,-0.04418775634443629,0.5061207157053615,-1.7017646196566556e-11,0.7026293223057194,0.28000061130648357,0.3535663033657889,-0.04160141875412091,-0.018386838373252893,0.013674057451385066,1.1987283070549988,-1.0868440350050428,-1.615471037311522,10
prior,23,True,-23.56088101091497,-18.89379086223086,600,988.6,14.052932082841664,0.09324207861423435,0.0010161016752776569,-1.2748378645603287,0.0006545338782456277,-0.022779570785311128,3.419409510432028e-08,0.4441568966828469,0.27999984634526115,0.36101736009207713,0.0946608417540518,0.07417693757584343,-0.02539787073532657,8.465450562766819e-16,-0.6901354545897898,0.01324128450295581,4
prior,24,True,-19.08228437689139,-13.2516144487199,600,1542.0,4.693185941684255,0.00424660949529115,-0.024876630104338042,-4.132347783108046,0.028773906914688053,1.0807291664114236,-6.5636096561654505e-06,0.6073212541420046,0.2799999275776091,0.3574467877969341,0.028869581883628693,0.0010421857339038424,0.028588433975929563,1.1707596353799419,-1.0890543458790978,-1.6270937295465986,10
prior,25,True,-19.019415192129447,-13.875298968968963,600,1565.5,3.0222688865013176,-0.054726818436917186,0.4628936178183724,-3.793809924052967,0.03678584160407085,0.5924932743397212,-4.497269940487037e-06,0.6369944035121415,0.2799999670750925,0.356957493783873,-0.006928778717130729,-0.009673103360749237,-0.0023293568909757006,1.1205292315901894,-1.0730547911440123,-1.7010577760000327,10
prior,26,True,-18.177554495422978,-12.566581527142382,600,1630.0,2.7728125489031057,0.10227131158352902,-0.09349802456389542,-4.1695969622506395,0.017421235379604404,0.8985565977296645,1.5346294926598238e-10,0.6286799484648347,0.28000000001999215,0.3566358936335016,0.08073285940728821,-0.005920501600603225,0.005635643088606784,1.2118634762940002,-1.0899093937561324,-1.8005648255789284,10
prior,27,True,-19.477428838855865,-14.404810961424104,600,1609.6,5.278080322672047,-0.056769565694900784,-0.06319567619945486,-4.4739729822596415,-0.03470294222131363,0.7848160444593951,-8.861903245480669e-07,0.6110010943716974,0.27999998790326297,0.3563891962294138,-0.013946261825803975,-0.008520055755609759,0.03642527968010258,1.1478798569290658,-1.0820792248586886,-1.4988588115234704,10
prior,28,True,-19.726069651803158,-14.937120761943282,600,1561.0,2.8609064067307006,-0.056398541195279546,0.3858264236161594,-3.3431619008834765,0.07950485165630398,0.4593640111548338,-1.3489925183997215e-06,0.647167556935965,0.27999978921153856,0.3552535261619572,-0.009757498676679355,-0.0099568462637988,0.0018108999542561302,1.1855771162726954,-1.0796847124164108,-1.4257410817231975,10
prior,29,True,-23.6057213302918,-18.895750824444033,600,1078.8,14.453810915190383,0.046591928904830555,0.00034464715101929495,-1.2670588086391055,0.0003191208183909981,-0.11767569371471824,-6.565802026012703e-11,0.4112584913938173,0.27999999931661296,0.3610350567678375,0.04996348988175775,0.012526165194924587,-0.0054947370040658,0.010014179445226517,-0.6936495931179443,0.011719352435235222,3
prior,30,True,-18.732001385774467,-13.102803284199585,600,1609.7,3.4758001462538557,0.06991366198344771,-0.0825204493188094,-4.047505370469859,0.03700821506820659,0.9997339503739641,3.1023447426795774e-08,0.5923783159893672,0.2799998759921301,0.3581197222638766,0.08258704824884402,-0.0055601159308151975,-0.0053427322520268015,1.1997833028155394,-1.0898095025603405,-1.7088707066932347,10
prior,31,True,-18.534541864729615,-13.079200901377257,600,1592.6,4.868415980871881,-0.022806988342808247,0.0012418197483638864,-3.634102230549159,0.07926612991269931,0.6767053007846009,5.627164441951227e-06,0.6650998029273646,0.280000073231456,0.35524293798460393,-0.041690454453193165,-0.0153512095604722,0.04982283567807548,1.2284110978115554,-1.0850767785339086,-1.823418618854752,10
prior,32,True,-18.451373173930556,-13.07511788478579,600,1555.2,5.6765529023288375,-0.08173859190652284,-0.015304141331479093,-4.124106082890077,0.014480750112220185,0.6229796384194377,1.2190926997160887e-07,0.6875259098917621,0.279999894648307,0.35429390249633075,0.08322253653813058,-0.013379541854982833,0.010741492081925118,1.155730698384387,-1.0829255260076251,-1.7567311437385809,10
prior,33,True,-21.207226997413095,-15.995298358465888,600,1515.2,2.884323764238524,-0.08938543252426691,0.521894218081113,-3.79553700477868,0.03730925351541653,0.8700036294942215,8.588797345866351e-07,0.5303520219071611,0.28000079502566966,0.35928539187673886,-0.010750055261538105,-0.003454543920264833,-0.0008296012310725354,1.152706598921884,-1.078944266657607,-1.2913828221066435,10
prior,34,True,-18.767179994794493,-13.566638713249974,600,1550.1,2.212114115988319,0.03838065126612102,0.35648968926981667,-4.20392058527568,-0.024083329510337707,0.42017499531620756,-9.933776883803729e-08,0.6995435400245615,0.2800001627892836,0.3541240367778957,-0.05374589724005985,-0.03207211695712786,-0.00844183852136009,1.2432760044968663,-1.0895315275113615,-1.6719225938096909,10
prior,35,True,-18.63835669039303,-12.879007816285046,600,1567.7,5.902390586791537,-0.1556104737858003,0.14252230878272112,-4.261058947452063,-0.014810846876814587,0.4944134916510474,-4.319228754573056e-07,0.7087791991600023,0.28000004853489474,0.3528993213545603,-0.06799193456258296,-0.027438097152102735,0.06645110679894253,1.2582206205421804,-1.0867176779938479,-1.8516778603895223,10
prior,36,True,-31.505269865629764,-25.870246639445618,600,1456.0,1.1989277789268176,-0.03048373612507678,0.07324924526874474,-13.340457080173302,-0.01145940129927378,0.08582655085221408,-7.449207495798195e-07,0.565390350834714,0.2799999999980984,0.3580040143813753,0.0846161496450983,0.023866470269023922,0.023252696372020577,0.9633138312065377,-0.9573860460614619,-0.1911036392011602,5
prior,37,True,-18.97454436766276,-13.555983141111252,600,1526.3,4.360482205679981,-0.13841847368863744,0.4208153155484123,-4.360130799596053,-0.029994670741050028,0.5834390028971093,-2.498270261828578e-06,0.6570103994982675,0.2800000595132271,0.35531697625563596,0.028025891217670178,-0.008053621226336153,-0.007770449009324349,1.167188541872712,-1.0893152203800371,-1.626701573945249,10
