a,b,t,logl
p81(b7),p50(b19),0.4,-12.068915046026419
p81(b7),p50(b19),0.42500000000000004,-12.742811833220259
p81(b7),p50(b19),0.45,-12.766467150352174
p81(b7),p50(b19),0.47500000000000003,-12.785143758311447
p81(b7),p50(b19),0.5,-12.801100596577832
p81(b7),p50(b19),0.525,-12.816987511209867
p81(b7),p50(b19),0.55,-12.83463889787669
p81(b7),p50(b19),0.5750000000000001,-12.846909508530977
p81(b7),p50(b19),0.6000000000000001,-12.84990852975675
p81(b7),p50(b19),0.625,-12.850869938307271
p81(b7),p50(b19),0.65,-12.84932098790538
p81(b7),p50(b19),0.675,-12.863240052372243
p81(b7),p50(b19),0.7000000000000001,-12.767011864707499
p81(b7),p50(b19),0.7250000000000001,-12.498444710981596
p81(b7),p50(b19),0.75,-12.119050147284872
p81(b7),p50(b19),0.775,-11.473963115613378
p81(b7),p50(b19),0.8,-11.13265240373492
p81(b7),p50(b19),0.8250000000000001,-10.804217906267708
p81(b7),p50(b19),0.8500000000000001,-10.36579543801999
p81(b7),p50(b19),0.875,-9.804678148423879
p81(b7),p50(b19),0.9,-9.364421664015007
p81(b7),p50(b19),0.925,-8.929358320645154
p81(b7),p50(b19),0.9500000000000001,-8.563748966850543
p81(b7),p50(b19),0.9750000000000001,-8.33023007311745
p81(b7),p50(b19),1.0,-8.116550992431167
p81(b7),p38(b22),0.0,-8.291822949616426
p81(b7),p38(b22),0.025,-8.282630468209796
p81(b7),p38(b22),0.05,-8.297369068644482
p81(b7),p38(b22),0.07500000000000001,-8.371824507527242
p81(b7),p38(b22),0.1,-8.4069859429144
p81(b7),p38(b22),0.125,-8.969134469115858
p81(b7),p38(b22),0.15000000000000002,-9.131263517906119
p81(b7),p38(b22),0.17500000000000002,-9.139888478806334
p81(b7),p38(b22),0.2,-11.861345634722195
p81(b7),p38(b22),0.225,-11.489298478291442
p81(b7),p38(b22),0.25,-11.623432145804586
p81(b7),p38(b22),0.275,-11.759218546127354
p81(b7),p38(b22),0.30000000000000004,-10.798690475817015
p81(b7),p38(b22),0.325,-9.306036695099658
p81(b7),p38(b22),0.35000000000000003,-8.929748944002682
p81(b7),p38(b22),0.375,-8.910296767879125
p81(b7),p38(b22),0.4,-8.888905939891846
p81(b7),p38(b22),0.42500000000000004,-8.853665407277214
p81(b7),p38(b22),0.45,-8.838535350290632
p81(b7),p38(b22),0.47500000000000003,-8.821668895767557
p81(b7),p38(b22),0.5,-8.806586550199725
p81(b7),p38(b22),0.525,-8.801494573422259
p81(b7),p38(b22),0.55,-8.785932378730791
p81(b7),p38(b22),0.5750000000000001,-8.771021349539426
p81(b7),p38(b22),0.6000000000000001,-8.75645171729041
p81(b7),p38(b22),0.625,-8.742320699875696
p81(b7),p38(b22),0.65,-8.649888986608467
p81(b7),p38(b22),0.675,-8.635806355545636
p81(b7),p38(b22),0.7000000000000001,-8.558460077937323
p81(b7),p38(b22),0.7250000000000001,-8.384637591719766
p81(b7),p38(b22),0.75,-8.22476813427738
p81(b7),p38(b22),0.775,-8.075037844343997
p81(b7),p38(b22),0.8,-7.934067036046224
p81(b7),p38(b22),0.8250000000000001,-7.802803104214865
p81(b7),p38(b22),0.8500000000000001,-7.7361814536799205
p81(b7),p38(b22),0.875,-7.61199546666325
p81(b7),p38(b22),0.9,-7.502812566451459
p81(b7),p38(b22),0.925,-7.40719874891551
p81(b7),p38(b22),0.9500000000000001,-7.319634786349642
p81(b7),p38(b22),0.9750000000000001,-7.241109529940186
p81(b7),p38(b22),1.0,-7.2016796611768585
p81(b7),"big(b10,n=64)",0.0,-8.291822949708035
p81(b7),"big(b10,n=64)",0.025,-8.522911544348423
p81(b7),"big(b10,n=64)",0.05,-9.384316690645882
p81(b7),"big(b10,n=64)",0.07500000000000001,-11.546298849057422
p81(b7),"big(b10,n=64)",0.1,-11.33468395404935
p81(b7),"big(b10,n=64)",0.125,-9.901848449637185
p81(b7),"big(b10,n=64)",0.15000000000000002,-10.249823707925229
p81(b7),"big(b10,n=64)",0.17500000000000002,-10.60472514611868
p81(b7),"big(b10,n=64)",0.2,-10.908297645698502
p81(b7),"big(b10,n=64)",0.225,-11.060753890780965
p81(b7),"big(b10,n=64)",0.25,-11.229133181848496
p81(b7),"big(b10,n=64)",0.275,-11.345636958924601
p81(b7),"big(b10,n=64)",0.30000000000000004,-11.96013616865619
p81(b7),"big(b10,n=64)",0.325,-12.129322088986124
p81(b7),"big(b10,n=64)",0.35000000000000003,-12.346169490650688
p81(b7),"big(b10,n=64)",0.375,-12.518433234101046
p81(b7),"big(b10,n=64)",0.4,-12.654380570758486
p81(b7),"big(b10,n=64)",0.42500000000000004,-12.792741874380964
p81(b7),"big(b10,n=64)",0.45,-12.909731706842333
p81(b7),"big(b10,n=64)",0.47500000000000003,-13.055155558184676
p81(b7),"big(b10,n=64)",0.5,-13.025103427885883
p81(b7),"big(b10,n=64)",0.525,-13.073894104882623
p81(b7),"big(b10,n=64)",0.55,-13.180521907258157
p81(b7),"big(b10,n=64)",0.5750000000000001,-13.230116994084021
p81(b7),"big(b10,n=64)",0.6000000000000001,-13.291181244429925
p81(b7),"big(b10,n=64)",0.625,-13.310551766026755
p81(b7),"big(b10,n=64)",0.65,-13.276527832924067
p81(b7),"big(b10,n=64)",0.675,-13.27223936543796
p81(b7),"big(b10,n=64)",0.7000000000000001,-13.242644761338662
p81(b7),"big(b10,n=64)",0.7250000000000001,-13.237647463007324
p81(b7),"big(b10,n=64)",0.75,-13.175491135933923
p81(b7),"big(b10,n=64)",0.775,-13.09903909858693
p81(b7),"big(b10,n=64)",0.8,-12.98641217905723
p81(b7),"big(b10,n=64)",0.8250000000000001,-12.824717807313343
p81(b7),"big(b10,n=64)",0.8500000000000001,-12.679407039718583
p81(b7),"big(b10,n=64)",0.875,-12.500476057332895
p81(b7),"big(b10,n=64)",0.9,-12.340117628509292
p81(b7),"big(b10,n=64)",0.925,-12.197417463287309
p81(b7),"big(b10,n=64)",0.9500000000000001,-12.089459360973612
