point,axis,k_0p02,k_0p04,rel_diff,per_datum_reconciles,top_datum,top_share,top3,clip_moves_T,topt_moves_T,tm_moves_T,status_moves_T,scored_moves_T,carrying_interval,carrying_datum,carrying_excess,moves_at_carrying_T,o2_at_carrying_T,growth_at_carrying_T,carrying_side,refinement,refinement_plus,ratios_plus,refinement_minus,ratios_minus,ratios,refine_deltas_plus,refine_deltas_minus,classification,provenance
red2_6800_living_median,dTopt,0.9150573912641846,0.9928980984597047,0.07784070719552005,False,resp@43C,0.747986792095452,resp@43C:-0.058;growth@43C:-0.022;growth@27C:+0.004,,35;37;40;43,,,,-0.04->-0.02,growth@25C,0.0001746845574806255,none,nan;nan;14.4662;nan;nan,nan;nan;0.66210;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),index 534 of 800; 35 living
red2_6800_living_median,topt_scale,1.5646244436506862,1.6202382277152871,0.03432444878369673,False,resp@43C,0.7929953182891889,resp@43C:-0.044;growth@43C:-0.019;growth@27C:+0.012,,35;37;40;43;50,,,,-0.04->-0.02,growth@25C,0.0002777526520934548,none,nan;nan;14.4662;nan;nan,nan;nan;0.66210;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),index 534 of 800; 35 living
red2_6800_living_median,dCp_scale,0.6599861120193395,0.6557385280814287,0.004247583937910804,False,growth@27C,1.6770338703137213,growth@27C:+0.007;resp@27C:-0.003;growth@25C:-0.000,,,,,,+0.02->+0.04,growth@20C,-0.00021490173653454514,none,nan;nan;13.1971;nan;nan,nan;nan;0.13317;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),index 534 of 800; 35 living
red2_6800_living_median,tm_scale,5.670500918890653,-0.8866431422926979,1.1563606381473184,False,resp@47C,0.7563273951675243,resp@47C:+4.959;growth@47C:+1.379;resp@50C:+0.278,47,,40;43;45;47;50,,,+0.02->+0.04,resp@47C,0.005673223153433216,none,nan;nan;26.3714;nan;nan,nan;nan;1.04124;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),index 534 of 800; 35 living
red2_6800_living_median,kcat_scale,137.5512011358282,122.4598896251905,0.10971413834282277,False,resp@43C,0.556799020014775,resp@43C:+8.403;resp@30C:+6.454;growth@30C:+4.605,,,,,,+0.02->+0.04,growth@27C,-0.03270399195954096,none,nan;nan;18.2721;nan;nan,nan;nan;0.89315;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),index 534 of 800; 35 living
red2_6800_living_median,sigma,3.1260106061559156,2.6800981691232906,0.14264584904302924,False,resp@43C,1.2816608220671775,resp@43C:+0.572;growth@20C:-0.288;growth@43C:+0.210,,,,,,+0.02->+0.04,growth@20C,-0.0004507607942780545,none,nan;nan;13.1971;nan;nan,nan;nan;0.13317;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),index 534 of 800; 35 living
red2_6800_living_median,clearance_mult,1.9274651922707164,0.2652054822283034,0.8624071224259728,False,resp@47C,0.351744538883709,resp@47C:+0.585;resp@30C:+0.383;resp@50C:+0.319,,,,,,-0.02->+0.00,resp@47C,0.0011805838707684702,none,nan;nan;26.3714;nan;nan,nan;nan;1.04124;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),index 534 of 800; 35 living
red2_top_weight_living,dTopt,1.0583721642287713,0.8857358462255327,0.16311494560992879,True,resp@25C,1.0222575918837853,resp@25C:+0.176;growth@25C:-0.004;growth@20C:-0.000,,35;37;40,,,,-0.04->-0.02,growth@25C,0.00014825663326006877,none,nan;nan;14.8759;nan;nan,nan;nan;0.72222;nan;nan,minus,NOT_RUN(minus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(minus side)),"sample 6260, weight rank 49"
red2_top_weight_living,topt_scale,-2.454896525003747,20.577220854260947,1.1193016560589333,True,resp@25C,0.5389821847347153,resp@25C:-12.414;resp@20C:-9.643;resp@47C:-0.824,,35;37;40;43;45,,,,+0.02->+0.04,resp@25C,-0.01984219498196116,none,nan;nan;14.8759;nan;nan,nan;nan;0.72222;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"sample 6260, weight rank 49"
red2_top_weight_living,dCp_scale,-17.708178822619658,24.515745865210103,1.7223185833292982,True,resp@25C,0.22902636205947496,resp@25C:-9.670;growth@47C:-9.171;growth@27C:-8.284,,,,,,+0.02->+0.04,resp@25C,-0.015627169963159826,none,nan;nan;14.8759;nan;nan,nan;nan;0.72222;nan;nan,plus,NOT_RUN(plus side),NOT_RUN,,NOT_RUN,,,,,UNDETERMINED(refinement NOT_RUN(plus side)),"sample 6260, weight rank 49"
