label,saved_logl,f_metab_saved,old,old_fm_0.15,old_fm_0.28,old_fm_0.45,removal,max_abs_diff,vs_saved,status
D44:kappa_scale_minus_0.04,-17.972547016141245,0.2994418428949389,-17.972547016148315,-17.972547016139995,-17.97254701615097,-17.9725470161391,-17.972547016135444,1.552535877635819e-11,7.069900220812997e-12,OK
D44:kappa_scale_plus_0.04,-17.972547016139124,0.2994418428949389,-17.972547016145107,-17.972547016142784,-17.97254701614515,-17.972547016144073,-17.972547016127262,1.7887913372760522e-11,5.9827698351000436e-12,OK
D44:sigma_minus_0.02,-18.15648515137415,0.2994418428949389,-18.156485151379126,-18.15648515137619,-18.15648515137614,-18.15648515137489,-18.156485151372323,6.803446694902959e-12,4.977351863999502e-12,OK
D44:sigma_plus_0.02,-17.78764167166316,0.2994418428949389,-17.787641671656832,-17.78764167165299,-17.787641671662026,-17.787641671654363,-17.787641671668307,1.531574866930896e-11,6.327383061943692e-12,OK
D44:sigma_minus_0.04,-18.31565720622207,0.2994418428949389,-18.315657206211668,-18.31565720621418,-18.315657206206016,-18.31565720620749,-18.315657206214134,8.164136033883551e-12,1.0402345651527867e-11,OK
D44:sigma_plus_0.04,-17.59854985505098,0.2994418428949389,-17.598549855060266,-17.598549855074076,-17.598549855063872,-17.598549855060796,-17.5985498550642,1.3809398069497547e-11,9.28679355638451e-12,OK
D44:f_maint_minus_0.02,-17.95823185776294,0.2994418428949389,-17.95823185776679,-17.95823185777263,-17.958231857776564,-17.958231857768418,-17.958231857772883,9.773515330380178e-12,3.851141627819743e-12,OK
D44:f_maint_plus_0.02,-17.98686019070633,0.2994418428949389,-17.986860190701123,-17.986860190726087,-17.986860190712346,-17.986860190707862,-17.98686019070847,2.496491902093112e-11,5.208278253121534e-12,OK
D44:f_maint_minus_0.04,-17.943912825429006,0.2994418428949389,-17.94391282541722,-17.94391282541982,-17.94391282542238,-17.94391282541438,-17.943912825420814,8.000711204658728e-12,1.1784351272581262e-11,OK
D44:f_maint_plus_0.04,-18.001173261954058,0.2994418428949389,-18.001173261969416,-18.00117326195813,-18.001173261957018,-18.001173261961732,-18.001173261964635,1.2398970739013748e-11,1.5358381233454566e-11,OK
D44:ngam_scale_minus_0.02,-17.970505522878273,0.2994418428949389,-17.97050552287878,-17.970505522869434,-17.97050552286889,-17.97050552287498,-17.97050552288224,1.3351098004932282e-11,5.080380560684716e-13,OK
D44:ngam_scale_plus_0.02,-17.974603620678245,0.2994418428949389,-17.974603620678003,-17.974603620674152,-17.974603620679954,-17.974603620681783,-17.97460362067511,7.631228982063476e-12,2.4158453015843406e-13,OK
D44:ngam_scale_minus_0.04,-17.968478921869313,0.2994418428949389,-17.96847892187107,-17.968478921882358,-17.968478921876287,-17.968478921862896,-17.968478921864037,1.9461765532469144e-11,1.758593271006248e-12,OK
D44:ngam_scale_plus_0.04,-17.976675559976414,0.2994418428949389,-17.97667555997682,-17.976675559970893,-17.976675559975593,-17.976675559965194,-17.976675559973533,1.1624479157035239e-11,4.050093593832571e-13,OK
D44:ngam_steepness_minus_0.02,-17.971617087712023,0.2994418428949389,-17.97161708771656,-17.971617087715522,-17.971617087724077,-17.971617087715163,-17.971617087717753,8.913758620110457e-12,4.53681536782824e-12,OK
D44:ngam_steepness_plus_0.02,-17.97347309063084,0.2994418428949389,-17.97347309062256,-17.973473090620313,-17.97347309062271,-17.973473090617954,-17.973473090630307,1.2352785461189342e-11,8.281375585283968e-12,OK
D44:ngam_steepness_minus_0.04,-17.970683106730945,0.2994418428949389,-17.970683106734242,-17.97068310672689,-17.97068310672643,-17.970683106731876,-17.970683106720497,1.3745449223279138e-11,3.296918293926865e-12,OK
D44:ngam_steepness_plus_0.04,-17.974395501983928,0.2994418428949389,-17.97439550198605,-17.974395501980933,-17.974395501971678,-17.974395501973845,-17.974395501963215,2.283329081365082e-11,2.120970066243899e-12,OK
D44:clearance_mult_minus_0.02,-17.990984406845058,0.2994418428949389,-17.99098440684604,-17.99098440682998,-17.990984406832528,-17.99098440682639,-17.990984406839083,1.965005935744557e-11,9.805489753489383e-13,OK
D44:clearance_mult_plus_0.02,-17.955091276528595,0.2994418428949389,-17.955091276499488,-17.955091276498553,-17.95509127649818,-17.955091276497473,-17.955091276502344,4.870770453635487e-12,2.9107383170412504e-11,OK
D44:clearance_mult_minus_0.04,-18.0112188942791,0.2994418428949389,-18.011218894272563,-18.011218894277654,-18.01121889427615,-18.01121889427273,-18.011218894268687,8.967049325292464e-12,6.536993168992922e-12,OK
D44:clearance_mult_plus_0.04,-17.93824832708206,0.2994418428949389,-17.938248327101427,-17.938248327114955,-17.93824832711539,-17.93824832710624,-17.938248327106564,1.3962164757685969e-11,1.936584226314153e-11,OK
