temp_C,growth,status,o2_uptake,o2_release,co2_uptake,co2_release,glc__D_uptake,glc__D_release,pyr_uptake,pyr_release,lac__D_uptake,lac__D_release,ac_uptake,ac_release,RQ,medium
42.0,0.005782112051890923,optimal,5.932397708833814,-5.932397708833814,-0.007832995973291481,0.007832995973291481,6.004577994879339,-6.004577994879339,-0.1794649261548026,0.1794649261548026,0.0,-0.0,-0.0033647549775854203,0.0033647549775854203,0.0013203760701389802,glucose_minimal
42.5,0.0018690871867009947,optimal,5.815676878439181,-5.815676878439181,-0.002532459125195321,0.002532459125195321,5.839008565291026,-5.839008565291026,-0.05801097433631907,0.05801097433631907,0.0,-0.0,-0.0010876683742122586,0.0010876683742122586,0.0004354538909450186,glucose_minimal
43.0,0.0005599553131206352,optimal,5.816292882729365,-5.816292882729365,-0.0007586933089606648,0.0007586933089606648,5.822817320938702,-5.822817320938702,0.0,-0.0,0.0,-0.0,-0.0012567428744303037,0.0012567428744303037,0.0001304427621266278,glucose_minimal
43.5,0.0001622445211145677,optimal,5.835502543530021,-5.835502543530021,0.0,-0.0,5.837006701939381,-5.837006701939381,0.0,-0.0,0.0,-0.0,-0.00014430761053166538,0.00014430761053166538,-0.0,glucose_minimal
44.0,4.6113982516321405e-05,optimal,5.869663618660931,-5.869663618660931,0.0,-0.0,5.87009113839543,-5.87009113839543,0.0,-0.0,0.0,-0.0,-4.101586040202712e-05,4.101586040202712e-05,-0.0,glucose_minimal
44.5,3.2755771261694024e-05,optimal,5.909060844098994,-5.909060844098994,0.0,-0.0,5.909364520725236,-5.909364520725236,0.0,-0.0,0.0,-0.0,-2.9134463521059374e-05,2.9134463521059374e-05,-0.0,glucose_minimal
45.0,3.271572442709595e-05,optimal,5.948061703807565,-5.948061703807565,0.0,-0.0,5.948365009162206,-5.948365009162206,0.0,-0.0,0.0,-0.0,-2.909884405619064e-05,2.909884405619064e-05,-0.0,glucose_minimal
45.5,3.259693684225701e-05,optimal,5.985859276332433,-5.985859276332433,0.0,-0.0,5.986161480415096,-5.986161480415096,0.0,-0.0,0.0,-0.0,-2.8993189009045314e-05,2.8993189009045314e-05,-0.0,glucose_minimal
46.0,3.2232815347922403e-05,optimal,6.022480690550877,-6.022480690550877,0.0,-0.0,6.022779518886835,-6.022779518886835,0.0,-0.0,0.0,-0.0,-2.8669322893700902e-05,2.8669322893700902e-05,-0.0,glucose_minimal
46.5,3.1219861560290166e-05,optimal,6.057940467578209,-6.057940467578209,0.0,-0.0,6.058229904885443,-6.058229904885443,0.0,-0.0,0.0,-0.0,-2.776835600946438e-05,2.776835600946438e-05,-0.0,glucose_minimal
