run,direction,eigenvalue,width_ratio,dTopt,topt_scale,dCp_scale,tm_scale,kcat_scale,kappa_scale,sigma,f_maint,ngam_scale,ngam_steepness,clearance_mult,resp_scale,disc_resp,disc_growth
2,3,0.07321390143824735,0.9373189517229278,0.016328169021701016,0.299313515884099,-0.0936511303137491,0.06436859270445941,0.009361072850460039,0.5546383112551473,-0.04704226225848864,-0.4106258429783324,0.517161896539535,0.15962756551927265,0.2724909807359618,-0.025150617158115906,-0.22293542665438557,0.03422918817813294
2,4,0.06657615723507194,0.8938198290600088,-0.27666765459238907,0.5240526420391606,0.08636095973713863,-0.19154997207457963,0.30085875883941654,-0.15137507702165443,-0.1709281177474921,0.2580789591478103,0.030822717972399626,0.5445342478658873,-0.2894144266923654,-0.02562411345531649,-0.08956562375605746,0.07426815758775168
2,5,0.06536390529410564,0.8856448856789428,0.20723596945243175,-0.09486443111441188,-0.009376078012937937,0.4473450674076249,0.3850179838068163,0.3253863041817406,-0.08335422387906981,0.5256970023203107,0.29306455347850413,-0.1869104466043846,-0.276200715689733,0.061203160758600356,0.09780988790037602,0.0025157205724921305
2,6,0.053882330443510436,0.8041069364967107,-0.3273347841754447,0.07115095655631326,0.5270004091867708,-0.301649412489938,-0.20719860693831607,-0.01528665282080063,0.1931673788893866,0.1313084522889891,0.4905959749132541,-0.33271772702716557,-0.06905703746864512,-0.03793955208929697,0.24279732360180603,-0.06930274068265206
2,7,0.047965180356974384,0.7586713150526337,0.004720607284682462,0.3811849570112187,-0.27877713184627373,0.12150954271423174,0.2724780812897344,-0.4242677991765009,-0.2294065589513905,-0.11499453824021569,0.15701464333396853,-0.32332005156332005,0.34244977352725564,-0.03719760892524923,0.43996285207746944,0.026146284952005855
2,8,0.04442159634499748,0.7301090029166671,-0.07431111090902988,-0.050854697528011084,0.6313096997686409,0.5335632630767612,0.2623095433363991,-0.15950531843468824,0.038773717374311206,-0.33908723127723767,-0.10777823211130662,0.1773653572458188,0.10611557132928114,0.0529665652543785,0.01549335854148506,-0.2013393606795831
2,9,0.038400327529730494,0.6788254049140809,-0.07194201665022697,0.13976986184267584,-0.03567358860384815,0.1001976639424238,-0.21618578014231668,0.4032155420350141,0.18851638594619574,0.1126160654827698,-0.27753921253875996,0.3183694580256422,0.13331214972737138,-0.004634722693828697,0.7120716235229985,-0.05665643018914655
2,10,0.03126868842472558,0.6125555167466105,-0.047481901943109264,0.3344406029571773,-0.22165030805054128,0.5123360971060237,-0.49670760582691503,-0.2725272734490274,0.3774560720308663,0.07987515171809687,0.13942991275071925,0.010692191179206176,-0.21161020680819695,0.0039129655541552165,-0.18038714390948368,-0.08686998247613038
2,11,0.01200798127418107,0.37959949326912024,0.5391224626291194,0.27084011990203494,0.044396130945367256,-0.29215629725385506,0.2844364125747083,-0.016459948945481716,0.5240560038005169,0.013871408525526254,-0.05362223103137032,-0.03224527962031093,0.026299490752377745,-0.0019514778211795977,-0.046343290651222,-0.43116805734444014
2,12,0.0076279948365995795,0.30254906715968394,0.26191212547712067,0.10442785224223756,0.18957677488058036,-0.0021811291752495436,0.049146939859089765,-0.06429925605994126,0.31533284366934006,-0.04550151638384996,-0.013454993078994587,0.004306236480319877,0.033598026917591235,0.2959671135072488,0.045157547764853735,0.8279695650603638
2,13,0.004988650976924832,0.24467082319536587,0.06353534524531082,0.0399355427491088,-0.004976939144665956,-0.07678688308118493,-0.15773184041500235,-0.030746166666642677,-0.2370115506164501,0.012829258310657428,0.06762421853905091,0.04544569769259153,0.0016334556920494013,0.913427138920738,0.030872685225835538,-0.25365412749302385
2,14,0.003201374279227026,0.19600125344171732,0.5730248037803408,0.2401643103357912,0.34434740647112655,0.007223581333122824,-0.4109160550216976,-0.017506652978985144,-0.5058822596632854,0.08313673009900494,-0.040461129117477054,0.0074020021201751445,-0.030329760934040842,-0.2451066081255579,0.019281700310393928,0.0169846342091988
