label,t1_n_structural_zero,expected,ll_old,ll_new,verdict,diff
red2_6800:56,12,NEG_INF,-18.68525498202948,-inf,OK,
red2_6800:57,12,NEG_INF,-18.697222736530637,-inf,OK,
red2_6800:58,12,NEG_INF,-18.7553969167256,-inf,OK,
red2_6800:59,12,NEG_INF,-18.756018383699136,-inf,OK,
red2_6800:60,12,NEG_INF,-18.698388127651477,-inf,OK,
red2_6800:61,12,NEG_INF,-18.68932379840948,-inf,OK,
red2_6800:62,12,NEG_INF,-18.70909631251796,-inf,OK,
red2_6800:63,12,NEG_INF,-18.766746653302867,-inf,OK,
red2_6800:64,12,NEG_INF,-18.69207717750181,-inf,OK,
red2_6800:65,12,NEG_INF,-18.73742484493751,-inf,OK,
red2_6800:66,12,NEG_INF,-18.685667626040193,-inf,OK,
red2_6800:67,12,NEG_INF,-18.683065994257024,-inf,OK,
red2_6800:68,12,NEG_INF,-18.68318567898634,-inf,OK,
red2_6800:69,12,NEG_INF,-18.694439093147498,-inf,OK,
red2_6800:70,12,NEG_INF,-18.698305632886893,-inf,OK,
red2_6800:71,12,NEG_INF,-18.743518319481336,-inf,OK,
red2_6800:72,12,NEG_INF,-18.68561178381884,-inf,OK,
red2_6800:73,12,NEG_INF,-18.716288937939613,-inf,OK,
red2_6800:74,12,NEG_INF,-18.706869622989995,-inf,OK,
red2_6800:75,12,NEG_INF,-18.71966814382924,-inf,OK,
red2_6800:76,12,NEG_INF,-18.77067259239997,-inf,OK,
red2_6800:77,12,NEG_INF,-18.68255889608805,-inf,OK,
red2_6800:78,12,NEG_INF,-18.70545485986567,-inf,OK,
red2_6800:79,12,NEG_INF,-18.686818571383697,-inf,OK,
red2_6800:80,12,NEG_INF,-18.724510584886566,-inf,OK,
red2_6800:81,12,NEG_INF,-18.686688433722157,-inf,OK,
red2_6800:82,12,NEG_INF,-18.716974812669836,-inf,OK,
red2_6800:83,1,NEG_INF,-17.77741655849372,-inf,OK,
red2_6800:84,1,NEG_INF,-16.6001978301005,-inf,OK,
red2_6800:85,12,NEG_INF,-18.750295240885123,-inf,OK,
red2_6800:86,12,NEG_INF,-18.756547678567603,-inf,OK,
red2_6800:87,12,NEG_INF,-18.726088906869094,-inf,OK,
red2_6800:88,12,NEG_INF,-18.694615757711844,-inf,OK,
red2_6800:89,12,NEG_INF,-18.685460966995265,-inf,OK,
red2_6800:90,12,NEG_INF,-18.691022188468654,-inf,OK,
red2_6800:91,12,NEG_INF,-18.71107696757608,-inf,OK,
red2_6800:92,1,NEG_INF,-18.161675483175944,-inf,OK,
red2_6800:93,12,NEG_INF,-18.68298551092281,-inf,OK,
red2_6800:94,12,NEG_INF,-18.708492342138143,-inf,OK,
red2_6800:95,12,NEG_INF,-18.74564682906527,-inf,OK,
red2_6800:96,12,NEG_INF,-18.777974024148353,-inf,OK,
red2_6800:97,12,NEG_INF,-18.69250891540778,-inf,OK,
red2_6800:98,12,NEG_INF,-18.754701342274497,-inf,OK,
red2_6800:99,12,NEG_INF,-18.71804557457237,-inf,OK,
red2_6800:100,12,NEG_INF,-18.725781096859645,-inf,OK,
red2_6800:101,12,NEG_INF,-18.709521371490244,-inf,OK,
red2_6800:102,12,NEG_INF,-18.700078739535456,-inf,OK,
red2_6800:103,12,NEG_INF,-18.682775842910992,-inf,OK,
red2_6800:104,12,NEG_INF,-18.700847491425066,-inf,OK,
red2_6800:105,12,NEG_INF,-18.68298073549827,-inf,OK,
red2_6800:106,12,NEG_INF,-18.68714495190528,-inf,OK,
red2_6800:107,12,NEG_INF,-18.757520829823964,-inf,OK,
red2_6800:108,12,NEG_INF,-18.684766029356823,-inf,OK,
red2_6800:109,12,NEG_INF,-18.724554267391703,-inf,OK,
red2_6800:110,12,NEG_INF,-18.71604880000042,-inf,OK,
red2_6800:111,12,NEG_INF,-18.77400770964782,-inf,OK,
red2_6800:112,12,NEG_INF,-18.68456462058915,-inf,OK,
red2_6800:113,12,NEG_INF,-18.742974823621292,-inf,OK,
red2_6800:114,12,NEG_INF,-18.719314728414663,-inf,OK,
red2_6800:115,12,NEG_INF,-18.70509448900392,-inf,OK,
red2_6800:116,12,NEG_INF,-18.68487549994239,-inf,OK,
red2_6800:117,12,NEG_INF,-18.73283337840296,-inf,OK,
red2_6800:118,12,NEG_INF,-18.71166210083622,-inf,OK,
red2_6800:119,1,NEG_INF,-17.207652369618152,-inf,OK,
red2_6800:120,12,NEG_INF,-18.696269286979422,-inf,OK,
red2_6800:121,12,NEG_INF,-18.76961705600373,-inf,OK,
red2_6800:122,12,NEG_INF,-18.77983437126365,-inf,OK,
red2_6800:123,12,NEG_INF,-18.69484321616165,-inf,OK,
red2_6800:124,12,NEG_INF,-18.684386684007812,-inf,OK,
red2_6800:125,12,NEG_INF,-18.772460604012267,-inf,OK,
red2_6800:126,12,NEG_INF,-18.728393195156784,-inf,OK,
red2_6800:127,12,NEG_INF,-18.731930237311015,-inf,OK,
red2_6800:128,12,NEG_INF,-18.697668995862553,-inf,OK,
red2_6800:129,1,NEG_INF,-17.5910388103933,-inf,OK,
red2_6800:130,12,NEG_INF,-18.73924129952685,-inf,OK,
red2_6800:131,12,NEG_INF,-18.70923649531683,-inf,OK,
red2_6800:132,1,NEG_INF,-18.36359878218834,-inf,OK,
red2_6800:133,12,NEG_INF,-18.682685972037476,-inf,OK,
red2_6800:134,12,NEG_INF,-18.775057263622568,-inf,OK,
red2_6800:135,12,NEG_INF,-18.6978846458818,-inf,OK,
red2_6800:136,12,NEG_INF,-18.73598617386149,-inf,OK,
red2_6800:137,12,NEG_INF,-18.70459719274924,-inf,OK,
red2_6800:138,1,NEG_INF,-17.793849767868373,-inf,OK,
red2_6800:139,12,NEG_INF,-18.698297688797965,-inf,OK,
red2_6800:140,12,NEG_INF,-18.73267018800936,-inf,OK,
red2_6800:141,12,NEG_INF,-18.694429108448535,-inf,OK,
red2_6800:142,12,NEG_INF,-18.77879408663198,-inf,OK,
red2_6800:143,12,NEG_INF,-18.68250237485646,-inf,OK,
red2_6800:144,12,NEG_INF,-18.72428797876267,-inf,OK,
red2_6800:145,12,NEG_INF,-18.743523843894636,-inf,OK,
red2_6800:146,12,NEG_INF,-18.7030358833854,-inf,OK,
red2_6800:147,12,NEG_INF,-18.748442011473884,-inf,OK,
red2_6800:148,12,NEG_INF,-18.707575803814816,-inf,OK,
red2_6800:149,12,NEG_INF,-18.683703632918665,-inf,OK,
red2_6800:150,12,NEG_INF,-18.687851887689305,-inf,OK,
red2_6800:151,12,NEG_INF,-18.689221901320188,-inf,OK,
red2_6800:152,12,NEG_INF,-18.70024016865015,-inf,OK,
red2_6800:153,12,NEG_INF,-18.711177310980684,-inf,OK,
red2_6800:154,12,NEG_INF,-18.73876351551859,-inf,OK,
red2_6800:155,12,NEG_INF,-18.704770972956123,-inf,OK,
red2_6800:156,12,NEG_INF,-18.684757891565784,-inf,OK,
red2_6800:157,12,NEG_INF,-18.71084740151921,-inf,OK,
red2_6800:158,12,NEG_INF,-18.690622945732347,-inf,OK,
red2_6800:159,12,NEG_INF,-18.75497837411516,-inf,OK,
red2_6800:160,12,NEG_INF,-18.760857984869293,-inf,OK,
red2_6800:161,12,NEG_INF,-18.701220074293108,-inf,OK,
red2_6800:162,12,NEG_INF,-18.757938291739855,-inf,OK,
