rxn_id,mw_kDa,kcat_s,source,group
rxn08308_LSQBKT_c0_RSQBKT_,19.831,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn00409_LSQBKT_c0_RSQBKT_,15.292,47.2977,dltkcat,Purine Conversions; Pyrimidine Conversions
rxn02213_LSQBKT_c0_RSQBKT_,24.532,0.4889,dltkcat,Chorismate Synthesis
rxn03062_LSQBKT_c0_RSQBKT_,35.318,3.9675,dltkcat,Branched Chain Amino Acid Biosynthesis
rxn03446_LSQBKT_c0_RSQBKT_,43.782,4.8748,fallback_mean,Threonine and Homoserine Biosynthesis
rxn01519_LSQBKT_c0_RSQBKT_,17.723,6.9521,dltkcat,Folate Biosynthesis
rxn00029_LSQBKT_c0_RSQBKT_,35.756,4.1658,dltkcat,Heme and Siroheme Biosynthesis
rxn03491_LSQBKT_c0_RSQBKT_,20.166,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn01964_LSQBKT_c0_RSQBKT_,71.651,4.8748,fallback_mean,Tryptophan Synthesis
rxn12510_LSQBKT_c0_RSQBKT_,32.09,4.8748,fallback_mean,Coenzyme A Biosynthesis
rxn09207_LSQBKT_c0_RSQBKT_,22.482,4.3338,dltkcat,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn02380_LSQBKT_c0_RSQBKT_,49.256,4.8748,fallback_mean,Glycolysis and Gluconeogenesis
rxn00474_LSQBKT_c0_RSQBKT_,71.651,0.1309,dltkcat,Tryptophan Synthesis
rxn03435_LSQBKT_c0_RSQBKT_,36.604,4.8748,fallback_mean,Coenzyme A Biosynthesis; Branched Chain Amino Acid Biosynthesis
rxn01673_LSQBKT_c0_RSQBKT_,15.292,28.78,dltkcat,Purine Conversions; Pyrimidine Conversions
rxn12845_LSQBKT_c0_RSQBKT_,32.597,53.428,dltkcat,Protein Degradation
rxn00085_LSQBKT_c0_RSQBKT_,125.565,20.1281,dltkcat,Glutamine/Glutamate/Aspartate/Asparagine Biosynthesis
rxn00832_LSQBKT_c0_RSQBKT_,22.582,2.8383,dltkcat,De Novo Purine Biosynthesis
rxn00295_LSQBKT_c0_RSQBKT_,34.364,182.6351,dltkcat,N-Linked Glycosylation in Bacteria
rxn02187_LSQBKT_c0_RSQBKT_,36.604,4.8748,fallback_mean,"Valine, Leucine, and Isoleucine Biosynthesis"
rxn01219_LSQBKT_c0_RSQBKT_,20.212,3.4235,dltkcat,Pyrimidine Conversions
rxn03514_LSQBKT_c0_RSQBKT_,27.625,4.8748,fallback_mean,Coenzyme B12 Biosynthesis
rxn01270_LSQBKT_c0_RSQBKT_,41.781,0.0072,dltkcat,Phenylalanine and Tyrosine Branches from Chorismate
rxn08309_LSQBKT_c0_RSQBKT_,19.831,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn08312_LSQBKT_c0_RSQBKT_,19.831,4.8748,fallback_mean,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn05144_LSQBKT_c0_RSQBKT_,20.632,4.1704,dltkcat,Pyridoxin(Vitamin B6) Biosynthesis
rxn00410_LSQBKT_c0_RSQBKT_,59.546,1.6477,dltkcat,Pyrimidine Conversions
rxn05221_LSQBKT_c0_RSQBKT_,53.285,12.7482,dltkcat,Transport
rxn09210_LSQBKT_c0_RSQBKT_,22.482,3.5844,dltkcat,Glycerolipid and Glycerophospholipid Metabolism (Bacteria)
rxn00782_LSQBKT_c0_RSQBKT_,37.27,4.8748,fallback_mean,Glycolysis and Gluconeogenesis
rxn01607_LSQBKT_c0_RSQBKT_,35.202,4.8748,fallback_mean,Isoprenoid Biosynthesis; Archaeal Lipids
rxn01000_LSQBKT_c0_RSQBKT_,30.315,5.6756,dltkcat,Phenylalanine and Tyrosine Branches from Chorismate
rxn00675_LSQBKT_c0_RSQBKT_,71.808,7.83,dltkcat,Protein Acetylation and Deacetylation in Bacteria
rxn02305_LSQBKT_c0_RSQBKT_,22.358,2.0865,dltkcat,Thiamin Biosynthesis
rxn02296_LSQBKT_c0_RSQBKT_,27.453,0.1213,dltkcat,Biotin Biosynthesis
rxn12641_LSQBKT_c0_RSQBKT_,32.597,167.335,dltkcat,Protein Degradation
rxn10315_LSQBKT_c0_RSQBKT_,33.369,4.8748,fallback_mean,Teichoic and Lipoteichoic Acids Biosynthesis
