rung,experiment,change,species,role,growth_scale,fitted,peak_mu,peak_T_C,peak_mu_model,thermal_limit_C,fit_r2,descr_Topt_C,descr_rmax,descr_CTmax_C,descr_Ea_eV,pool_binds,pool_binding_ratio,all_caps_ratio,median_enzyme_Tm_C,plateau_lo_C,plateau_hi_C,plateau_width_C,observed_limit_C,ceiling_gap_C
B2,candida_B2_grounded_budget,budget: B0's fitted P -> grounded p_total x sigma x f_metab,parapsilosis,predict,7.577083577583541,none,0.7017178845424206,38.0,0.0926105509273279,53.22802734375,-0.7270724967042255,38.0,0.7017178845424245,53.3949575333724,1.11875569883916,True,30.630654519350088,30.630654519350088,54.206860000000006,38.0,38.0,0.0,40.0,13.22802734375
B3,candida_B3_ngamT,maintenance: constant -> NGAM(T),auris,calibrate_on,7.67030518625977,none,0.7987999999999967,38.0,0.1041418797039432,53.46923828125,0.2538990798223726,38.0,0.7987999999999965,53.58161416025092,1.305149877405939,True,19.636590878764064,19.636590878764064,53.68015200000002,38.0,38.0,0.0,44.0,9.46923828125
B3,candida_B3_ngamT,maintenance: constant -> NGAM(T),haemulonii,predict,7.67030518625977,none,0.6839529688367371,40.0,0.0891689381619311,53.079833984375,-2.0320977045911093,39.0,0.6859540969081361,53.28591540854178,1.3175642630904278,True,22.93389971043602,22.93389971043602,53.53632600000003,39.0,39.5,0.5,44.0,9.079833984375
B3,candida_B3_ngamT,maintenance: constant -> NGAM(T),duobushaemulonii,predict,7.67030518625977,none,0.5660430377464647,36.0,0.0737966774464786,53.672607421875,-0.3033291943772107,36.0,0.5660430377464664,53.91251136509637,1.2652379126173214,True,27.711159307611673,27.711159307611673,53.52176400000002,36.0,36.0,0.0,38.0,15.672607421875
B3,candida_B3_ngamT,maintenance: constant -> NGAM(T),parapsilosis,predict,7.67030518625977,none,0.6573587205154583,38.0,0.0857017686457926,53.07568359375,-0.4319087381673907,37.0,0.6598265053262392,53.29068883230932,1.1474923956850975,True,33.099921216631074,33.099921216631074,54.206860000000006,37.0,37.0,0.0,40.0,13.07568359375
B4,candida_B4_sectors,proteome sectors: off -> on,auris,calibrate_on,11.416926633527304,none,0.7987999999999998,32.0,0.0699662900218889,53.601318359375,0.1105131021212212,30.5,0.7987999999999998,53.751345737212816,1.805664368071212,False,1.0,28.59785556465424,53.68015200000002,30.0,48.0,18.0,44.0,9.601318359375
B4,candida_B4_sectors,proteome sectors: off -> on,haemulonii,predict,11.416926633527304,none,0.5359075326910846,30.0,0.0469397369268645,53.21044921875,-0.846455417337117,30.5,0.5359075326910845,53.440755370563146,1.9257564440061976,False,0.9999999999999986,43.56631755900233,53.53632600000003,30.0,50.5,20.5,44.0,9.21044921875
B4,candida_B4_sectors,proteome sectors: off -> on,duobushaemulonii,predict,11.416926633527304,none,0.7177358730730451,30.0,0.0628659442345297,53.82568359375,-1.1450218949713684,30.0,0.7177358730730451,53.95299345750102,1.5919975798031312,False,1.0,32.529400615740364,53.52176400000002,30.0,42.5,12.5,38.0,15.82568359375
B4,candida_B4_sectors,proteome sectors: off -> on,parapsilosis,predict,11.416926633527304,none,0.7608977602612549,30.0,0.0666464614064155,53.22509765625,-1.2430341932892754,30.5,0.7608977602612517,53.37081101448203,1.5873923152928755,False,0.9999999999999938,42.56372702225084,54.206860000000006,30.0,44.5,14.5,40.0,13.22509765625
B1s,candida_B1s_fit_dTm,B1 with a uniform dTm free (E. coli's question),auris,calibrate_on,1.9237855931470094,dTm=-9.16562,0.7988,38.0,0.4152229868263486,44.62060546875,0.6736972940256297,38.0,0.7987999999999931,44.77230020301062,1.3109097161816576,True,4.925044012428582,4.925044012428582,53.68015200000002,38.0,38.0,0.0,44.0,0.62060546875
B1s,candida_B1s_fit_dTm,B1 with a uniform dTm free (E. coli's question),haemulonii,predict,1.9237855931470094,dTm=-9.16562,0.6822803090520799,38.0,0.3546550673227452,44.23974609375,-1.4323128462937935,39.0,0.6873763870229258,44.420361563927855,1.3264780951663422,True,5.766142016597822,5.766142016597822,53.53632600000003,39.0,39.0,0.0,44.0,0.23974609375
B1s,candida_B1s_fit_dTm,B1 with a uniform dTm free (E. coli's question),duobushaemulonii,predict,1.9237855931470094,dTm=-9.16562,0.5681232386944026,36.0,0.2953152579571212,44.879150390625,-0.1213839885607559,36.5,0.5681811392292698,45.06899214987572,1.2664186157930224,True,6.924774220059815,6.924774220059815,53.52176400000002,36.5,36.5,0.0,38.0,6.879150390625
B1s,candida_B1s_fit_dTm,B1 with a uniform dTm free (E. coli's question),parapsilosis,predict,1.9237855931470094,dTm=-9.16562,0.772836856674067,38.0,0.4017271256355694,44.49365234375,-0.2847393465139365,37.5,0.7748138377497569,44.62047474773052,1.176024763761932,True,7.061315030230192,7.061315030230192,54.206860000000006,37.0,37.5,0.5,40.0,4.49365234375
B0u,transfer_candida_unpinned,B0 without the maintenance correction (K1 gate),auris,calibrate_on,2.0741244879538137,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.7987999999999544,34.0,0.3851263531380388,54.5283203125,0.9007429920852622,34.5,0.8015541980412428,55.25552269544375,1.312495616861252,True,5.309923531407008,5.309923531407008,53.68015200000002,34.5,35.0,0.5,44.0,10.5283203125
B0u,transfer_candida_unpinned,B0 without the maintenance correction (K1 gate),haemulonii,predict,2.0741244879538137,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.7304977220741969,34.0,0.3521956981448375,53.5576171875,-0.6681293940979822,34.5,0.7316136198516691,54.55725538104522,1.1874211196106033,True,5.806406767213898,5.806406767213898,53.53632600000003,34.5,34.5,0.0,44.0,9.5576171875
B0u,transfer_candida_unpinned,B0 without the maintenance correction (K1 gate),duobushaemulonii,predict,2.0741244879538137,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.5536769372990493,34.0,0.2669448919361963,52.7099609375,0.2550715033920455,34.0,0.553676937299047,54.70133788809486,1.156194252417553,True,7.660725291497881,7.660725291497881,53.52176400000002,34.0,34.0,0.0,38.0,14.7099609375
B0u,transfer_candida_unpinned,B0 without the maintenance correction (K1 gate),parapsilosis,predict,2.0741244879538137,pheno_sigma=10.2314;pheno_w=8.78845;pool_budget=0.356974,0.7861069474627813,34.0,0.3790066372719506,55.1708984375,-0.3226684316543078,33.5,0.7875658395443582,55.98689231179098,1.2766874739437244,True,7.484622988980022,7.484622988980022,54.206860000000006,33.5,33.5,0.0,40.0,15.1708984375
