rxn_id,enzyme_id,group,u_sub_27C,u_opt_37C,u_supra_44.65C
ACODANo1,P23908,default,4.695937012515488e-06,4.0152038828701675e-06,4.816074503409399e-06
FCLTNo2,P76536,default,4.379669846678267e-10,9.87162423848631e-08,1.746795759744354e-08
HBZOPTNo1,P0AGK1,default,0.010383773904699542,0.0051738906480194215,0.004419586509169984
PNTKNo1,P0A6I3,default,4.078760008424731e-05,2.7269002792235487e-05,2.6923454777694852e-05
ADSSNo1,P0A7D4,default,0.009936438529967244,0.006038665965644525,0.006345711040082977
OCTDPSNo1,P0AD57,default,8.85250376108069e-06,5.140806439120622e-06,4.853432503234156e-06
DPCOAKNo1,P0A6I9,default,0.000528820335245078,0.0004041745200535379,0.00039454260390347145
ASNS2No1,P00963,default,0.004631381640802607,0.003605400593458827,0.004445994966935937
ASPCTNo2,P0A786,default,3.454531173055913e-05,3.351037012870659e-05,3.72639821679924e-05
KDOPSNo1,P0A715,default,2.025639073860277e-05,1.4737649446160844e-05,1.6545668261815044e-05
KDOPPNo1,P0ABZ4,default,5.877206113965398e-05,4.159419114604118e-05,4.336386321242118e-05
DMPPSNo1,P62623,default,2.2027253445109115e-05,1.21181883147497e-05,1.1471042888013842e-05
MCOATANo1,P0A6A8,default,2.571232088191523e-06,7.873587222582525e-07,9.722693219074387e-07
IPDPSNo1,P62623,default,0.00015419077411576385,8.482731820324794e-05,8.029730021609689e-05
DAPENo1,P0A6K1,default,0.00015067085364245728,0.00010807071964701326,0.00011315623112730093
DHDPRyNo1,P04036,default,0.0015057659033867895,0.0007944254676606147,0.0006840742331542885
HSKNo1,P00547,default,0.007235201228746761,0.005019366698619396,0.005248879706558416
THRSNo1,P00934,default,0.0405622479771414,0.03173199966161937,0.03586810762285288
HSSTNo1,P07623,default,0.00028479752250882765,0.00018881342487082434,0.00019614304045531534
PPNDHNo1,P0A9J8,default,1.0855225065406968e-07,1.0445315897889405e-07,7.433737527507788e-06
DTMPKNo1,P0A720,default,3.458419023087377e-05,2.1275873771873566e-05,2.0217303099965692e-05
TRDRNo2,P0AGG4,default,0.013203639023018481,0.007764518108448784,0.007359924985894455
DDPANo2,P0AB91,default,0.00014335730362613461,0.00016376829595671032,0.00399101312400739
RHCCENo1,P45578,default,4.745665786798912e-05,2.7763112784921578e-05,4.839034868865334e-05
AACPS3No1,P0A6A8,default,0.003757167174427064,0.0011505139342937421,0.0014207112604690672
U23GAATNo1,P21645,default,0.00013278291147112656,7.900229806433083e-05,7.614356777775989e-05
UAAGDSNo1,P22188,default,0.0018745006152171644,0.0014148733200628398,0.0014347925850141494
AACPS4No1,P0A6A8,default,0.004428363240940191,0.0013560465580275414,0.0016745130652352216
UAMASNo1,P17952,default,0.002765223087516662,0.0018566642071148906,0.0019164679195515313
UAMAGSNo1,P14900,default,0.0010400754848544178,0.000955345258769262,0.0010042897689255855
P5CRNo1,P0A9L8,default,4.527559071124089e-06,2.163155941742837e-06,1.9016545692438618e-06
DHPPDA2No1,P25539,default,3.515164512873804e-08,2.083165384441796e-08,2.073140400022988e-08
ASP1DCNo1,P0A790,default,3.308325160315905e-05,1.940583070197106e-05,1.787846733108505e-05
UGMDDSNo1,P11880,default,4.997005952780909e-05,3.440412547016967e-05,3.8581053038647844e-05
UHGADANo1,P0A725,default,0.0006845380758333951,0.0004974455221484975,0.0005085006138159202
UAGAATNo1,P0A6A8,default,0.00019345300293813417,5.92388800333942e-05,7.315108614715114e-05
ATPPRTNo1,P60757,default,0.0016759166998027422,0.0014289381395340476,0.0015168608584301224
HISTDNo1,P06988,default,0.00759528669055359,0.0040929230309984,0.0036833051718689475
DHDPSNo1,P0A6L2,default,0.0002603979010442063,0.00012683347329580123,0.00011528113662885555
G1PACTNo1,P0ACC7,default,6.550253542060546e-06,1.0226570882552043e-05,3.1628975545079244e-05
GARTNo1,P33221,default,4.747210653030064e-05,3.7261928283217785e-05,0.00023284040245762726
GF6PTANo1,P17169,default,0.0005685191641601111,0.00044879109168775177,0.000595676755042084
IGPDHNo1,P06987,default,9.855651370336415e-06,5.094308339263144e-06,4.716171704802918e-06
PRATPPNo1,P06989,default,0.000612470545689129,0.0003311225345560375,0.0002700754116500246
PRMICINo1,P10371,default,0.00047003842400506813,0.00023076016488126722,0.00021647773607132262
GLUPRTNo1,P0AG16,default,0.0006618552149436536,0.000490432438866321,0.0004973778196729233
SERATNo1,P0A9D4,default,6.721938112308929e-05,4.580667388878849e-05,4.5217866438405564e-05
CYSSNo2,P0ABK5,default,0.0007259453001883175,0.00046251104116665876,0.0004364291715883893
NADS1No1,P18843,default,3.0379191797945288e-05,2.1159474255582128e-05,3.6692795136848894e-05
BPNTNo1,P22255,default,0.0014183760838998565,0.0007651587633243294,0.0007412151544964862
PAPSRNo1,P0AGG4,default,0.025619107152209417,0.015065545268151743,0.014280510586296539
ASPKNo3,P08660,default,0.0049369288862031735,0.0029072494109891665,0.003129656293380777
DAPDCNo1,P00861,default,0.0017697274545991043,0.001233478759423375,0.0017892799324743293
OCBTNo2,P06960,default,6.292371840458898e-06,4.172112722202784e-06,3.921152889892223e-06
PPNDNo1,P07023,default,1.236445047035257e-07,7.668178561915124e-08,8.108343551546255e-08
METATNo1,P0A817,default,7.38405693734736e-05,0.004981406581066985,0.0006897317807368824
PRAMPCNo1,P06989,default,0.000612470545689129,0.0003311225345560375,0.0002700754116500245
TMPKNo1,P0AGG0,default,0.00022055049663781146,0.0001581470438109992,0.00015261432180936152
PDX5PSNo1,P0A794,default,9.130237473476294e-06,5.326253638520075e-06,5.387532513829477e-06
PPBNGSNo1,P0ACB2,default,6.755538115294411e-05,0.004984852613439201,0.0007078083637150505
SULRNo1,P17846,default,0.00015413460740963604,0.0001236382366817343,0.0003071245248515769
CBMKrNo1,P37306,default,0.00011495922141233574,7.741582665666989e-05,7.982129946950709e-05
PPNCL2No1,P0ABQ0,default,1.738106601322446e-05,1.2334514418778158e-05,1.552805211752657e-05
PRAGSrNo1,P15640,default,0.002384249001735317,0.0016404785073771988,0.002008847229300139
PRFGSNo1,P15254,default,0.019394049024835477,0.015219728769058399,0.0193089233295871
NNATrNo1,P0A752,default,8.07848607208275e-05,2.901462187160167e-05,1.6802767352434184e-05
AIRC2No1,P09029,default,0.0044314687513244974,0.003677312799299965,0.003775657035504071
GAPDNo1,P0A9B2,default,0.1357481797719565,0.08713280813201645,0.07570790373433126
HEX1No1,P0A6V8,default,0.01732010633303728,0.013026283878900693,0.049863826569217645
MOAT2No1,P0AC75,default,9.914134044612667e-05,7.797494890856987e-05,7.878177407216309e-05
G6PDH2rNo1,P0AC53,default,0.002893835549269625,0.0024680049594551943,0.0024171293074472444
