rank,rxn_id,enzyme_id,group,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
38,GLUPRTNo1,P0AG16,default,2.497481947523833e-05,0.0,-0.0,0.000643016247792616,0.003539044806344514,0.000643016247792616,0.003539044806344514
39,UHGADANo1,P0A725,default,2.5384844974029127e-05,0.0,-0.0,0.0006535729556631509,0.0035971459046880826,0.0006535729556631509,0.0035971459046880826
40,ADSL2rNo1,P0AB89,default,2.6653934155063488e-05,0.0,-0.0,0.000686247508639326,0.0037769770637632633,0.000686247508639326,0.0037769770637632633
41,DHAD1No1,P05791,default,2.767615541384006e-05,0.0,-0.0,0.0007125660759328412,0.003921826492883079,0.0007125660759328412,0.003921826492883079
42,ICDHyrNo1,P08200,default,2.9313110408620183e-05,0.0,-0.0,0.0007547118341690862,0.0041537835278817785,0.0007547118341690862,0.0041537835278817785
43,MCTP1AppNo1,P02918,default,3.0548809105477956e-05,0.0,-0.0,0.0003778728021401889,0.0019294357568788998,0.0003778728021401889,0.0019294357568788998
44,SUCOASNo1,P0A836,default,3.079722712685034e-05,0.0,-0.0,0.0007929225303158205,0.004364082723207344,0.0007929225303158205,0.004364082723207344
45,GLU5KNo1,P0A7B5,default,3.0833800590876783e-05,0.0,-0.0,0.0007938641659208656,0.004369265172123758,0.0007938641659208656,0.004369265172123758
46,AIRC3_REVNo1,P0AG18,default,3.235756032942105e-05,0.0,-0.0,0.0008330955066639945,0.004585181163256805,0.0008330955066639945,0.004585181163256805
47,NNDPRNo1,P30011,default,3.37971542838423e-05,0.0,-0.0,0.0008701598614138106,0.00478917034500735,0.0008701598614138106,0.00478917034500735
48,DHDPRyNo1,P04036,default,3.559298587514519e-05,0.0,-0.0,0.0009163960245786029,0.005043637320385573,0.0009163960245786029,0.005043637320385573
49,PGAMT_REVNo1,P31120,default,3.6052473300362674e-05,0.0,-0.0,0.0009282261578533735,0.005108745948353398,0.0009282261578533735,0.005108745948353398
50,VPAMTr_REVNo1,P09053,default,9.0721341039761e-05,0.0,-0.0,0.002335737373812208,0.012854841684908361,0.002335737373812208,0.012854841684908361
51,ACLSNo2,P08142,default,9.437439792675219e-05,0.0,-0.0,0.0014587537168821996,0.006818684513009864,0.0014587537168821996,0.006818684513009864
52,UAMASNo1,P17952,default,9.447716579077508e-05,0.0,-0.0,0.002432434292231278,0.013386980191393812,0.002432434292231278,0.013386980191393812
53,DHORTS_REVNo1,P05020,default,0.00032835763295356444,0.0,-0.0,0.008453636044436053,0.04651678900324172,0.008453636044436053,0.04651678900324172
54,R15BPKNo1,P16690,default,0.00037696943906066435,0.0,-0.0,0.009705074780526957,0.053401021010396475,0.009705074780526957,0.053401021010396475
