rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,gene,enzyme_name,cog,cog_category
ENONo1,P0A6P9,34.890969184153306,0.0152306074404154,1.0620058635402196,1.0742366800819485,-0.0122308165417289,0.016361277172423264,eno,Enolase,G,carbohydrate/glycolysis
AACPS3No1,P0A6A8,0.0901880074862856,0.007813915691042,1.9082031310544656,2.0707782317497636,-0.1625751006952984,0.016180886517737688,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),I,lipid metab
ACONTbNo1,P36683,0.7597336897913104,0.025591468313002,0.6157832027214373,0.6163846344165284,-0.0006014316950912,0.015774187840291908,acnB,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",C,energy (ETC/TCA)
ACONTaNo1,P36683,0.7597336897913104,0.0251085699930167,0.6157832027214373,0.6163846344165284,-0.0006014316950912,0.015476536735867413,acnB,"Aconitase (half-reaction A, Citrate hydro-lyase)",C,energy (ETC/TCA)
EDANo1,P0A955,35.361155637855184,0.0124577581420093,1.1098590870679628,1.109858414024245,6.730437180689639e-07,0.013826347693788064,eda,2-dehydro-3-deoxy-phosphogluconate aldolase,G,carbohydrate/glycolysis
GHMT2r_REVNo1,P0A825,0.4254349384484208,0.013628582784031,1.0017936577434925,1.001799792836037,-6.135092544839701e-06,0.013653111409691035,glyA,"Glycine hydroxymethyltransferase, reversible",E,amino-acid metab
PFLNo3,P32674,1.2521727324602208,0.016945473683276,0.6741107472375399,0.6741107483273904,-1.0898506288343983e-09,0.011423125945395286,,Pyruvate formate lyase,S,unknown/other
AGPR_REVNo1,P11446,0.2090051319006698,0.0134100848936044,0.8488220047068172,0.8488464017546787,-2.4397047861181564e-05,0.011383102309160868,argC,N-acetyl-g-glutamyl-phosphate reductase,E,amino-acid metab
ACACT5rNo1,P21151,0.2514817132934726,0.0155168104958261,0.7087275934638998,0.7087346109323013,-7.017468401498393e-06,0.01099730064966956,fadA,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),I,lipid metab
ACACT4rNo2,P21151,0.2514817132934726,0.0155168104958233,0.7087275934638998,0.7087346109323013,-7.017468401498393e-06,0.010997300649667575,fadA,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),I,lipid metab
ACACT3rNo2,P21151,0.2514817132934726,0.0155168104958233,0.7087275934638998,0.7087346109323013,-7.017468401498393e-06,0.010997300649667575,fadA,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),I,lipid metab
ACACT2rNo2,P21151,0.2514817132934726,0.0155168104958233,0.7087275934638998,0.7087346109323013,-7.017468401498393e-06,0.010997300649667575,fadA,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),I,lipid metab
TRDRNo2,P0AGG4,0.1747135778679519,0.0113853136635311,0.8658414549858082,0.8671097005789236,-0.0012682455931151,0.00987231592178158,trxB;trxC,Thioredoxin reductase (NADPH),O,chaperone/PTM (stress)
AACPS7No1,P0A6A8,0.054994135257253,0.0047647139603521,1.9082031310544656,2.0707782317497636,-0.1625751006952984,0.009866665949611336,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),I,lipid metab
PRFGSNo1,P15254,0.3164310985700743,0.0159800926325531,0.5864046831610612,0.5865761001675566,-0.0001714170064952,0.009373540416719301,purL,Phosphoribosylformylglycinamidine synthase,F,nucleotide metab
GMPSNo1,P04079,0.1718764588089938,0.0108218223831502,0.8328106817707457,0.8328106818728398,-1.0209384877213971e-10,0.009012529278018079,guaA,GMP synthase,F,nucleotide metab
ACACT6rNo2,P21151,0.1964875780362195,0.0121236036342703,0.7087275934638998,0.7087346109323013,-7.017468401498393e-06,0.008592417504831995,fadA,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),I,lipid metab
ACACT7rNo2,P21151,0.1964875780362195,0.0121236036342661,0.7087275934638998,0.7087346109323013,-7.017468401498393e-06,0.008592417504829019,fadA,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),I,lipid metab
HBZOPTNo1,P0AGK1,0.0001575823931225,0.0086506736888439,0.979859645900692,0.9799285122685468,-6.886636785490185e-05,0.008477041798029465,,Hydroxybenzoate octaprenyltransferase,S,unknown/other
DHORTS_REVNo1,P05020,0.2337554606859454,0.0096072570832397,0.8537389247372854,0.8566941780851969,-0.0029552533479113,0.008230481210579222,pyrC,Dihydroorotase,F,nucleotide metab
IMPDNo1,P0ADG7,0.1718764588089938,0.0085978261075064,0.9163930736118796,0.9163930741952464,-5.833666474545507e-10,0.007878988298053939,guaB,IMP dehydrogenase,F,nucleotide metab
PDHNo1,P0A9P0,1.745186420878277,0.007362294430499,0.9456883562707004,0.9456885530999456,-1.968292451677517e-07,0.006962437567474388,aceE;aceF;lpdA,Pyruvate dehydrogenase,C,energy (ETC/TCA)
PRAISNo1,P08178,0.3164310985700743,0.0079741175829511,0.870165177932607,0.8701729415868696,-7.763654262867104e-06,0.006938861353716137,purM,Phosphoribosylaminoimidazole synthase,F,nucleotide metab
CYTBDppNo1,P26458,0.2336862092306718,0.0083539735619281,0.7779726749839005,0.7779813433762119,-8.668392311271857e-06,0.006499235574238182,,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),S,unknown/other
CYTBD2ppNo1,P26458,57.982802586991966,0.0082858214963524,0.7779726749839005,0.7779813433762119,-8.668392311271857e-06,0.006446214538707735,,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),S,unknown/other
ADSSNo1,P0A7D4,0.2114965590012829,0.0076736253479356,0.7524379582427572,0.752499597570867,-6.16393281099273e-05,0.005774399986231144,purA,Adenylosuccinate synthase,F,nucleotide metab
HSDy_REVNo1,P00562,1.6682166082555214,0.0110626094754401,0.5158056479980846,0.5176577211002099,-0.0018520731021254,0.005726645210477911,metL,Homoserine dehydrogenase (NADPH),E,amino-acid metab
HISTDNo1,P06988,0.0669419192402025,0.0062191247921838,0.9057150915604872,0.9057150916560756,-9.558860009744216e-11,0.005632755181173322,hisD,Histidinol dehydrogenase,E,amino-acid metab
GTPCINo1,P0A6T5,0.0004727471793675,0.0075114901019787,0.7480952976229363,0.7484392190548244,-0.0003439214318882,0.005621893785862981,folE,GTP cyclohydrolase I,H,coenzyme metab
HSKNo1,P00547,1.5594614376333866,0.0061881426731524,0.7238827726905491,0.723908028960502,-2.5256269952774256e-05,0.004479646165448126,thrB,Homoserine kinase,E,amino-acid metab
3OAR140No1,P0AEK2,0.054994135257253,0.0056606407595485,0.7859362802683152,0.7870419752841906,-0.0011056950158752,0.004455161884769253,fabG,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),I,lipid metab
ORPT_REVNo1,P0A7E3,0.2337554606859454,0.0047428613246247,0.8737332481052781,0.8737481579604429,-1.4909855164745274e-05,0.004144066345852657,pyrE,Orotate phosphoribosyltransferase,F,nucleotide metab
IMPC_REVNo1,P15639,0.3833730178102768,0.005433856098759,0.7130311617799231,0.713031372385913,-2.1060598971002882e-07,0.003874509871445693,purH,IMP cyclohydrolase,F,nucleotide metab
AICARTNo1,P15639,0.3833730178102768,0.005433856098759,0.7130311617799231,0.713031372385913,-2.1060598971002882e-07,0.003874509871445693,purH,Phosphoribosylaminoimidazolecarboxamide formyltransferase,F,nucleotide metab
HEX1No1,P0A6V8,35.97608217917779,0.0057939331666395,0.6286558632445702,0.6287293580472065,-7.349480263640826e-05,0.0036428158804296716,glk,Hexokinase (D-glucose:ATP),G,carbohydrate/glycolysis
AIRC2No1,P09029,0.3164310985700743,0.0045347130524966,0.7184197464759946,0.7184197464759946,-0.0,0.003257827401515991,purK,Phosphoribosylaminoimidazole carboxylase,F,nucleotide metab
ASNS2No1,P00963,0.1703260741878692,0.0044063172028485,0.7084086818651236,0.7119497589915018,-0.0035410771263783,0.003137076470608098,asnA,Asparagine synthetase,E,amino-acid metab
ASPKNo3,P08660,1.9303298332284935,0.0035265697248959,0.7157196446951785,0.7157263121254324,-6.667430254029982e-06,0.002524058743652943,lysC,Aspartate kinase,E,amino-acid metab
METSNo1,P13009,0.1090703354083798,0.0035437996926859,0.6646223995356528,0.6646245374575294,-2.137921876511065e-06,0.002355296231593501,metH,Methionine synthase,E,amino-acid metab
IPPSNo1,P09151,0.3183447000076133,0.0031043505060363,0.7390422458753504,0.7409085132928575,-0.001866267417507,0.002300039718167285,leuA,2-isopropylmalate synthase,E,amino-acid metab
VPAMTr_REVNo1,P09053,0.4112928726398029,0.0025417778024741,0.821004463945984,0.8210067817258833,-2.317779899236111e-06,0.002086816813471549,avtA,Valine-pyruvate aminotransferase,E,amino-acid metab
KARA1_REVNo1,P05793,0.6178261515757077,0.0027397789165412,0.7150757995046374,0.7150763356380622,-5.361334245944572e-07,0.0019591510680987017,ilvC,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",E,amino-acid metab
ACLSNo2,P08142,0.6178261515757077,0.0024637524423609,0.7775531654614918,0.7775532837159176,-1.1825442588617067e-07,0.00191569880182083,ilvB;ilvN,Acetolactate synthase,E,amino-acid metab
UAMASNo1,P17952,0.0196363208075728,0.0023500290796771,0.746102557477804,0.7461330596148086,-3.050213700475525e-05,0.0017534343874032474,murC,UDP-N-acetylmuramoyl-L-alanine synthetase,M,cell wall/membrane
PRAGSrNo1,P15640,0.3164310985700743,0.0021205230343171,0.7561314979092651,0.7566007880275957,-0.0004692901183303,0.001604389398794986,purD,Phosphoribosylglycinamide synthase,F,nucleotide metab
PPM_REVNo1,P0A6K6,1.8541437633510436,0.0018785522590089,0.8143537185155584,0.8143537185155584,-0.0,0.0015298060175497,deoB,Phosphopentomutase,G,carbohydrate/glycolysis
EDDNo1,P0ADF6,35.361155637855184,0.0022926829561051,0.6364178679654148,0.64344279210735,-0.0070249241419351,0.0014752103226931984,edd,6-phosphogluconate dehydratase,E,amino-acid metab
UAAGDSNo1,P22188,0.0196363208075728,0.0018258002118437,0.7561842430541,0.7561860823068761,-1.8392527761411643e-06,0.001380644709269152,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",M,cell wall/membrane
IG3PSNo1,P60595,0.0669419192402025,0.000470871669464,2.863853034127533,2.8835142182723805,-0.0196611841448473,0.0013577651538810968,hisF;hisH,Imidazole-glycerol-3-phosphate synthase,E,amino-acid metab
DHDPRyNo1,P04036,0.2621132249729722,0.001326944839286,0.9749342945160638,0.9750199486889174,-8.565417285370527e-05,0.0012937976891136593,dapB,Dihydrodipicolinate reductase (NADPH),E,amino-acid metab
MECDPDH5No1,P0ABY4,0.0016881808841691,0.0010494621016599,1.0984752773972122,1.098655170298933,-0.0001798929017209,0.0011529969640214335,ispG,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase",I,lipid metab
ATPPRTNo1,P60757,0.0669419192402025,0.0016401592887779,0.661739769368411,0.6617420331246788,-2.263756267757438e-06,0.0010853623424042149,hisG,ATP phosphoribosyltransferase,E,amino-acid metab
G6PDH2rNo1,P0AC53,35.361155637855184,0.001342859554973,0.7892228836910697,0.7892228836910699,-2.978976573524835e-17,0.0010598154903678977,zwf,Glucose 6-phosphate dehydrogenase,G,carbohydrate/glycolysis
PGLNo1,P52697,35.361155637855184,0.0011465824718309,0.9224455292964078,0.9224455365018984,-7.205490882242761e-09,0.0010576598833717274,pgl,6-phosphogluconolactonase,G,carbohydrate/glycolysis
AIRC3_REVNo1,P0AG18,0.3164310985700743,0.0011131737435943,0.9345603741296136,0.9345603741296136,-0.0,0.0010403280702847514,purE,Phosphoribosylaminoimidazole carboxylase (mutase rxn),F,nucleotide metab
NNATrNo1,P0A752,0.0016097430113595,0.0004653715651628,2.1188020290313463,2.119227631482874,-0.0004256024515275,0.0009862282797994386,,Nicotinate-nucleotide adenylyltransferase,S,unknown/other
MCTP1AppNo1,P02918,0.0098181604037864,0.0010239277784609,0.9210156581466936,0.9210159685941064,-3.104474125388295e-07,0.0009430538346495773,ftsI;mrcA;mrdA,Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm),D,cell cycle
GLUTRRNo1,P0A6X1,0.0025213182899604,0.0014827240834167,0.6300928724023818,0.630121797081995,-2.892467961325308e-05,0.0009342967640192848,hemA,Glutamyl-tRNA reductase,H,coenzyme metab
MTHFC_REVNo1,P24186,0.5536292752248496,0.0011223840803931,0.7825963638017583,0.7827820349516058,-0.0001856711498475,0.0008785820944473976,folD,Methenyltetrahydrofolate cyclohydrolase,H,coenzyme metab
MTHFD_REVNo1,P24186,0.5536292752248496,0.0011223840803931,0.7825963638017583,0.7827820349516058,-0.0001856711498475,0.0008785820944473976,folD,Methylenetetrahydrofolate dehydrogenase (NADP),H,coenzyme metab
CSNo1,P0ABH7,0.7597336897913104,0.0010785745578931,0.791529105406413,0.791529116169411,-1.0762997840494246e-08,0.0008537231665319388,gltA,Citrate synthase,C,energy (ETC/TCA)
DAPDCNo1,P00861,0.2424769041653993,0.001352644593737,0.6226529521636907,0.624031678432939,-0.0013787262692485,0.000844093076152941,lysA,Diaminopimelate decarboxylase,E,amino-acid metab
BPNTNo1,P22255,0.1747135778679519,0.0010337070171534,0.8133813778692659,0.8133927147151242,-1.1336845858179356e-05,0.0008408097569024775,cysQ,"3',5'-bisphosphate nucleotidase",P,inorganic ion
CTPS2No1,P0A7E5,0.1134345903856206,0.0011050305541451,0.7541711777299935,0.7541734223593839,-2.244629390340727e-06,0.0008333846748312965,pyrG,CTP synthase (glutamine),F,nucleotide metab
UAGAATNo1,P0A6A8,0.0274970676286265,0.0004023323568233,1.9082031310544656,2.0707782317497636,-0.1625751006952984,0.0008331410864382681,acpP;lpxA,UDP-N-acetylglucosamine acyltransferase,I,lipid metab
PRPPS_REVNo1,P0A717,1.1946099335302998,0.0012901474170712,0.6216267276146129,0.6367063947805526,-0.0150796671659396,0.0008214451106588457,prs,Phosphoribosylpyrophosphate synthetase,F,nucleotide metab
PGK_REVNo1,P0A799,34.890969184153306,0.0011479784734647,0.7065698336036856,0.7065698344745042,-8.70818476078856e-10,0.000811126959976247,pgk,Phosphoglycerate kinase,G,carbohydrate/glycolysis
THDPSNo1,P0A9D8,0.2621132249729722,0.0007350606873859,1.0650513952949223,1.0650513952983511,-3.4289902862280794e-12,0.0007828774107293179,dapD,Tetrahydrodipicolinate succinylase,E,amino-acid metab
PRATPPNo1,P06989,0.0669419192402025,0.0007010759748737,1.1161262062793418,1.1161252423128172,9.639665247385455e-07,0.0007824885923356029,hisI,Phosphoribosyl-ATP pyrophosphatase,E,amino-acid metab
PRAMPCNo1,P06989,0.0669419192402025,0.0007010759748737,1.1161262062793418,1.1161252423128172,9.639665247385455e-07,0.0007824885923356029,hisI,Phosphoribosyl-AMP cyclohydrolase,E,amino-acid metab
PPCNo1,P00864,3.2666264069650026,0.0011766127229181,0.6542337434562087,0.6542337494996912,-6.0434825453827745e-09,0.0007697797534237498,ppc,Phosphoenolpyruvate carboxylase,C,energy (ETC/TCA)
ASAD_REVNo1,P0A9Q9,1.9303298332284935,0.000940848173464,0.7605736254805179,0.7605736254805179,-0.0,0.0007155843063182376,asd,Aspartate-semialdehyde dehydrogenase,E,amino-acid metab
ACOAD5f_REVNo1,Q47146,0.2514817132934726,0.0011700862324007,0.6110639920629147,0.6110639964448212,-4.381906432718274e-09,0.0007149975693558356,fadE,Acyl-CoA dehydrogenase (dodecanoyl-CoA),I,lipid metab
ACOAD3f_REVNo1,Q47146,0.2514817132934726,0.0011700862324007,0.6110639920629147,0.6110639964448212,-4.381906432718274e-09,0.0007149975693558356,fadE,Acyl-CoA dehydrogenase (octanoyl-CoA),I,lipid metab
ACOAD2f_REVNo1,Q47146,0.2514817132934726,0.0011700862324007,0.6110639920629147,0.6110639964448212,-4.381906432718274e-09,0.0007149975693558356,fadE,Acyl-CoA dehydrogenase (hexanoyl-CoA),I,lipid metab
ACOAD4f_REVNo1,Q47146,0.2514817132934726,0.0011700862324007,0.6110639920629147,0.6110639964448212,-4.381906432718274e-09,0.0007149975693558356,fadE,Acyl-CoA dehydrogenase (decanoyl-CoA),I,lipid metab
ANPRTNo1,P00904,0.0401652787406719,0.0010461578171042,0.6741147501199508,0.6741149930794575,-2.4295950656609664e-07,0.0007052306696372182,trpGD,Anthranilate phosphoribosyltransferase,E,amino-acid metab
NNDPRNo1,P30011,0.0016097430113595,0.0008850238391006,0.7792754404478962,0.7795529230216685,-0.0002774825737723,0.0006899229207147315,nadC,Nicotinate-nucleotide diphosphorylase (carboxylating),H,coenzyme metab
PGM_REVNo1,P62707,34.890969184153306,0.0008103127904127,0.8415157376925799,0.8415262835755019,-1.0545882922188587e-05,0.000681899511049694,gpmA,Phosphoglycerate mutase,G,carbohydrate/glycolysis
KARA2No1,P05793,0.2052888726834889,0.0009103637565788,0.7150757995046374,0.7150763356380622,-5.361334245944572e-07,0.0006509795791520692,ilvC,Ketol-acid reductoisomerase (2-Acetolactate),E,amino-acid metab
PGAMT_REVNo1,P31120,0.0667697092437721,0.0008776247886921,0.7315922975303146,0.7315932385902051,-9.410598903059756e-07,0.0006420643614262979,glmM,Phosphoglucosamine mutase,G,carbohydrate/glycolysis
UAMAGSNo1,P14900,0.0196363208075728,0.0010381732591421,0.6161498870706091,0.6161498909680772,-3.897467827906645e-09,0.0006396703404263782,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,M,cell wall/membrane
PRASCSiNo1,P0A7D7,0.3164310985700743,0.000482382292187,1.2278673900788295,1.2850267265604571,-0.0571593364816278,0.0006198741378797907,purC,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,F,nucleotide metab
ICDHyrNo1,P08200,0.7597336897913104,0.0007823520921629,0.7914068234976265,0.7914764429479851,-6.961945035884825e-05,0.0006192132510380063,icd,Isocitrate dehydrogenase (NADP),C,energy (ETC/TCA)
PYKNo1,P21599,30.0339060822528,0.0009455330214527,0.6543516425423616,0.6544784018343391,-0.0001267592919775,0.000618830940761957,pykA,Pyruvate kinase,G,carbohydrate/glycolysis
DPCOAKNo1,P0A6I9,0.0004762804168815,0.0006520429617906,0.9047874842404994,0.9063620058175922,-0.0015745215770923,0.0005909869667277718,,Dephospho-CoA kinase,S,unknown/other
CYSSNo1,P16703,0.1747135778679519,0.0006676957090334,0.8842645681764025,0.88426894711359,-4.378937187475289e-06,0.0005904225816192266,cysM,Cysteine synthase,E,amino-acid metab
DHAD1No1,P05791,0.6178261515757077,0.0007298175860218,0.7836211644127358,0.7838918767112738,-0.0002707122985381,0.0005720980771635203,ilvD,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",E,amino-acid metab
ACOAD6f_REVNo1,Q47146,0.1964875780362195,0.0009142113372759,0.6110639920629147,0.6110639964448212,-4.381906432718274e-09,0.0005586416333509759,fadE,Acyl-CoA dehydrogenase (tetradecanoyl-CoA),I,lipid metab
HMBSNo1,P06983,0.000315164786245,0.0005406499235013,0.947764780323262,0.9477647708019828,9.521279269538241e-09,0.0005124089508313192,hemC,Hydroxymethylbilane synthase,H,coenzyme metab
GLUPRTNo1,P0AG16,0.3164310985700743,0.0006473573588822,0.7729849629712942,0.7730460540915512,-6.109112025704758e-05,0.000500437051871013,purF,Glutamine phosphoribosyldiphosphate amidotransferase,F,nucleotide metab
UHGADANo1,P0A725,0.0274970676286265,0.0006383480740251,0.7532131594606831,0.7533478019158146,-0.0001346424551314,0.0004808981184240028,lpxC,UDP-3-O-acetylglucosamine deacetylase,M,cell wall/membrane
GLU5KNo1,P0A7B5,0.156200897254568,0.0007006402834769,0.6825713042952232,0.6827549609520834,-0.0001836566568603,0.00047836562938672754,proB,Glutamate 5-kinase,E,amino-acid metab
NADH17ppNo1,P0AFC3,36.33421014428605,0.0005172786083681,0.8498454730009504,0.8514156528551731,-0.0015701798542225,0.00044041910405174124,nuoA;nuoB;nuoC;nuoE;nuoF;nuoG;nuoI;nuoJ;nuoL,NADH dehydrogenase (menaquinone-8 & 3 protons) (periplasm),C,energy (ETC/TCA)
TDSKNo1,P27300,0.0137485338143132,0.000506279351925,0.8136771635475399,0.813705264444348,-2.8100896808085447e-05,0.0004119621739408452,lpxK,Tetraacyldisaccharide 4'kinase,M,cell wall/membrane
CHORSNo1,P12008,0.269148042192763,0.0005187368884676,0.7681033654680537,0.768123143175248,-1.9777707194269305e-05,0.0003984538092506809,aroC,Chorismate synthase,E,amino-acid metab
PAPPT3No1,P0A6W3,0.0196363208075728,0.000428554013504,0.9049357483595288,0.9049410018266224,-5.253467093514143e-06,0.00038781609831712964,mraY,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",M,cell wall/membrane
SDPTA_REVNo2,P50457,0.2621132249729722,0.0005283803286182,0.7163189251359544,0.7163193220645842,-3.969286297644438e-07,0.0003784890387880512,puuE,Succinyldiaminopimelate transaminase,E,amino-acid metab
TKT2_REVNo2,P33570,0.4086524371357954,0.0004978358531582,0.6799842331926311,0.6801088064057935,-0.0001245732131623,0.0003385825478774333,tktB,Transketolase,G,carbohydrate/glycolysis
IPMDNo1,P30125,0.3183447000076133,0.0004237937717657,0.772687769680222,0.7726915104681409,-3.740787918863481e-06,0.0003274618496326293,leuB,3-isopropylmalate dehydrogenase,C,energy (ETC/TCA)
SUCOASNo1,P0A836,0.3709376470503805,0.0005914879109433,0.5405483924058448,0.5406351084170152,-8.671601117044734e-05,0.00031977913086018485,sucC;sucD,Succinyl-CoA synthetase (ADP-forming),C,energy (ETC/TCA)
ACHBSNo1,P08142,0.2052888726834889,0.000409328610737,0.7775531654614918,0.7775532837159176,-1.1825442588617067e-07,0.000318274805397429,ilvB;ilvN,2-aceto-2-hydroxybutanoate synthase,E,amino-acid metab
DASYN161No1,P0ABG1,0.0531497852749669,0.0004173815028596,0.7446447408772824,0.744722239317021,-7.749843973848966e-05,0.0003108332874591049,,CDP-diacylglycerol synthetase (n-C16:1),S,unknown/other
SADT2No1,P21156,0.1747135778679519,0.0004989317539408,0.6205427678435129,0.620549295444351,-6.527600838176166e-06,0.00030961174838277773,cysD;cysN,Sulfate adenyltransferase,P,inorganic ion
DHPS2No1,P0AC13,0.0004727471793675,0.0003547929125755,0.8564933393958652,0.8565628294683199,-6.94900724544588e-05,0.0003039024210709765,folP,Dihydropteroate synthase,H,coenzyme metab
ACOTA_REVNo4,P50457,0.2090051319006698,0.0004213225220345,0.7163189251359544,0.7163193220645842,-3.969286297644438e-07,0.0003018014633542939,puuE,Acetylornithine transaminase,E,amino-acid metab
PRMICINo1,P10371,0.0669419192402025,0.000340602028645,0.8820712110326168,0.8827757213783043,-0.0007045103456877,0.00030067520154000374,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,E,amino-acid metab
ASPTA_REVNo2,P04693,3.2437562551904455,0.0004309390274903,0.6848197095802632,0.6848362625688076,-1.6552988544300285e-05,0.0002951226729814937,tyrB,Aspartate transaminase,E,amino-acid metab
THRANo1,P0A825,1.1749151729742455,0.0002940459087399,1.0017936577434925,1.001799792836037,-6.135092544839701e-06,0.00029457513045991603,glyA,Threonine aldolase,E,amino-acid metab
DB4PSNo1,P0A7J0,0.0006303295724899,0.0003242630895419,0.845614392980235,0.84679554167871,-0.0011811486984749,0.00027458453855504526,ribB,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",H,coenzyme metab
FADRx2No1,P17846,1.5446537098771185,0.0004155120840704,0.6452030854317232,0.6591475373962206,-0.0139444519644974,0.00027388376697337554,cysI;cysJ,FAD reductase,P,inorganic ion
SHKKNo1,P0A6D7,0.269148042192763,0.0003492291945253,0.7696304596428656,0.7737926449766301,-0.0041621853337645,0.00027023098213479,aroK,Shikimate kinase,E,amino-acid metab
DASYN160No1,P0ABG1,0.0450940037431428,0.0003541200294804,0.7446447408772824,0.744722239317021,-7.749843973848966e-05,0.00026372106134165297,,CDP-diacylglycerol synthetase (n-C16:0),S,unknown/other
IGPSNo1,P00909,0.0401652787406719,0.0004090326714376,0.6337167353896626,0.6338227426512573,-0.0001060072615946,0.0002592542096445502,trpC,Indole-3-glycerol-phosphate synthase,E,amino-acid metab
ACOAD7f_REVNo1,Q47146,0.0901880074862856,0.0004196240599968,0.6110639920629147,0.6110639964448212,-4.381906432718274e-09,0.00025641715510604606,fadE,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),I,lipid metab
GF6PTANo1,P17169,0.0667697092437721,0.0004537784906902,0.5540427872770924,0.5542337610144785,-0.0001909737373863,0.0002514993595627031,glmS,Glutamine-fructose-6-phosphate transaminase,M,cell wall/membrane
APG3PAT161No1,P60782,0.0531497852749669,0.0002995211103667,0.8249186740554105,0.8254330368077029,-0.0005143627522924,0.0002472346197180003,,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),S,unknown/other
VALTA_REVNo1,P0AB80,0.7102980437910158,0.0003420129363079,0.709047297213224,0.7115092201009225,-0.0024619228876986,0.00024334535757686044,ilvE,Valine transaminase,E,amino-acid metab
OMPDCNo1,P08244,0.2337554606859454,0.0003251200799622,0.7416104449541409,0.7416739962285409,-6.355127439997337e-05,0.0002411331089597076,pyrF,Orotidine-5'-phosphate decarboxylase,F,nucleotide metab
UAGCVTNo1,P0A749,0.0196363208075728,0.000363734486132,0.6540831657816021,0.6541325644037305,-4.939862212838378e-05,0.0002379305721755983,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,M,cell wall/membrane
