species,strain,dCp_scale,dCp_kJ,in_literature_range,model_E_growth,measured_E_growth,steepness,model_E_resp,measured_E_resp,model_diff,Topt_C,CTmax_C,observed_limit_C,ceiling_gap_C,fit_r2,peak_mu_model
C. haemulonii,chaemulonii_draft,0.75,-3.0,True,1.362684678346111,0.7968397242072742,1.7101113774187908,0.347792880010928,0.4331457299378385,-1.014891798335183,37.5,52.386840960645415,38.0,14.386840960645415,-1.135076542947607,0.060113147744626505
C. haemulonii,chaemulonii_draft,1.0,-4.0,True,1.7590054163450848,0.7968397242072742,2.207477065849106,0.3709333129185442,0.4331457299378385,-1.3880721034265406,37.5,51.83127649838235,38.0,13.831276498382351,-1.2700598331304422,0.057960274192958225
C. haemulonii,chaemulonii_draft,1.25,-5.0,True,2.162438165659751,0.7968397242072742,2.713768026325526,0.3865396087097102,0.4331457299378385,-1.775898556950041,37.5,51.17107494854627,38.0,13.17107494854627,-1.4119998087968137,0.055722315467409154
C. haemulonii,chaemulonii_draft,1.5,-6.0,True,2.5654935414058104,0.7968397242072742,3.2195853990061285,0.3959405016261394,0.4331457299378385,-2.169553039779671,38.0,50.353503115306246,38.0,12.353503115306246,-1.5456056546288814,0.053419809521533135
C. haemulonii,chaemulonii_draft,2.0,-8.0,False,3.361225943955258,0.7968397242072742,4.218195757370317,0.4008895581963885,0.4331457299378385,-2.9603363857588696,38.0,48.480957777347456,38.0,10.480957777347456,-1.7644851878970917,0.04864115819611971
C. haemulonii,chaemulonii_draft,3.0,-12.0,False,5.0017511814357745,0.7968397242072742,6.276985232396267,0.3952912484630905,0.4331457299378385,-4.606459932972684,38.0,45.72094723261106,38.0,7.72094723261106,-2.0119682922759976,0.038534003619325546
C. haemulonii,chaemulonii_draft,4.0,-16.0,False,8.061315833596684,0.7968397242072742,10.116608884699342,0.44190133078617067,0.4331457299378385,-7.619414502810513,38.5,43.885867687463595,38.0,5.885867687463595,-2.117925731707626,0.02855451445630011
C. duobushaemulonii,cduobushaemulonii_draft,0.25,-1.0,False,0.07463867522124808,0.6221481875736383,0.11996928820501264,0.194468162653959,0.4746319505844048,0.11982948743271092,29.0,53.33881240617322,38.0,15.338812406173219,-0.9462838343988647,0.05334364061961074
C. duobushaemulonii,cduobushaemulonii_draft,0.5,-2.0,True,0.26092798456061167,0.6221481875736383,0.41939844842789625,0.2201083960357857,0.4746319505844048,-0.04081958852482598,32.5,52.899281971449305,38.0,14.899281971449305,-0.7171468522112241,0.0516071571220822
C. duobushaemulonii,cduobushaemulonii_draft,0.75,-3.0,True,0.538023634355421,0.6221481875736383,0.8647837365784173,0.25333308299995805,0.4746319505844048,-0.28469055135546295,33.5,52.343412299950295,38.0,14.343412299950295,-0.5119843858080697,0.050413604974594045
C. duobushaemulonii,cduobushaemulonii_draft,1.0,-4.0,True,0.9342087291927746,0.6221481875736383,1.5015855512432887,0.17704658013848162,0.4746319505844048,-0.757162149054293,34.5,51.66987485550372,38.0,13.669874855503721,-0.43511590773626474,0.04920697369163344
C. duobushaemulonii,cduobushaemulonii_draft,1.25,-5.0,True,1.4509575659967837,0.6221481875736383,2.3321735801489356,0.12348353539976187,0.4746319505844048,-1.3274740305970218,35.0,50.876050855605236,38.0,12.876050855605236,-0.49362037176708706,0.04787141642110219
C. duobushaemulonii,cduobushaemulonii_draft,1.5,-6.0,True,2.054516228927708,0.6221481875736383,3.3022940032024644,0.08762390676489468,0.4746319505844048,-1.9668923221628132,35.5,49.9343528320636,38.0,11.934352832063603,-0.6457207765155728,0.046350524403179216
C. duobushaemulonii,cduobushaemulonii_draft,2.0,-8.0,False,3.314701766664396,0.6221481875736383,5.327833196125904,0.11197323454339483,0.4746319505844048,-3.202728532121001,36.0,48.11053129453711,38.0,10.110531294537111,-1.059736851536289,0.04273582778948606
C. duobushaemulonii,cduobushaemulonii_draft,3.0,-12.0,False,3.0647528268599378,0.6221481875736383,4.9260817407704645,0.0991027607885941,0.4746319505844048,-2.9656500660713436,37.5,45.744124083309345,38.0,7.7441240833093445,-1.82087200537006,0.03354179130608424
C. duobushaemulonii,cduobushaemulonii_draft,4.0,-16.0,False,1.506390903379353,0.6221481875736383,2.4212734738555426,0.09899907427368318,0.4746319505844048,-1.4073918291056697,38.5,44.27417008000231,38.0,6.274170080002307,-2.289754955945968,0.023241525824728715
C. parapsilosis,cparapsilosis_iDC1003,0.25,-1.0,False,0.19596539864890497,0.8277012725138999,0.23675860501424328,0.13619339158535834,0.3644124136401635,-0.05977200706354663,34.5,53.8102847058816,38.0,15.8102847058816,-1.6627340289602044,0.09946349226542957
C. parapsilosis,cparapsilosis_iDC1003,0.5,-2.0,True,0.433263749017216,0.8277012725138999,0.5234542502288348,0.10495070228452248,0.3644124136401635,-0.3283130467326935,36.0,53.62726969401956,38.0,15.62726969401956,-1.3119705331797666,0.09472677550365749
C. parapsilosis,cparapsilosis_iDC1003,0.75,-3.0,True,0.6806144389008791,0.8277012725138999,0.8222947837614316,0.0015240238109531332,0.3644124136401635,-0.679090415089926,37.0,53.44098259523722,38.0,15.440982595237223,-1.114496414021097,0.09026769106869621
C. parapsilosis,cparapsilosis_iDC1003,1.0,-4.0,True,1.0228712036262797,0.8277012725138999,1.2357975486972592,0.004439740748249615,0.3644124136401635,-1.01843146287803,37.0,53.29068883230932,38.0,15.290688832309321,-1.0410534164612502,0.08602350093034462
C. parapsilosis,cparapsilosis_iDC1003,1.25,-5.0,True,1.488044232829703,0.8277012725138999,1.7978034856829506,0.04631229720484763,0.3644124136401635,-1.4417319356248555,37.5,53.0382000889836,38.0,15.0382000889836,-1.0766139238837695,0.08170978186057654
C. parapsilosis,cparapsilosis_iDC1003,1.5,-6.0,True,2.0450143253520188,0.8277012725138999,2.470715454068214,0.08138305360069048,0.3644124136401635,-1.9636312717513282,37.5,52.79076238031464,38.0,14.79076238031464,-1.1800590428267315,0.07732569598279018
C. parapsilosis,cparapsilosis_iDC1003,2.0,-8.0,False,3.242756532973722,0.8277012725138999,3.917786091019046,0.12381766848115985,0.3644124136401635,-3.118938864492562,38.0,51.8707809962956,38.0,13.8707809962956,-1.4901996419559929,0.06846614000330686
C. parapsilosis,cparapsilosis_iDC1003,3.0,-12.0,False,3.4702810462274214,0.8277012725138999,4.192673324866906,0.13586159652936355,0.3644124136401635,-3.334419449698058,39.0,49.24288095332358,38.0,11.242880953323578,-2.1353010626256164,0.05068281136449698
C. parapsilosis,cparapsilosis_iDC1003,4.0,-16.0,False,3.173247704764726,0.8277012725138999,3.833807933056472,0.1997310782141564,0.3644124136401635,-2.9735166265505697,39.5,47.375373722369275,38.0,9.375373722369275,-2.6632082119245664,0.03361884283356516
