rxn_id,enzyme_id,group,u_sub_26.6C,u_opt_36.6C,u_supra_44.6C
ANSNo1,P00895,default,4.5935963401594855e-05,4.592601077557634e-05,4.648747926255182e-05
ANPRTNo1,P00904,default,0.0014250502920928126,0.001424741536347542,0.0014421597153105102
POXNo1,P07003,default,0.0,0.0017805146397468412,0.0018001976055922935
CHORMNo2,P07023,default,7.200581383978409e-08,7.199021284040937e-08,7.287032925370002e-08
CHORSNo1,P12008,default,0.0006169819629946887,0.0006168482857996738,0.0006243895650850401
IGPSNo1,P00909,default,0.0005867622413965363,0.0005866351116986273,0.000593807019796234
ACKrNo1,P0A6A3,default,3.2578527480041754e-05,0.0001709699631747149,0.00017289188761127736
LEUTAiNo2,P04693,default,3.17052475936201e-05,3.1698378237918024e-05,3.2085906790219046e-05
DMATTNo1,P22939,default,3.5392584081267594e-05,2.838430297469745e-05,3.5817514136840875e-05
GRTTNo1,P22939,default,3.5392584081267594e-05,2.838430297469745e-05,3.5817514136840875e-05
UPP3SNo1,P09126,default,4.809895560635769e-08,4.808853433984339e-08,4.867644076064644e-08
UPPDC1No1,P29680,default,5.35571572141145e-05,5.354555335697794e-05,5.4200174568798425e-05
MOATNo1,P0AC75,default,0.0001221372010709546,0.00012245593225439314,0.00012360360339748523
UDCPDPSNo1,P60472,default,1.2138481836114228e-06,0.0,1.2284218743861044e-06
ECOAH6No1,P77399,default,5.257900935886775e-06,5.257801540387958e-06,5.3210282885479216e-06
USHDNo1,P43341,default,3.583110813325277e-05,3.592461356320437e-05,3.626130319149917e-05
ENONo1,P0A6P9,default,0.019857541641966184,0.02628157182586029,0.022666340057431844
HCO3ENo2,P0ABE9,default,5.5067306808486854e-09,5.507841954381989e-09,5.572845530470605e-09
IMPDNo1,P0ADG7,default,0.007917664532413712,0.007915949067052909,0.00801272550965255
ECOAH4No1,P77399,default,6.729514144860692e-06,6.7342948919733334e-06,6.810309963922497e-06
LPADSSNo1,P10441,default,1.4567995605516354e-06,1.4606012478663593e-06,1.4742901714887624e-06
GLUTRSNo1,P04805,default,0.00016929922962131486,0.0001692625487335429,0.0001713318681787705
TDSKNo1,P27300,default,0.0005596460381085782,0.0005611064993150653,0.0005663652542451862
PGINo1,P0A6T1,default,3.756235674033879e-05,3.757637163257774e-05,3.801333749666134e-05
EDANo1,P0A955,default,0.013706991383705142,0.018108403515366606,0.01563270127893835
PGLNo1,P52697,default,0.0018784470700073765,0.002481629744539673,0.0021423521100795056
DHQTiNo1,P05194,default,6.546183900455225e-05,6.544765584273633e-05,6.624778621943471e-05
IPMDNo1,P30125,default,0.0005004816425318583,0.0005003732066518119,0.0005064905197499324
ADSL2rNo1,P0AB89,default,0.0008155005998348232,0.000815323910986048,0.0008252916542098375
TMDSNo1,P0A884,default,3.222972689665507e-05,3.222274390566659e-05,3.261668309092092e-05
PPCDCNo1,P0ABQ0,default,6.453683491611894e-05,6.452285216845164e-05,6.53116763570881e-05
DHAD1No1,P05791,default,0.0008467763599100217,0.0008465928947596815,0.000856942916973188
EDDNo1,P0ADF6,default,0.005844730489921032,0.007721514896104581,0.006665862934258335
FUMNo3,P05042,default,8.880617011880057e-05,8.878692910295654e-05,8.987239378637925e-05
FMNATNo1,P0AG40,default,2.2095870526354285e-06,2.209108316762222e-06,2.2361157725190564e-06
KARA2No1,P05793,default,0.001171904021609122,0.0011716501133073698,0.0011859741228451893
ACCOACNo1,P0A9Q5,default,0.00016712107020245298,0.00016755719200658862,0.00016912755736613703
NADKNo1,P0A7B3,default,2.2589978161807743e-07,2.2585083748336313e-07,2.28611977103497e-07
GLUTRRNo1,P0A6X1,default,0.0021367008696249394,0.0021362379254935555,0.002162354504216564
HACD6No2,P77399,default,5.257900935886775e-06,5.257801540387958e-06,5.3210282885479216e-06
ECOAH1No1,P77399,default,6.729514144860689e-06,6.734294891973331e-06,6.810309963922492e-06
ECOAH2No1,P77399,default,6.729514144860691e-06,6.7342948919733334e-06,6.810309963922493e-06
ARGSSNo1,P0A6E4,default,0.041661515829899264,0.04165248931873646,0.04216171186521095
G1SATNo1,P23893,default,0.000330513515132601,0.0003304419050657222,0.0003344817228800398
KDOCT2No1,P04951,default,9.517691968692598e-05,9.555979315406147e-05,9.631963177822272e-05
ECOAH3No1,P77399,default,6.729514144860692e-06,6.7342948919733334e-06,6.810309963922495e-06
EDTXS1No1,P0ACV0,default,0.0,2.8829027770095265e-08,4.955300887311036e-24
DXPSNo1,P77488,default,0.0001317705895698896,0.00010122751676183018,0.00013335265217996283
CDPMEKNo1,P62615,default,0.00019108317838358553,0.00014266158704509074,0.00019337735914821093
EDTXS2No1,P24205,default,0.0,2.5255826198311257e-09,4.341118228762646e-25
MECDPSNo1,P62617,default,2.9001895465291875e-05,2.165264608530175e-05,2.9350097705159293e-05
UAGDPNo1,P0ACC7,default,2.732074042727883e-05,2.734662010002998e-05,2.7648758401932008e-05
UAGCVTNo1,P0A749,default,0.0005085922473820816,0.0005084820542336362,0.0005146985020553263
NNDPRNo1,P30011,default,0.0010340537134526226,0.0010338296722206292,0.0010464687578283437
PPCNo1,P00864,default,0.0016449914534608081,0.0016446350445922882,0.0016647415318425715
HACD4No2,P77399,default,6.729514144860692e-06,6.734294891973332e-06,6.810309963922496e-06
HACD5No2,P77399,default,6.729514144860695e-06,6.734294891973331e-06,6.8103099639225e-06
HACD7No1,P77399,default,5.257900935886775e-06,5.256761743023881e-06,5.321028288547923e-06
HPPK2No1,P26281,default,4.468770667522629e-06,4.4678024500327e-06,4.5224235729957445e-06
PTPATiNo1,P0A6I6,default,4.805221123970163e-06,4.804180010092247e-06,4.862913517232274e-06
DXPRIiNo1,P45568,default,5.291205240532829e-06,3.950382987038266e-06,5.354732450971769e-06
GTPCII2No1,P0A7I7,default,0.00012594441163463592,0.00012591712413407703,0.00012745652405094334
SADT2No1,P21156,default,0.0007274125461129408,0.0007272549426907723,0.0007361459986615061
OPHBDCNo1,P0AAB4,default,4.454159685601293e-08,4.453194633770797e-08,4.5076371688613714e-08
AACPS1No1,P0A6A8,default,0.0,5.196871251114058e-07,8.932684420457747e-23
SDPDSNo1,P0AED7,default,0.00026046569152341273,0.00026040925823179496,0.0002635928918578093
G1PTTNo1,P37744,default,0.0,1.1311239512288126e-07,1.944241603942417e-23
TDPGDHNo1,P27830,default,0.0,8.653684370868657e-07,1.4874455768486897e-22
ADCSNo1,P00903,default,4.0232440207385853e-05,4.022372332411539e-05,4.07154784906183e-05
ADCLNo1,P28305,default,1.0759435935546302e-07,1.0757104763322521e-07,1.0888615757502555e-07
TDPDRENo1,P37745,default,0.0,5.817359221698155e-08,9.999215215641457e-24
TDPDRRNo1,P37760,default,0.0,1.2025123713643866e-07,2.0669481705539003e-23
UMPKNo2,P0A7E9,default,4.365940598118068e-05,4.365629712853387e-05,4.418358906335687e-05
UAPGRNo1,P08373,default,0.00010168362998771072,0.00010166159890211834,0.00010290446287299552
CTPS2No1,P0A7E5,default,0.0013428020078637584,0.0013425110722827566,0.001358923942631671
PAPPT3No1,P0A6W3,default,0.0004032570041447136,0.0004031696332515312,0.00040809858397364756
UAGPT3No1,P17443,default,0.0001455923654872161,0.00014556082100098915,0.00014734037495201072
GMHEPPANo1,P63228,default,0.0,2.5449373213880714e-07,4.374386214961816e-23
S7PINo1,P63224,default,0.0,2.018350651231812e-05,0.0
TRPS3No1,P0A877,default,4.2995233934681675e-06,4.298591845608402e-06,4.351144284170353e-06
AGMHENo1,P67910,default,0.0,1.438376876484534e-06,2.472365793662045e-22
GMHEPATNo1,P76658,default,0.0,5.8868084642087954e-08,1.0118588611019373e-23
ACODANo1,P23908,default,6.393631452106001e-06,6.392246188403431e-06,6.470394600058781e-06
HBZOPTNo1,P0AGK1,default,0.00703189279005937,0.007030369238707844,0.0071163190243011916
PNTKNo1,P0A6I3,default,4.169848121041662e-05,4.168944669018316e-05,4.2199121059106126e-05
ADSSNo1,P0A7D4,default,0.00934926704628618,0.009347241405554681,0.009461516113957912
OCTDPSNo1,P0AD57,default,7.616998871774104e-06,7.615348549553315e-06,7.708450000249382e-06
DPCOAKNo1,P0A6I9,default,0.0006148859880401547,0.0006147527649649825,0.0006222684254594059
ASNS2No1,P00963,default,0.005712068275881687,0.005710830681736877,0.00578064844748877
ASPCTNo2,P0A786,default,5.297582920276772e-05,5.296435129794041e-05,5.3611867023445286e-05
KDOPSNo1,P0A715,default,2.327294006169996e-05,2.336656140688712e-05,2.355235937991291e-05
KDOPPNo1,P0ABZ4,default,6.522795744368106e-05,6.549035356138251e-05,6.601109663232751e-05
DMPPSNo1,P62623,default,2.2324533793050514e-05,1.7903929520823008e-05,2.259256636630219e-05
MCOATANo1,P0A6A8,default,8.254677251562803e-07,8.276218788672086e-07,8.353784467221196e-07
IPDPSNo1,P62623,default,0.0001695219094860784,0.00012532750664576107,0.00017155722158008604
DAPENo1,P0A6K1,default,0.00016980541303985197,0.0001697686224808486,0.00017184412893112648
DHDPRyNo1,P04036,default,0.0010889987632679804,0.0010887628174725118,0.00110207348829887
HSKNo1,P00547,default,0.007865312676483058,0.007863608553834998,0.00795974510744249
THRSNo1,P00934,default,0.050420875127517244,0.05040995078683632,0.051026237686545524
HSSTNo1,P07623,default,0.00029046864781964043,0.0002904057139959485,0.0002939560693194952
PPNDHNo1,P0A9J8,default,1.645695635238904e-07,1.64533907380022e-07,1.6654541681602023e-07
DTMPKNo1,P0A720,default,3.168376068696346e-05,3.167689598668015e-05,3.20641619076989e-05
TRDRNo1,P0AA25,default,0.008711402921183197,0.0013914595316725429,0.008815993671576667
DDPANo2,P0AB91,default,0.00023018683155935575,0.0002301369585779433,0.0002329504981766976
RHCCENo1,P45578,default,4.1994144957262215e-05,4.1985046377660954e-05,4.2498334600761715e-05
GALUiNo1,P0AEP3,default,0.0,1.5041932061080508e-07,2.5854947271744286e-23
AACPS3No1,P0A6A8,default,0.001206200037231001,0.0012059386982498385,0.0012206819029144077
U23GAATNo1,P21645,default,0.0001182674146828052,0.00011857604721010675,0.00011968735562236281
UAAGDSNo1,P22188,default,0.002211870124895676,0.0022113908943642052,0.002238426255777097
AACPS4No1,P0A6A8,default,0.0014216806594210126,0.0014213726337506405,0.0014387496261918115
UAMASNo1,P17952,default,0.002890612129707939,0.002889985840862313,0.0029253173654177293
UAMAGSNo1,P14900,default,0.0015216025352430575,0.0015212728601941277,0.0015398711829455632
P5CRNo1,P0A9L8,default,3.016973117571247e-06,3.0163194509683593e-06,3.0531954671903173e-06
DHPPDA2No1,P25539,default,3.172653681812919e-08,3.171966284984494e-08,3.210745161717799e-08
ASP1DCNo1,P0A790,default,2.7825194659408227e-05,2.781916596778707e-05,2.815926920696183e-05
UGMDDSNo1,P11880,default,5.453190603496131e-05,5.452009098577866e-05,5.518662640826808e-05
UHGADANo1,P0A725,default,0.000776671698166553,0.0007786985129889759,0.000785996565407291
UAGAATNo1,P0A6A8,default,6.210610508221771e-05,6.226817816231159e-05,6.285176272121512e-05
ATPPRTNo1,P60757,default,0.0022708980331397,0.002270406013441487,0.0022981628642469343
HISTDNo1,P06988,default,0.005843557812014711,0.00584229172894572,0.0059137166718511705
DHDPSNo1,P0A6L2,default,0.00018144149625819308,0.00018140218458988848,0.00018361991716442982
G1PACTNo1,P0ACC7,default,1.0569645524375828e-05,1.0579657660320477e-05,1.0696546686770606e-05
GARTNo1,P33221,default,5.759215151375584e-05,5.7579673422444164e-05,5.828361377283872e-05
GF6PTANo1,P17169,default,0.0007128439091023854,0.0007135191531404934,0.0007214024478407478
IGPDHNo1,P06987,default,7.401492130042312e-06,7.399888500169456e-06,7.490355843834039e-06
PRATPPNo1,P06989,default,0.00042237462286111234,0.0004222831098863154,0.00042744573243460915
PRMICINo1,P10371,default,0.0003345260633034584,0.0003344535838656725,0.0003385424464628231
GLUPRTNo1,P0AG16,default,0.000764126606764133,0.000763961048761484,0.0007733008552658974
SERATNo1,P0A9D4,default,7.030103374926127e-05,7.028580211274349e-05,7.114508125111576e-05
CYSSNo1,P16703,default,0.0006527317482401717,0.0006525903253875823,0.0006605685690108056
NADS1No1,P18843,default,3.3634359956523e-05,3.362707263349138e-05,3.403818044087188e-05
BPNTNo1,P22255,default,0.0011432641963268135,0.0011430164932170082,0.0011569904424060826
PAPSRNo2,P0AA25,default,0.016902792063217265,0.0026998580298761106,0.017105730180261278
ASPKNo3,P08660,default,0.004535511954101858,0.004534529276240299,0.004589966168077588
DAPDCNo1,P00861,default,0.001963928198882076,0.0019635026882049663,0.0019875074921254727
OCBTNo2,P06960,default,6.214328941403835e-06,6.212982525930426e-06,6.288939349515343e-06
PPNDNo1,P07023,default,1.1945568891955108e-07,1.1942980728543353e-07,1.2088989650424248e-07
METATNo1,P0A817,default,6.049175434456407e-05,6.04786480164566e-05,6.121802978340644e-05
PRAMPCNo1,P06989,default,0.0004223746228611124,0.0004222831098863153,0.0004274457324346091
TMPKNo1,P0AGG0,default,0.00024080665703576592,0.0002407544831305559,0.0002436978272854932
PDX5PSNo1,P0A794,default,8.152111237243674e-06,8.150344975944304e-06,8.249987025943676e-06
PPBNGSNo1,P0ACB2,default,4.980961698779773e-05,4.979882508416779e-05,5.040764066603867e-05
SULRNo1,P17846,default,0.00019674902985225508,0.00019670640160700592,0.00019911123590076626
CBMKrNo1,P37306,default,0.00012056575582965096,0.00012053963368504894,0.0001220132910875272
PPNCL2No1,P0ABQ0,default,1.9583288134196453e-05,1.957904515920655e-05,1.981840879384048e-05
PRAGSrNo1,P15640,default,0.0025717415486796926,0.0025711843473070926,0.002602618363910369
PRFGSNo1,P15254,default,0.02423801399763763,0.024232762515553247,0.02452902017597924
NNATrNo1,P0A752,default,1.97062647615516e-05,1.9701995142113336e-05,1.994286190182731e-05
AIRC2No1,P09029,default,0.0058096141223935895,0.00580835539366755,0.005879365447876032
GAPDNo1,P0A9B2,default,0.0880192268254976,0.11649395849595989,0.10046932106654342
HEX1No1,P0A6V8,default,0.014937559514725293,0.01968830942190248,0.01701778527982589
MOAT2No1,P0AC75,default,0.0001221372010709546,0.00012245593225439314,0.00012360360339748523
G6PDH2rNo1,P0AC53,default,0.002780281002676049,0.003673048948029382,0.0031708856575200744
ARGSLNo1,P11447,default,9.852972352331104e-06,9.85083757727183e-06,9.971269001132697e-06
GLU5KNo1,P0A7B5,default,0.0009433872962527729,0.0009431828990821262,0.0009547137824823112
IPPSNo1,P09151,default,0.003851697930607641,0.003850863409979341,0.003897942144139725
MOHMTNo1,P31057,default,4.714916731205666e-05,4.713895182953768e-05,4.7715249128558115e-05
SPODMNo2,P0AGD3,default,6.656775896592394e-05,6.016512870569193e-05,7.691318613828347e-05
AHCYSNSNo1,P0AF12,default,8.10388151217914e-06,8.102125700479849e-06,8.201178245682013e-06
TMKNo1,P75948,default,2.2603593442204398e-07,2.2598696078667305e-07,2.287497645836133e-07
GMPSNo1,P04079,default,0.011584350328595866,0.011581840427900432,0.011723434228703677
CATNo1,P21179,default,0.0005099196810098012,0.0006862981155706843,0.0005886985463045414
CHRPLNo1,P26602,default,4.777909157588102e-06,4.776873961209e-06,4.8352736382148435e-06
ACACT7rNo2,P21151,default,0.015747973434982,0.015744561430997728,0.01593704658125284
ADK3No1,P69441,default,8.20732904096774e-05,8.207152579484796e-05,8.305867785058665e-05
ACACT2rNo2,P21151,default,0.020155611769001172,0.020169930615903636,0.020397603854389962
