rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
LCADiNo1,P25553,L-Lactaldehyde,lald__L,MNXM2387,17.5,290.65
LCADiNo1,P25553,L-Lactaldehyde,lald__L,MNXM2387,23.75,296.9
LCADiNo1,P25553,L-Lactaldehyde,lald__L,MNXM2387,30.0,303.15
LCADiNo1,P25553,L-Lactaldehyde,lald__L,MNXM2387,36.25,309.4
LCADiNo1,P25553,L-Lactaldehyde,lald__L,MNXM2387,42.5,315.65
LCADiNo1,P25553,L-Lactaldehyde,lald__L,MNXM2387,48.75,321.9
LCADiNo1,P25553,L-Lactaldehyde,lald__L,MNXM2387,55.0,328.15
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,5.0,278.15
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,11.25,284.4
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,17.5,290.65
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,23.75,296.9
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,30.0,303.15
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,36.25,309.4
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,42.5,315.65
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,48.75,321.9
ACACT7rNo1,P76503,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,55.0,328.15
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,5.0,278.15
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,11.25,284.4
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,17.5,290.65
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,23.75,296.9
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,30.0,303.15
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,36.25,309.4
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,42.5,315.65
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,48.75,321.9
ACACT7rNo2,P21151,Tetradecanoyl-CoA (n-C14:0CoA),tdcoa,MNXM224,55.0,328.15
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,5.0,278.15
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,11.25,284.4
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,17.5,290.65
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,23.75,296.9
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,30.0,303.15
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,36.25,309.4
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,42.5,315.65
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,48.75,321.9
PSP_LNo1,P0AGB0,O-Phospho-L-serine,pser__L,MNXM379,55.0,328.15
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,5.0,278.15
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,11.25,284.4
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,17.5,290.65
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,23.75,296.9
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,30.0,303.15
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,36.25,309.4
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,42.5,315.65
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,48.75,321.9
GLUDCNo1,P69908,L-Glutamate,glu__L,MNXM89557,55.0,328.15
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,5.0,278.15
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,11.25,284.4
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,17.5,290.65
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,23.75,296.9
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,30.0,303.15
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,36.25,309.4
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,42.5,315.65
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,48.75,321.9
GLUDCNo2,P69910,L-Glutamate,glu__L,MNXM89557,55.0,328.15
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,5.0,278.15
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,11.25,284.4
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,17.5,290.65
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,23.75,296.9
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,30.0,303.15
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,36.25,309.4
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,42.5,315.65
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,48.75,321.9
ACACT2rNo1,P76503,Butanoyl-CoA,btcoa,MNXM233,55.0,328.15
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,5.0,278.15
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,11.25,284.4
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,17.5,290.65
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,23.75,296.9
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,30.0,303.15
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,36.25,309.4
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,42.5,315.65
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,48.75,321.9
ACACT2rNo2,P21151,Butanoyl-CoA,btcoa,MNXM233,55.0,328.15
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,5.0,278.15
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,11.25,284.4
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,17.5,290.65
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,23.75,296.9
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,30.0,303.15
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,36.25,309.4
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,42.5,315.65
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,48.75,321.9
BSORyNo1,P20099,D-biotin d-sulfoxide,btnso,MNXM3932,55.0,328.15
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,5.0,278.15
DMSOR2No1,P18775,Dimethyl sulfoxide,dmso,MNXM745,11.25,284.4
