T,OTU,Replicate,r,K,O2_0,T_end_min,fit_start_time,fit_end_time,delta_Ninoc_to_N0_min,N_inoculation_cells_per_L,otu_name,cell_volume_um3,cell_carbon_fg,N0_cells_per_L,C_tot_O2_mg_per_L,biomass_integral_cells_min_per_L,R_O2_mg_cell_min,growth_fgC_h,respiration_fgC_h,growth_C_per_C_h,respiration_C_per_C_h,CUE,resp_over_growth
25,1,R1,0.0027632987285952267,0.0018048854644406851,9.770015513065632,871.8199999999999,80.4,953.5,0,400000000,Ecoli_M9,2,350,400000000,6.6125833679577255,1465485427909.2761,4.512213661101713e-12,58.02927330049976,101.62422329550472,0.1657979237157136,0.29035492370144206,0.36347010580883204,1.7512578999439152
25,1,R2,0.002918891748702638,0.0017445691303934795,9.076776321300855,858.8000000000001,64.3,924.9,0,400000000,Ecoli_M9,2,350,400000000,6.732848101857518,1543727441821.4556,4.3614228259836985e-12,61.29672672275539,98.22810718711831,0.17513350492215826,0.280651734820338,0.3842456702220171,1.6025016740519158
25,1,R4,0.002950346584188739,0.002359653857353441,9.120334387221064,761.52,210,972.7,0,400000000,Ecoli_M9,2,350,400000000,6.76375798888305,1146567826938.6848,5.899134643383602e-12,61.95727826796352,132.86050290958266,0.17702079505132434,0.3796014368845219,0.3180268140488628,2.1443889503177442
25,1,R5,0.002877698822050903,0.001763668823071965,9.301870996695047,870.8199999999999,66.6,938.9,0,400000000,Ecoli_M9,2,350,400000000,6.898082621474686,1564484790168.1633,4.409172057679913e-12,60.43167526306897,99.3035169412965,0.1726619293230542,0.28372433411799,0.3783241152378781,1.6432362086440933
27,1,R1,0.0035528706301497727,0.0027596007954406483,9.659323188236792,671.1,98.9,771.3,0,400000000,Ecoli_M9,2,350,400000000,7.652136362581411,1109165698926.3232,6.899001988601621e-12,74.61028323314522,155.37954788129392,0.21317223780898636,0.44394156537512547,0.32440687865030166,2.082548693666765
27,1,R2,0.003529875590447699,0.002751016982567729,9.541017815705873,677.0999999999999,105.8,783.7,0,400000000,Ecoli_M9,2,350,400000000,7.726775146818403,1123479090936.971,6.877542456419323e-12,74.12738739940167,154.89623559732325,0.2117925354268619,0.4425606731352093,0.3236669930789703,2.0895952364102004
27,1,R3,0.003498587051734951,0.002836233469301988,9.227674771339217,669.0999999999999,111.1,781,0,400000000,Ecoli_M9,2,350,400000000,7.612794354087681,1073648475907.9063,7.090583673254969e-12,73.47032808643398,159.69435683379976,0.20991522310409708,0.4562695909537136,0.315100582712894,2.173589815005695
27,1,R4,0.0036319593481925596,0.002892798703290009,8.987829764943632,654.05,127.1,781.6,0,400000000,Ecoli_M9,2,350,400000000,7.770666226230605,1074484196552.3489,7.231996758225022e-12,76.27114631204375,162.87926694738556,0.2179175608915536,0.46536933413538734,0.31892542133851615,2.135529290211622
27,1,R5,0.0035456019376001527,0.002884357522421357,9.173631668352648,666.0799999999999,108.5,775.6,0,400000000,Ecoli_M9,2,350,400000000,7.816533916459707,1083989603327.3839,7.2108938060533925e-12,74.45764068960321,162.4039855700493,0.21273611625600916,0.46401138734299796,0.31435079571724817,2.1811594359680853
30,1,R1,0.0052438240441933645,0.0029548381911955407,8.718058782016387,474.48,91.9,566.8,0,400000000,Ecoli_M9,2,350,400000000,6.219938355037575,842000536417.9974,7.38709547798885e-12,110.12030492806065,166.37240537431853,0.31462944265160186,0.4753497296409101,0.3982756174932438,1.5108240526849814
30,1,R2,0.005121099361538511,0.0029292163679422328,8.413494850213217,482.52,85.4,569.1,0,400000000,Ecoli_M9,2,350,400000000,6.197316883771697,846276424178.9753,7.323040919855583e-12,107.54308659230874,164.92976652613052,0.3072659616923107,0.47122790436037293,0.39469284870578136,1.533615704665166
30,1,R3,0.005348459329881307,0.002561868338174247,8.76306467347386,514.64,84.2,599.3,0,400000000,Ecoli_M9,2,350,400000000,7.032689933972576,1098056419087.4111,6.4046708454356175e-12,112.31764592750744,144.24620574634764,0.3209075597928784,0.4121320164181361,0.43777658152047877,1.2842702013132261
30,1,R4,0.0053430976038270055,0.002731807742636189,7.756818413507963,471.45,72,544.4,0,400000000,Ecoli_M9,2,350,400000000,5.836859018256977,854651508180.3552,6.829519356590473e-12,112.20504968036711,153.8146577761263,0.3205858562296203,0.43947045078893227,0.4217922452182151,1.370835432222439
30,1,R5,0.005140968800832926,0.0028077237626852013,8.135957058244992,515.63,64.1,580.2,0,400000000,Ecoli_M9,2,350,400000000,7.190514995770068,1024390659983.3496,7.019309406713004e-12,107.96034481749145,158.08911547727334,0.3084581280499756,0.4516831870779238,0.4057905048853649,1.4643257739175002
30,2,R1,0.014762401577673752,8.11767884566166e-6,9.176328029995435,249.92000000000007,1104.5,1354.42,0,400000000,M9,2,350,400000000,0.021457541694150522,1057324001213.3813,2.029419711415415e-14,310.0104331311488,0.4570665695445443,0.885744094660425,0.0013059044844129836,0.9985278118644135,0.0014743586689264228
30,2,R2,9.584191627477202e-4,5.0351385940393616e-5,8.669716912648735,827.8,626.97,1454.77,0,400000000,M9,2,350,400000000,0.06361333011657426,505355147060.9389,1.2587846485098403e-13,20.126802417702127,2.8350388924154677,0.05750514976486322,0.00810011112118705,0.8765325979686883,0.14085888227938115
30,2,R3,4.73069606749304e-4,3.603451058986398e-5,8.655342387879406,707.4,609.9,1317.3,0,400000000,M9,2,350,400000000,0.030274468625825286,336060827581.66925,9.008627647465995e-14,9.934461741735383,2.0289260580107644,0.028384176404958238,0.00579693159431647,0.8304053925215217,0.20423110086448884
35,1,R1,0.008728310610356678,0.00422128024508076,8.061469468262834,295.9,65.5,363,0,400000000,Ecoli_M9,2,350,400000000,5.9162138994316695,560608493721.8833,1.0553200612701902e-11,183.29452281749022,237.67952851896217,0.5236986366214006,0.6790843671970348,0.43540575062902614,1.2967082969283492
35,1,R2,0.009493157127682676,0.006216277316658498,7.247887153517208,239.74,113,354,0,400000000,Ecoli_M9,2,350,400000000,5.72085523381316,368120979318.75104,1.5540693291646243e-11,199.35629968133617,350.0080013612657,0.5695894276609604,1.0000228610321877,0.36288542830866716,1.755690700122047
35,1,R3,0.00962134342248078,0.0036806334386934414,7.537125007084479,291.9,60.1,353,0,400000000,Ecoli_M9,2,350,400000000,5.96184215059458,647914795091.4587,9.201583596733604e-12,202.0482118720964,207.23836598606283,0.5772806053488468,0.5921096171030367,0.49365951097012867,1.0256877012960253
35,1,R4,0.009768426188139223,0.003785660607324161,7.79478666813229,284.87,63.6,349.4,0,400000000,Ecoli_M9,2,350,400000000,5.876319500535923,620902939811.0269,9.464151518310403e-12,205.13694995092368,213.15192928262937,0.5861055712883534,0.6090055122360839,0.4904193253399518,1.039071358590557
35,1,R5,0.00846526736648821,0.00562112945567277,7.416129235072702,273.84,62.3,338,0,400000000,Ecoli_M9,2,350,400000000,6.080224226275534,432669218826.793,1.4052823639181924e-11,177.7706146962524,316.4981525036829,0.5079160419892926,0.9042804357248082,0.35966386406192424,1.780373843250006
37,1,R1,0.010332858481668022,0.00400730772650204,7.945986363739215,278.77000000000004,71.8,351.6,0,400000000,Ecoli_M9,2,350,400000000,6.524334362370835,651243658601.272,1.0018269316255101e-11,216.99002811502845,225.631788407163,0.6199715089000812,0.6446622525918942,0.4902379865050085,1.0398256102697654
37,1,R2,0.011136347708356241,0.004893960021271841,8.068321277264062,250.70000000000005,98.8,350.9,0,400000000,Ecoli_M9,2,350,400000000,6.728851142815408,549971892992.0244,1.2234900053179605e-11,233.86330187548106,275.5548181862746,0.6681808625013744,0.7872994805322131,0.4590792762674604,1.178273016657363
37,1,R3,0.010125142270875747,0.006149788316063095,8.166495339536421,226.62,110.7,338.5,0,400000000,Ecoli_M9,2,350,400000000,5.417852547771685,352392782926.8782,1.5374470790157737e-11,212.6279876883907,346.2643327593935,0.6075085362525449,0.9893266650268385,0.3804453557673387,1.6284983765488517
37,1,R4,0.010550358447990623,0.004141570197763762,8.107141714232716,275.75,80.1,356.6,0,400000000,Ecoli_M9,2,350,400000000,6.808134868108563,657541419607.9169,1.0353925494409406e-11,221.5575274078031,233.19144780302148,0.6330215068794374,0.6662612794372043,0.4872084149394456,1.0525097049571452
37,1,R5,0.01093009171758663,0.00417915957970766,7.481512396808763,269.75,72.8,343.6,0,400000000,Ecoli_M9,2,350,400000000,6.91114041802477,661486146792.051,1.0447898949269153e-11,229.53192606931924,235.30792101944832,0.6558055030551978,0.6723083457698523,0.49378711293114885,1.0251642333554274
37,2,R1,2.9923330744702735e-4,1.2996088681214402e-4,8.765131469907072,870.98,490.47,1361.45,0,400000000,M9,2,350,400000000,0.1293134153362908,398007180493.346,3.2490221703036005e-13,6.283899456387574,7.317458332555137,0.01795399844682164,0.02090702380730039,0.4620053051979928,1.1644773095656316
37,2,R2,3.7208184848483645e-4,8.965906384735506e-5,8.077838190793889,631.0799999999999,486.45,1117.53,0,400000000,M9,2,350,400000000,0.06377713221417447,284531778394.4535,2.2414765961838767e-13,7.813718818181565,5.048260903199802,0.022324910909090185,0.014423602580570863,0.6075051420888399,0.6460766020211935
40,1,R1,0.011212370853123675,0.006400091787301356,7.559652130637364,217.67999999999998,77,295.6,0,400000000,Ecoli_M9,2,350,400000000,5.9827215778273954,373914736016.62537,1.6000229468253386e-11,235.4597879155972,360.35769012411663,0.6727422511874206,1.029593400354619,0.39518778249050085,1.530442600471934
