rxn_id,enzyme_id,flux,C_i,Ea_i_eV,Ea_kcat_eV,Ea_fN_eV,contrib,base,calvin
CBFCud,,11.072215748477163,0.008303111431495758,0.162508275587405,0.16250827350542335,2.0819816610335583e-09,0.0013493243034555199,CBFCud,
METAT,,0.002039709698029969,0.0011219331226275386,1.151078606832792,1.15107997658974,-1.3697569475999121e-06,0.001291434752529361,METAT,
OECe,,5.4796864810401225,0.004908946799375702,0.2607141379424353,0.26071413805364607,-1.1121082742124433e-10,0.0012798318335504408,OECe,
3OAS180,,0.008047612069090408,0.0012250354451182055,1.0300343527071185,1.0300346863302499,-3.3362313122299426e-07,0.0012618290004557688,3OAS180,
BPNT,,0.011799989494365623,0.0009255500115878945,1.2797049887057745,1.279705407582758,-4.188769836757331e-07,0.001184431354817313,BPNT,
RNDR2,,0.0015288556443460387,0.0014477918815480884,0.8146439110055329,0.8146376416629558,6.269342577087165e-06,0.0011794257640031082,RNDR2,
KARI_23dhmp_1,,0.018332687493571604,0.0008620449597374069,1.3101583841714515,1.3101619718498037,-3.587678352177882e-06,0.0011294185242727455,KARI_23dhmp_1,
GLNS_1,,0.08136891406832306,0.001287866591270781,0.801812504768954,0.8018127121723649,-2.07403411002695e-07,0.0010326278044630035,GLNS_1,
ACLSa_1,,0.07137024796966518,0.001864647601290681,0.5324601400015616,0.5324614953451086,-1.355343546869693e-06,0.0009928530500749057,ACLSa_1,
ATPS4rpp_1,,0.03382898846169019,0.0016942067369130065,0.5765731337740554,0.5765685813157919,4.552458263621603e-06,0.0009768263747575892,ATPS4rpp_1,
RNDR3,,0.0031998595803795723,0.0017860383505152733,0.544561958146689,0.5444315063083675,0.0001304518383215549,0.0009723755494955422,RNDR3,
3OAS140,,0.024982994547185697,0.0007934115779040241,1.1851840329812855,1.1851988350978417,-1.480211655618199e-05,0.0009403504778849898,3OAS140,
ENO_TG_forward,,0.4061100842167945,0.0011328587624093167,0.755108890626677,0.7551024929075691,6.397719107595527e-06,0.0008554244756074586,ENO_TG_forward,
