strain,T_C,metabolite,rxn,name,net_flux,role
chaemulonii_draft,30.0,M8416__mito,R08774__mito,"2-Polyprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine <=> 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine",-1.5911775659063553e-05,consumes
chaemulonii_draft,40.0,M8428__mito,R08657__mito,sn-Glycerol 3-phosphate + Ubiquinone <=> Glycerone phosphate + Ubiquinol,-0.0004516578422723755,consumes
chaemulonii_draft,40.0,M8428__mito,R01868__cyto,Ubiquinone-9 (mito) + (S)-Dihydroorotate (cyto) => Orotate (cyto) + Ubiquinol-9 (mito),0.005194132374287457,produces
chaemulonii_draft,40.0,M8428__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (mito) + 2 Ferrocytochrome c (mito),-0.004742474532015081,consumes
chaemulonii_draft,40.0,M8416__mito,R12658__mito,"2-methoxy-6-(all-trans-nonaprenyl)phenol + Oxygen + NADPH => NADP+ + H2O + 2-Methoxy-6-all-trans-nonaprenyl-1,4-benzoquinone + H2O",3.0226759515082234e-05,produces
chaemulonii_draft,40.0,M8416__mito,R08774__mito,"2-Polyprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine <=> 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine",-3.0226759515082234e-05,consumes
cduobushaemulonii_draft,30.0,M8428__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (mito) + 2 Ferrocytochrome c (mito),-0.003343542556511253,consumes
cduobushaemulonii_draft,30.0,M8428__mito,R01868__cyto,Ubiquinone-9 (mito) + (S)-Dihydroorotate (cyto) => Orotate (cyto) + Ubiquinol-9 (mito),0.0036619706696039518,produces
cduobushaemulonii_draft,30.0,M8428__mito,R08657__mito,sn-Glycerol 3-phosphate + Ubiquinone <=> Glycerone phosphate + Ubiquinol,-0.0003184281130926987,consumes
cduobushaemulonii_draft,30.0,M8416__mito,R12658__mito,"2-methoxy-6-(all-trans-nonaprenyl)phenol + Oxygen + NADPH => NADP+ + H2O + 2-Methoxy-6-all-trans-nonaprenyl-1,4-benzoquinone + H2O",2.1310490146410337e-05,produces
cduobushaemulonii_draft,30.0,M8416__mito,R08774__mito,"2-Polyprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine <=> 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine",-2.1310490146410337e-05,consumes
cduobushaemulonii_draft,40.0,M8428__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (mito) + 2 Ferrocytochrome c (mito),-0.003711530521894769,consumes
cduobushaemulonii_draft,40.0,M8428__mito,R01868__cyto,Ubiquinone-9 (mito) + (S)-Dihydroorotate (cyto) => Orotate (cyto) + Ubiquinol-9 (mito),0.004065004611366535,produces
cduobushaemulonii_draft,40.0,M8428__mito,R08657__mito,sn-Glycerol 3-phosphate + Ubiquinone <=> Glycerone phosphate + Ubiquinol,-0.00035347408947176626,consumes
cduobushaemulonii_draft,40.0,M8416__mito,R12658__mito,"2-methoxy-6-(all-trans-nonaprenyl)phenol + Oxygen + NADPH => NADP+ + H2O + 2-Methoxy-6-all-trans-nonaprenyl-1,4-benzoquinone + H2O",2.3655907851661858e-05,produces
cduobushaemulonii_draft,40.0,M8416__mito,R08774__mito,"2-Polyprenyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-methionine <=> 2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone + S-Adenosyl-L-homocysteine",-2.3655907851661858e-05,consumes
cparapsilosis_iDC1003,30.0,M8416__mito,R08657__cyto,sn-Glycerol 3-phosphate + Ubiquinone-9 => Glycerone phosphate + Ubiquinol-9,5.726362517120437,produces
cparapsilosis_iDC1003,30.0,M8416__mito,T02161__mito,1.5 H+ (mito) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (cyto) + 2 Ferrocytochrome c (mito),-8.258047706590068,consumes
cparapsilosis_iDC1003,30.0,M8416__mito,R01868__cyto,(S)-Dihydroorotate + Ubiquinone-9 => Orotate + Ubiquinol-9,0.006811661831645347,produces
cparapsilosis_iDC1003,30.0,M8416__mito,R02164__mito,Ubiquinone-9 + Succinate <=> Ubiquinol-9 + Fumarate,2.5248735276379866,produces
cparapsilosis_iDC1003,40.0,M8416__mito,T02161__mito,1.5 H+ (mito) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1.5 H+ (cyto) + 2 Ferrocytochrome c (mito),-5.814673954846223,consumes
cparapsilosis_iDC1003,40.0,M8416__mito,R11945__mito,Ubiquinone-9 + NADH + 5 H+ (Mito) <=> Ubiquinol-9 + NAD+ 4 H+ (Cyto),4.7740178565431375,produces
cparapsilosis_iDC1003,40.0,M8416__mito,R01868__cyto,(S)-Dihydroorotate + Ubiquinone-9 => Orotate + Ubiquinol-9,0.00848492691598703,produces
cparapsilosis_iDC1003,40.0,M8416__mito,R02164__mito,Ubiquinone-9 + Succinate <=> Ubiquinol-9 + Fumarate,1.032171171387099,produces
