variant,A_ETC_level,A_ETC_nm2_per_gDW,strain,T_C,mu_model,mu_scaled,area_used,binds,frac_of_budget,area::complex I,area::complex II,area::complex III,area::complex IV,area::ATP synthase
full,2xA*,5.2473580196758266e+17,cauris_iRV973,22.0,0.012833520255356131,0.09843701697262801,1.191865572325071e+17,False,0.22713631657225908,0.0,-15319749822200.2,10025360343187.139,3307486916740.6255,1.1918854413506938e+17
full,2xA*,5.2473580196758266e+17,cauris_iRV973,26.0,0.03635519670648791,0.2788554538452685,1.709059870138944e+17,False,0.3256991163420801,0.0,-43398265417312.516,28400153666122.77,9369552162577.16,1.70911615573483e+17
full,2xA*,5.2473580196758266e+17,cauris_iRV973,30.0,0.06996629002188903,0.5366627972182509,2.6236790098379133e+17,False,0.5,0.0,-83520814070892.62,54656653466034.42,18031887140553.88,2.6237873325725565e+17
full,2xA*,5.2473580196758266e+17,cauris_iRV973,34.0,0.09600400259084056,0.7363799989742212,3.3323340199292416e+17,False,0.6350498684164698,0.0,-114602795831280.1,74996937801333.23,24742391503372.402,3.3324826545945075e+17
full,2xA*,5.2473580196758266e+17,cauris_iRV973,38.0,0.10414187970394354,0.7987999999999996,3.676533818087383e+17,False,0.700644744326882,0.0,0.0,631901812060950.0,208472005445328.1,3.66813007991232e+17
full,2xA*,5.2473580196758266e+17,cauris_iRV973,40.0,0.10216045591751613,0.783601874854787,3.7198648342290195e+17,False,0.7089024267604341,0.0,0.0,619879124505630.9,204505576266520.47,3.711620987221298e+17
full,2xA*,5.2473580196758266e+17,cauris_iRV973,44.0,0.08987122906367984,0.6893397543826837,3.632004677171315e+17,False,0.6921587327475122,0.0,0.0,545311767551412.4,179904908649659.53,3.624752510409304e+17
full,2xA*,5.2473580196758266e+17,chaemulonii_draft,22.0,0.007086970526994921,0.054359226788079314,1.088783497946522e+17,False,0.20749174991756808,0.0,-8459924736982.744,5536238838683.023,1826471757630.03,1.0887944700879286e+17
full,2xA*,5.2473580196758266e+17,chaemulonii_draft,26.0,0.02125491128052726,0.16303165622851962,1.4355107970502536e+17,False,0.2735682969729855,0.0,-25372611476169.957,16604029168143.072,5477868860457.759,1.4355437041847293e+17
full,2xA*,5.2473580196758266e+17,chaemulonii_draft,30.0,0.04693973692686457,0.3600421075917987,2.218639401640039e+17,False,0.42281075415873814,0.0,-56033341758999.45,36668643345150.57,12097426323546.742,2.218712074360942e+17
