strain,T_C,mu,rxn,flux_at_optimum,fva_min,fva_max
chaemulonii_draft,40.0,0.0891689381619316,R11945__mito,0.0,0.0,0.5059084868434508
chaemulonii_draft,40.0,0.0891689381619316,R11945__cyto,0.0,0.0,0.5059084868428878
chaemulonii_draft,40.0,0.0891689381619316,R02164__mito,0.0,-0.1425217549276319,0.060520268966183406
chaemulonii_draft,40.0,0.0891689381619316,R02161__mito,0.0047424745320150995,0.0,0.5106035366295243
chaemulonii_draft,40.0,0.0891689381619316,R00081__mito,0.0023712372660075498,0.0,0.25530176831476215
chaemulonii_draft,40.0,0.0891689381619316,T_ATP_synthase__mito,9.687734574339384,9.070473301412848,10.605439490739993
chaemulonii_draft,40.0,0.0891689381619316,EX_C00007__extr,-0.34795327826577094,-0.597427988904686,-0.34212622058976594
cduobushaemulonii_draft,30.0,0.06286594423452774,R11945__mito,0.0,0.0,0.36551026792674324
cduobushaemulonii_draft,30.0,0.06286594423452774,R11945__cyto,0.0,0.0,0.3655102679269665
cduobushaemulonii_draft,30.0,0.06286594423452774,R02164__mito,0.0,-0.17140440345385316,0.1281262174088254
cduobushaemulonii_draft,30.0,0.06286594423452774,R02161__mito,0.0033435425565111203,0.0,0.3688203750577217
cduobushaemulonii_draft,30.0,0.06286594423452774,R00081__mito,0.0016717712782555602,0.0,0.1844101875287948
cduobushaemulonii_draft,30.0,0.06286594423452774,T_ATP_synthase__mito,7.013818677209705,6.607346738650969,7.940303482369634
cduobushaemulonii_draft,30.0,0.06286594423452774,EX_C00007__extr,-0.24531425223381023,-0.4256162436750492,-0.2412060561459986
cduobushaemulonii_draft,40.0,0.0697849262782093,R11945__mito,0.0,0.0,0.32769379393886605
cduobushaemulonii_draft,40.0,0.0697849262782093,R11945__cyto,0.0,0.0,0.32769379393862463
cduobushaemulonii_draft,40.0,0.0697849262782093,R02164__mito,0.0,-0.16106093028665489,0.09279072342912689
cduobushaemulonii_draft,40.0,0.0697849262782093,R02161__mito,0.003711530521894775,0.0,0.33136820915533505
cduobushaemulonii_draft,40.0,0.0697849262782093,R00081__mito,0.0018557652609473875,0.0,0.1656841045776064
cduobushaemulonii_draft,40.0,0.0697849262782093,T_ATP_synthase__mito,8.767314270922242,8.29649098456914,9.663209735136968
cduobushaemulonii_draft,40.0,0.0697849262782093,EX_C00007__extr,-0.2723133680020047,-0.433437131291329,-0.26775302671364715
cparapsilosis_iDC1003,30.0,0.06664646140641432,R11945__mito,0.0,-0.054926030911910735,1.551353036806903
cparapsilosis_iDC1003,30.0,0.06664646140641432,R02164__mito,2.5248735276379413,1.6444286557099186,3.0297499039878826
cparapsilosis_iDC1003,30.0,0.06664646140641432,T02161__mito,8.25804770659001,6.495074956222771,8.505918905731104
cparapsilosis_iDC1003,30.0,0.06664646140641432,R00081__mito,4.129023853295005,3.2475374781104005,4.252959452865425
cparapsilosis_iDC1003,30.0,0.06664646140641432,T00485__cyto,7.432307326009818,7.012047214521881,7.655390761336292
cparapsilosis_iDC1003,30.0,0.06664646140641432,TI6900005_CYTMEM__plas,0.0,0.0,0.30706850948698605
cparapsilosis_iDC1003,30.0,0.06664646140641432,TI6900007_CYTMEM__plas,0.0,0.0,0.3070685094881548
cparapsilosis_iDC1003,30.0,0.06664646140641432,EX_Oxygen__extr,-6.95946057337132,-7.392361056790327,-5.637071762660128
cparapsilosis_iDC1003,40.0,0.08301797244476546,R11945__mito,4.77401785654314,4.489082846927151,4.87368666478409
cparapsilosis_iDC1003,40.0,0.08301797244476546,R02164__mito,1.0321711713871018,0.7322722554871479,1.539813410817076
cparapsilosis_iDC1003,40.0,0.08301797244476546,T02161__mito,5.814673954846229,5.446514518928418,6.1038453020460155
cparapsilosis_iDC1003,40.0,0.08301797244476546,R00081__mito,2.9073369774231144,2.723257259464209,3.051922651023131
cparapsilosis_iDC1003,40.0,0.08301797244476546,T00485__cyto,10.007304623220715,9.487103519997445,10.14321714122159
cparapsilosis_iDC1003,40.0,0.08301797244476546,TI6900005_CYTMEM__plas,0.0,0.0,0.2733296729144224
cparapsilosis_iDC1003,40.0,0.08301797244476546,TI6900007_CYTMEM__plas,0.0,0.0,0.2733296729148566
cparapsilosis_iDC1003,40.0,0.08301797244476546,EX_Oxygen__extr,-4.949495230274465,-5.397577478053044,-4.4629070214768225
