variant,A_ETC_level,A_ETC_over_Astar,A_ETC_nm2_per_gDW,strain,role,growth_scale,peak_mu_model,peak_mu,peak_T_C,Topt_C,rmax,CTmax_C,CTmin_C,Ea_eV,thermal_limit_C,mu_40C,fit_r2,plateau_1pct_width_C,plateau_0p01pct_width_C
full,1xA*,1.0,2.6236790098379133e+17,cduobushaemulonii_draft,predict,9.009679108312293,0.07168885736905485,0.6458936005367533,35.5,35.5,0.6458936005367533,53.920317700270054,17.101763158058198,1.3582293118136994,53.73541259765625,0.6065199565233959,-0.4885916063439739,3.0,0.5
full,1xA*,1.0,2.6236790098379133e+17,cparapsilosis_iDC1003,predict,9.009679108312293,0.05514321656560611,0.49682268625628173,34.5,34.5,0.49682268625628173,51.205084823370036,17.289739531481118,1.288490102457936,50.57684326171875,0.424945167876977,0.1766034243306266,2.0,0.0
full,0.7xA*,0.7,1.8365753068865392e+17,cauris_iRV973,calibrate_on,10.815237830220433,0.07385875489191523,0.79880000000002,36.0,36.0,0.79880000000002,53.44644781602929,18.316719500833166,1.3950808641043273,53.356201171875,0.744694368659315,0.6270453622077985,2.5,0.0
full,0.7xA*,0.7,1.8365753068865392e+17,chaemulonii_draft,predict,10.815237830220433,0.07155125739468278,0.7738438657748127,38.0,38.0,0.7738438657748127,52.98657086905801,19.86314893247251,1.3738250089004926,52.91064453125,0.7538383941089184,-2.3277286353173476,2.0,0.0
full,0.7xA*,0.7,1.8365753068865392e+17,cduobushaemulonii_draft,predict,10.815237830220433,0.06359129559766616,0.6877549858206091,34.5,34.5,0.6877549858206091,53.27184635175415,16.791247993479384,1.4033550397456716,53.11065673828125,0.6221770930379996,-0.46720197658121587,3.0,0.0
full,0.7xA*,0.7,1.8365753068865392e+17,cparapsilosis_iDC1003,predict,10.815237830220433,0.053050098663978154,0.5737494339675829,34.5,34.5,0.5737494339675829,50.710356174666366,17.49394961958505,1.3221779406001752,50.26519775390625,0.4858379127100353,0.19805203722264875,2.0,0.0
full,0.5xA*,0.5,1.3118395049189566e+17,cauris_iRV973,calibrate_on,12.656433111066372,0.06321973954727131,0.8001364048790768,35.5,35.5,0.8001364048790768,53.01573665342763,17.90351207790782,1.3728486032469858,52.93707275390625,0.7260257746924494,0.7325873742944231,2.5,0.0
full,0.5xA*,0.5,1.3118395049189566e+17,chaemulonii_draft,predict,12.656433111066372,0.06280988461348917,0.7949491033244226,37.5,37.5,0.7949491033244226,52.45104560646024,19.48267762597263,1.313787994496128,52.38739013671875,0.7634258843593126,-2.328615762281049,2.0,0.0
full,0.5xA*,0.5,1.3118395049189566e+17,cduobushaemulonii_draft,predict,12.656433111066372,0.057266739661995844,0.724792660020902,34.0,34.0,0.724792660020902,52.42347381999046,16.533967970286593,1.370795646329045,52.3271484375,0.6431095485493373,-0.5349471661462952,2.5,0.0
full,0.5xA*,0.5,1.3118395049189566e+17,cparapsilosis_iDC1003,predict,12.656433111066372,0.05153264206849918,0.6522194373764849,34.5,34.5,0.6522194373764849,50.38146148106943,17.619712370645036,1.3446111442052642,50.07550048828125,0.5492377205572521,0.11418377939043856,2.0,0.0
full,0.35xA*,0.35,9.182876534432696e+16,cauris_iRV973,calibrate_on,14.697631863596737,0.05463854371110686,0.8030572010288872,35.0,35.0,0.8030572010288872,51.956038215157506,17.66154858691758,1.344781862026426,51.8585205078125,0.7046602776821712,0.8088024202331663,2.0,0.0
full,0.35xA*,0.35,9.182876534432696e+16,chaemulonii_draft,predict,14.697631863596737,0.05632232630246322,0.827804817694976,37.0,37.0,0.827804817694976,51.87787405839646,19.24653679343728,1.3198766564560152,51.8350830078125,0.7831260333684479,-2.4697377553109336,2.0,0.0
full,0.35xA*,0.35,9.182876534432696e+16,cduobushaemulonii_draft,predict,14.697631863596737,0.052531608385124204,0.7720902412471871,34.0,34.0,0.7720902412471871,51.83224241103031,16.419520034411494,1.354448984329292,51.7666015625,0.6728081331239719,-0.6906758230989607,2.5,0.0
full,0.35xA*,0.35,9.182876534432696e+16,cparapsilosis_iDC1003,predict,14.697631863596737,0.050204340123556165,0.7378849090908273,34.5,34.5,0.7378849090908273,50.135643160345886,17.795481508549283,1.370144596353339,49.94000244140625,0.6179859311485749,-0.09596502549161379,2.0,0.0
full,0.2xA*,0.2,5.247358019675827e+16,cauris_iRV973,calibrate_on,17.416060485948986,0.04596278910558335,0.8004907151657568,34.5,34.5,0.8004907151657568,50.000838767325966,17.93855312043165,1.4198953073571188,49.87225341796875,0.6705931791575797,0.8798249550105687,2.0,0.0
full,0.2xA*,0.2,5.247358019675827e+16,chaemulonii_draft,predict,17.416060485948986,0.04991024919242257,0.869239918804018,37.0,37.0,0.869239918804018,51.229056229682314,19.383574138547292,1.3727559271598984,51.1751708984375,0.8054184279901027,-2.6664217006837894,1.5,0.0
full,0.2xA*,0.2,5.247358019675827e+16,cduobushaemulonii_draft,predict,17.416060485948986,0.047796477108252446,0.8324263363326007,34.0,34.0,0.8324263363326007,51.19790262562334,16.69790767046658,1.398935613339951,51.1513671875,0.7095374750665306,-0.9309519615301649,2.5,0.0
full,0.2xA*,0.2,5.247358019675827e+16,cparapsilosis_iDC1003,predict,17.416060485948986,0.04887596806990304,0.8512268162147426,34.5,34.5,0.8512268162147426,49.88760690895252,18.159010535607578,1.3336647437117706,49.79095458984375,0.7078053062075269,-0.5463654710880217,2.0,0.0
full,0.1xA*,0.1,2.6236790098379136e+16,cauris_iRV973,calibrate_on,19.865577784647723,0.040223185759984625,0.7990568254613092,34.5,34.5,0.7990568254613092,48.534182347981385,18.167633003506936,1.4412751552906005,48.42242431640625,0.6398960527129569,0.9078348329391867,2.0,0.0
full,0.1xA*,0.1,2.6236790098379136e+16,chaemulonii_draft,predict,19.865577784647723,0.04570702649768986,0.9079964901948124,36.5,36.5,0.9079964901948124,50.71401936414408,19.50111818503948,1.3848049141608605,50.69134521484375,0.8255056231474697,-2.8703067122733166,2.0,0.0
full,0.1xA*,0.1,2.6236790098379136e+16,cduobushaemulonii_draft,predict,19.865577784647723,0.04464377733917197,0.8868744313318141,33.5,33.5,0.8868744313318141,50.68769122313437,16.925467573444703,1.3740183121123983,50.65277099609375,0.74263349153701,-1.193370854734468,2.5,0.5
full,0.1xA*,0.1,2.6236790098379136e+16,cparapsilosis_iDC1003,predict,19.865577784647723,0.04733772089891077,0.9403911766652561,34.5,34.5,0.9403911766652561,49.728310977002785,18.50836096733946,1.3768675722292854,49.69610595703125,0.7828034973638729,-1.0672912627134754,2.0,0.0
full,0.05xA*,0.05,1.3118395049189568e+16,cauris_iRV973,calibrate_on,21.368269690513703,0.037382530807043214,0.7987999999988362,34.0,34.0,0.7987999999988362,47.77335924979024,18.305945374424407,1.456058655755608,47.6650390625,0.6210644553729835,0.9074378320397684,2.0,0.0
full,0.05xA*,0.05,1.3118395049189568e+16,chaemulonii_draft,predict,21.368269690513703,0.04361463196002555,0.9319692181743243,36.5,36.5,0.9319692181743243,50.41633925411446,19.559397388456233,1.3440971847784413,50.40399169921875,0.8378284042865076,-3.0078892192607736,2.0,0.0
