reaction,name,bounds_changed,stoich_changed,lb_before,lb_after,ub_before,ub_after,costed,moves_proton
r_0166No1,"aldehyde dehydrogenase (2-methylbutanol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0166No2,"aldehyde dehydrogenase (2-methylbutanol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0166No3,"aldehyde dehydrogenase (2-methylbutanol, NAD) (No3)",False,True,0.0,0.0,inf,inf,True,False
r_0167No1,"aldehyde dehydrogenase (2-methylbutanol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0167No2,"aldehyde dehydrogenase (2-methylbutanol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0168No1,"aldehyde dehydrogenase (2-methylbutanol, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0168No2,"aldehyde dehydrogenase (2-methylbutanol, NADP) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0168No3,"aldehyde dehydrogenase (2-methylbutanol, NADP) (No3)",False,True,0.0,0.0,inf,inf,True,False
r_0169No1,"aldehyde dehydrogenase (2-phenylethanol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0169No2,"aldehyde dehydrogenase (2-phenylethanol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0169No3,"aldehyde dehydrogenase (2-phenylethanol, NAD) (No3)",False,True,0.0,0.0,inf,inf,True,False
r_0170No1,"aldehyde dehydrogenase (2-phenylethanol, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0170No2,"aldehyde dehydrogenase (2-phenylethanol, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0171No1,"aldehyde dehydrogenase (2-phenylethanol, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,False
r_0171No2,"aldehyde dehydrogenase (2-phenylethanol, NADP) (No2)",False,True,0.0,0.0,inf,inf,True,False
r_0172No1,"aldehyde dehydrogenase (3-aminopropanal, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0172No2,"aldehyde dehydrogenase (3-aminopropanal, NAD) (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0173No1,"aldehyde dehydrogenase (acetaldehyde, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0174No1,"aldehyde dehydrogenase (acetylaldehyde, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0175No1,"aldehyde dehydrogenase (acetylaldehyde, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0175No2,"aldehyde dehydrogenase (acetylaldehyde, NADP) (No2)",False,True,0.0,0.0,inf,inf,True,True
r_0176No1,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0177No1,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,True
r_0178No1,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP) (No1)",False,True,0.0,0.0,inf,inf,True,True
