reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string
r_0546No1,r_0546No1,homoserine dehydrogenase (NADH) (No1),True,False,False,False,redox,-1.0,0.015014115561453928,-0.015014115561453928,1.362045586188888e-05 prot_P31116 + s_0794 + s_0978 + s_1203 --> s_1014 + s_1198
arm_r_0565,arm_r_0565 r_0565No1 r_0565No2 r_0565No3,IMP dehydrogenase (arm),True,False,False,False,redox,3.0,0.004938999999999999,0.014816999999999997,s_0803 + s_0849 + s_1198 --> pmet_r_0565 ; pmet_r_0565 + 0.0007413071972106765 prot_P38697 --> s_0794 + s_1203 + s_1565 ; pmet_r_0565 + 0.000720487542729849 prot_P50095 --> s_0794 + s_1203 + s_1565 ; pmet_r_0565 + 0.0007416608298152536 prot_P50094 --> s_0794 + s_1203 + s_1565
r_0214No1,r_0214No1,aspartate carbamoyltransferase (No1),True,False,False,False,carrier,1.0,0.011059999999999995,0.011059999999999995,6.911134228694532e-07 prot_P07259 + s_0455 + s_0973 --> s_0794 + s_1194 + s_1322
r_0821No1,r_0821No1,orotidine-5'-phosphate decarboxylase (No1),True,False,False,False,carrier,-1.0,0.011059999999999995,-0.011059999999999995,5.396842962009488e-07 prot_P03962 + s_0794 + s_1270 --> s_0456 + s_1545
r_0349_REVNo1,r_0349_REVNo1,dihydroorotase (reversible) (No1),True,False,False,False,carrier,-1.0,0.011059999999999995,-0.011059999999999995,1.5771814905306106e-06 prot_P20051 + s_0794 + s_1194 --> s_0061 + s_0803
r_0079No1,r_0079No1,5'-phosphoribosylformyl glycinamidine synthetase (No1),True,False,False,False,carrier,1.0,0.009898999999998173,0.009898999999998173,5.6889849287134594e-05 prot_P38972 + s_0301 + s_0434 + s_0803 + s_0999 --> s_0302 + s_0394 + s_0794 + s_0991 + s_1322
r_0499No1,r_0499No1,glycinamide ribotide transformylase (No1),True,False,False,False,carrier,1.0,0.009898999999998173,0.009898999999998173,7.689273742401114e-06 prot_P04161 + s_0120 + s_0325 --> s_0301 + s_0794 + s_1487
r_0908No1,r_0908No1,phosphoribosyl amino imidazolesuccinocarbozamide synthetase (No1),True,False,False,False,carrier,1.0,0.009898999999998173,0.009898999999998173,6.162516981687147e-06 prot_P27616 + s_0434 + s_0973 + s_1364 --> s_0299 + s_0394 + s_0794 + s_1322
r_0911No1,r_0911No1,phosphoribosylaminoimidazole-carboxylase (No1),True,False,False,False,carrier,1.0,0.009898999999998173,0.009898999999998173,3.742781259083778e-06 prot_P21264 + s_0300 + s_0434 + s_0456 + s_0803 --> s_0394 + s_0794 + s_1322 + s_1364
r_0914No1,r_0914No1,phosphoribosylglycinamidine synthetase (No1),True,False,False,False,carrier,1.0,0.009898999999998173,0.009898999999998173,0.0003077707724310728 prot_P07244 + s_0327 + s_0434 + s_1003 --> s_0325 + s_0394 + s_0794 + s_1322
r_0514No1,r_0514No1,GMP synthase (No1),True,False,False,False,carrier,2.0,0.004938999999999999,0.009877999999999998,9.260456098536328e-05 prot_P38625 + s_0434 + s_0803 + s_0999 + s_1565 --> s_0423 + s_0633 + s_0782 + 2.0 s_0794 + s_0991
arm_r_1038,arm_r_1038 r_1038No1 r_1038No2 r_1038No3,thioredoxin reductase (NADPH) (arm),True,False,False,False,redox,-1.0,0.008353558052434457,-0.008353558052434457,s_0794 + s_1212 + s_1620 --> pmet_r_1038 ; pmet_r_1038 + 1.1174236689832203e-05 prot_P22803 + 9.236969897408885e-06 prot_P29509 --> s_1207 + s_1616 ; pmet_r_1038 + 1.0175252726660498e-05 prot_P22217 + 9.236969897408885e-06 prot_P29509 --> s_1207 + s_1616 ; pmet_r_1038 + 9.236969897408885e-06 prot_P2
r_0563No1,r_0563No1,Imidazole-glycerol-3-phosphate synthase (No1),True,False,False,False,carrier,1.0,0.008277153558052435,0.008277153558052435,2.7929758394274826e-06 prot_P33734 + s_0312 + s_0999 --> s_0403 + s_0550 + s_0794 + s_0991
r_0910No1,r_0910No1,phosphoribosyl-ATP pyrophosphatase (No1),True,False,False,False,carrier,1.0,0.008277153558052435,0.008277153558052435,8.067731703767277e-06 prot_P00815 + s_0326 + s_0803 --> s_0078 + s_0633 + s_0794
r_0727No1,r_0727No1,methionine synthase (No1),True,False,False,False,carrier,1.0,0.008238573729266988,0.008238573729266988,0.0009319690406338696 prot_P05694 + s_0322 + s_1012 --> s_0794 + s_1029 + s_1487
arm_r_0558,arm_r_0558 r_0558No1 r_0558No2,hydroxymethylglutaryl CoA reductase (arm),True,False,False,False,redox,-2.0,0.004110300000000001,-0.008220600000000002,s_0218 + 2.0 s_0794 + 2.0 s_1212 --> pmet_r_0558 ; pmet_r_0558 + 0.005535714015956636 prot_P12684 --> s_0028 + s_0529 + 2.0 s_1207 ; pmet_r_0558 + 0.005426956762683551 prot_P12683 --> s_0028 + s_0529 + 2.0 s_1207
r_0154No1,r_0154No1,adenylyl-sulfate kinase (No1),True,False,False,False,carrier,1.0,0.007153558052434457,0.007153558052434457,6.996810132908383e-05 prot_Q02196 + s_0298 + s_0434 --> s_0201 + s_0394 + s_0794
r_1025No1,r_1025No1,sulfate adenylyltransferase (No1),True,False,False,False,carrier,-1.0,0.007153558052434457,-0.007153558052434457,8.236748458568752e-06 prot_P08536 + s_0434 + s_0794 + s_1467 --> s_0298 + s_0633
r_0813No1,r_0813No1,O-acetylhomoserine (thiol)-lyase (No1),True,False,False,False,carrier,1.0,0.006329588014981274,0.006329588014981274,2.8236929079394516e-05 prot_P06106 + s_0841 + s_1233 --> s_0362 + s_0794 + s_1012
r_0736No1,r_0736No1,mevalonate kinase (ctp) (No1),True,False,False,False,carrier,1.0,0.004110300000000001,0.004110300000000001,1.0405536379961478e-05 prot_P07277 + s_0028 + s_0539 --> s_0019 + s_0467 + s_0794
r_0792No1,r_0792No1,nucleoside diphosphatase (No1),True,False,False,False,carrier,1.0,0.003572749924911158,0.003572749924911158,9.821890273573233e-08 prot_P40009 + s_0467 + s_0803 --> s_0526 + s_0794 + s_1322
r_0203No1,r_0203No1,anthranilate synthase (No1),True,False,False,False,carrier,1.0,0.0035455680399500626,0.0035455680399500626,8.395438037579604e-07 prot_P00899 + 7.527568484085736e-07 prot_P00937 + s_0515 + s_0999 --> s_0427 + s_0794 + s_0991 + s_1399
r_0566No1,r_0566No1,indole-3-glycerol-phosphate synthase (No1),True,False,False,False,carrier,-1.0,0.0035455680399500626,-0.0035455680399500626,2.5973502066710245e-05 prot_P00937 + s_0076 + s_0794 --> s_0086 + s_0456 + s_0803
arm_r_0195,arm_r_0195 r_0195No1 r_0195No2,"alpha,alpha-trehalose-phosphate synthase (UDP-forming) (arm)",True,False,False,False,carrier,2.0,0.001767514138185395,0.00353502827637079,s_0568 + s_1543 --> pmet_r_0195 ; pmet_r_0195 + 2.0309785158842895e-05 prot_P31688 + 1.973932581769224e-05 prot_P38427 + 2.6386281613258156e-05 prot_Q00764 --> s_0409 + s_0794 + s_1538 ; pmet_r_0195 + 2.0309785158842895e-05 prot_P31688 + 1.9739325817714712e-05 prot_P38426 + 2.6386281613258156e-05 pr
r_3525,r_3525,"H+ transport, cytoplasm-ER membrane",False,False,False,True,pure_ion_transport,-1.0,0.0025039205983569566,-0.0025039205983569566,s_0794 --> s_2783
r_0553No1,r_0553No1,hydroxyacylglutathione hydrolase (No1),True,False,False,False,carrier,1.0,0.0023845693352301193,0.0023845693352301193,3.7365453692460825e-07 prot_Q05584 + s_0033 + s_0803 --> s_0025 + s_0750 + s_0794
r_0241No1,r_0241No1,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol) (No1)",True,False,False,False,redox,-3.0,0.0006762000000000001,-0.0020286,9.77466623968762e-06 prot_P53045 + s_0122 + 3.0 s_0794 + 3.0 s_1212 + 3.0 s_1275 --> s_0297 + 4.0 s_0803 + 3.0 s_1207
r_0142No1,r_0142No1,adenosine kinase (No1),True,False,False,False,carrier,1.0,0.001908985714285714,0.001908985714285714,1.3288220745833803e-05 prot_P47143 + s_0386 + s_0434 --> s_0394 + s_0423 + s_0794
r_0317No1,r_0317No1,cytochrome P450 lanosterol 14-alpha-demethylase (NADP) (No1),True,False,False,False,redox,-2.0,0.0006818000000000001,-0.0013636000000000002,9.773820891359648e-06 prot_P10614 + 1.2242779323970756e-05 prot_P16603 + 2.0 s_0794 + s_1059 + 3.0 s_1212 + 3.0 s_1275 --> s_0262 + s_0722 + 4.0 s_0803 + 3.0 s_1207
r_0312No1,r_0312No1,cysteine synthase (No1),True,False,False,False,carrier,1.0,0.0008239700374531836,0.0008239700374531836,1.4118464539697258e-05 prot_P06106 + s_0841 + s_1234 --> s_0362 + s_0794 + s_0981
r_1012No1,r_1012No1,squalene synthase (No1),True,False,False,False,redox,-1.0,0.0006850000000000001,-0.0006850000000000001,0.00019487345068336078 prot_P29704 + 2.0 s_0190 + s_0794 + s_1212 --> 2.0 s_0633 + s_1207 + s_1447
r_0231No1,r_0231No1,C-14 sterol reductase (No1),True,False,False,False,redox,-1.0,0.0006818000000000001,-0.0006818000000000001,2.4695975850079978e-06 prot_P32462 + s_0262 + s_0794 + s_1212 --> s_0122 + s_1207
r_0234No1,r_0234No1,C-3 sterol dehydrogenase (No1),True,False,False,False,redox,1.0,0.0006762000000000001,0.0006762000000000001,2.3303504847129008e-08 prot_P53199 + s_1207 + s_1578 --> s_0456 + s_0794 + s_1212 + s_1579
r_0235No1,r_0235No1,C-3 sterol dehydrogenase (4-methylzymosterol) (No1),True,False,False,False,redox,1.0,0.0006762000000000001,0.0006762000000000001,2.3303504847129008e-08 prot_P53199 + s_0297 + s_1198 --> s_0209 + s_0456 + s_0794 + s_1203
r_0236No1,r_0236No1,C-3 sterol keto reductase (4-methylzymosterol) (No1),True,False,False,False,redox,-1.0,0.0006762000000000001,-0.0006762000000000001,0.00046667685169438555 prot_Q12452 + s_0209 + s_0794 + s_1212 --> s_0296 + s_1207
r_0237No1,r_0237No1,C-3 sterol keto reductase (zymosterol) (No1),True,False,False,False,redox,-1.0,0.0006762000000000001,-0.0006762000000000001,0.00046667685169438555 prot_Q12452 + s_0794 + s_1212 + s_1579 --> s_1207 + s_1569
