lever,sigma,glucose_cap,label,T_C,mu
sigma,0.4,,sigma=0.4,20.5,0.13936385341453592
sigma,0.4,,sigma=0.4,21.0,0.14858762255464333
sigma,0.4,,sigma=0.4,21.5,0.15801002790017848
sigma,0.4,,sigma=0.4,22.0,0.1675664814753922
sigma,0.4,,sigma=0.4,22.5,0.1772172000175784
sigma,0.4,,sigma=0.4,23.0,0.1869327288780927
sigma,0.4,,sigma=0.4,23.5,0.196656699942643
sigma,0.4,,sigma=0.4,24.0,0.20634112023494913
sigma,0.4,,sigma=0.4,24.5,0.21593674272463179
sigma,0.4,,sigma=0.4,25.0,0.22539520124100523
sigma,0.4,,sigma=0.4,25.5,0.23470496418560913
sigma,0.4,,sigma=0.4,26.0,0.24377424852318302
sigma,0.4,,sigma=0.4,26.5,0.2527010844235777
sigma,0.4,,sigma=0.4,27.0,0.26134745851760605
sigma,0.4,,sigma=0.4,27.5,0.26955361374654874
sigma,0.4,,sigma=0.4,28.0,0.2772320730806394
sigma,0.4,,sigma=0.4,28.5,0.28427552509771953
sigma,0.4,,sigma=0.4,29.0,0.29055302157493146
sigma,0.4,,sigma=0.4,29.5,0.29589920216557297
sigma,0.4,,sigma=0.4,30.0,0.30010185628297464
sigma,0.4,,sigma=0.4,30.5,0.3029546006581084
sigma,0.4,,sigma=0.4,31.0,0.3043365206841142
sigma,0.4,,sigma=0.4,31.5,0.3043000895792558
sigma,0.4,,sigma=0.4,32.0,0.303154832460883
sigma,0.4,,sigma=0.4,32.5,0.301349075306182
sigma,0.4,,sigma=0.4,33.0,0.299472382002048
sigma,0.4,,sigma=0.4,33.5,0.2976268626477643
sigma,0.4,,sigma=0.4,34.0,0.2958265980664139
sigma,0.4,,sigma=0.4,34.5,0.29392398013548193
sigma,0.4,,sigma=0.4,35.0,0.29174828443676504
sigma,0.4,,sigma=0.4,35.5,0.28914950377783516
sigma,0.4,,sigma=0.4,36.0,0.28606004387918454
sigma,0.4,,sigma=0.4,36.5,0.2824114131133897
sigma,0.4,,sigma=0.4,37.0,0.278131314506173
sigma,0.4,,sigma=0.4,37.5,0.2732120925571524
sigma,0.4,,sigma=0.4,38.0,0.2676414548907761
sigma,0.4,,sigma=0.4,38.5,0.26142150977667344
sigma,0.4,,sigma=0.4,39.0,0.25454763776599215
sigma,0.4,,sigma=0.4,39.5,0.24737369678762153
sigma,0.4,,sigma=0.4,40.0,0.23944102704789572
sigma,0.4,,sigma=0.4,40.5,0.2316059341461713
sigma,0.4,,sigma=0.4,41.0,0.22274459831056817
sigma,0.4,,sigma=0.4,41.5,0.21238326365973512
sigma,0.4,,sigma=0.4,42.0,0.199905022806601
sigma,0.4,,sigma=0.4,42.5,0.18420817151538574
sigma,0.4,,sigma=0.4,43.0,0.1639325925710703
sigma,0.4,,sigma=0.4,43.5,0.1380487106798597
sigma,0.4,,sigma=0.4,44.0,0.10710319094422892
sigma,0.4,,sigma=0.4,44.5,0.07452236897773315
sigma,0.4,,sigma=0.4,45.0,0.0455012521207258
sigma,0.4,,sigma=0.4,45.5,0.023858209272897196
sigma,0.4,,sigma=0.4,46.0,0.010354098225573637
sigma,0.4,,sigma=0.4,46.5,0.003534805574544048
sigma,0.4,,sigma=0.4,47.0,0.0009325959756332874
sigma,0.4,,sigma=0.4,47.5,0.00019830349401925488
sigma,0.4,,sigma=0.4,48.0,3.5796735666658275e-05
sigma,0.4,,sigma=0.4,48.5,6.405406859173241e-06
sigma,0.4,,sigma=0.4,49.0,1.2348799534114831e-06
sigma,0.4,,sigma=0.4,49.5,0.0
sigma,0.4,,sigma=0.4,50.0,0.0
sigma,0.3,,sigma=0.3,20.0,0.09672296179062817
sigma,0.3,,sigma=0.3,20.5,0.10342660566649935
sigma,0.3,,sigma=0.3,21.0,0.11034464136966614
sigma,0.3,,sigma=0.3,21.5,0.11741088578196365
sigma,0.3,,sigma=0.3,22.0,0.12457696330930142
sigma,0.3,,sigma=0.3,22.5,0.13181285467940476
sigma,0.3,,sigma=0.3,23.0,0.13909612331680893
sigma,0.3,,sigma=0.3,23.5,0.1463843785472277
sigma,0.3,,sigma=0.3,24.0,0.15364121830939712
sigma,0.3,,sigma=0.3,24.5,0.16082920298878717
sigma,0.3,,sigma=0.3,25.0,0.16791132403969597
sigma,0.3,,sigma=0.3,25.5,0.17487766466880836
sigma,0.3,,sigma=0.3,26.0,0.18165795249694136
sigma,0.3,,sigma=0.3,26.5,0.18832243814859898
sigma,0.3,,sigma=0.3,27.0,0.19476398774847012
sigma,0.3,,sigma=0.3,27.5,0.20085687478580505
sigma,0.3,,sigma=0.3,28.0,0.20652555423247485
sigma,0.3,,sigma=0.3,28.5,0.2116741605331043
sigma,0.3,,sigma=0.3,29.0,0.21618144756979266
sigma,0.3,,sigma=0.3,29.5,0.2198908316325966
sigma,0.3,,sigma=0.3,30.0,0.222601642470042
sigma,0.3,,sigma=0.3,30.5,0.224116113443551
sigma,0.3,,sigma=0.3,31.0,0.22431747380878833
sigma,0.3,,sigma=0.3,31.5,0.22326335321538582
sigma,0.3,,sigma=0.3,32.0,0.22126573296391525
sigma,0.3,,sigma=0.3,32.5,0.21878478099254586
sigma,0.3,,sigma=0.3,33.0,0.21637360689901927
sigma,0.3,,sigma=0.3,33.5,0.2141730369566012
sigma,0.3,,sigma=0.3,34.0,0.21219583190999652
sigma,0.3,,sigma=0.3,34.5,0.21029836869830149
sigma,0.3,,sigma=0.3,35.0,0.20830908637095663
sigma,0.3,,sigma=0.3,35.5,0.20607661785454323
sigma,0.3,,sigma=0.3,36.0,0.20352186432660627
sigma,0.3,,sigma=0.3,36.5,0.2005728472077236
sigma,0.3,,sigma=0.3,37.0,0.19716055291563517
sigma,0.3,,sigma=0.3,37.5,0.19327013539145155
sigma,0.3,,sigma=0.3,38.0,0.18888729642133742
sigma,0.3,,sigma=0.3,38.5,0.18401049874741773
sigma,0.3,,sigma=0.3,39.0,0.17863522910864965
sigma,0.3,,sigma=0.3,39.5,0.17304118477513303
sigma,0.3,,sigma=0.3,40.0,0.16687551097814848
sigma,0.3,,sigma=0.3,40.5,0.16102983228676288
sigma,0.3,,sigma=0.3,41.0,0.15445053612960222
sigma,0.3,,sigma=0.3,41.5,0.14681677187002512
sigma,0.3,,sigma=0.3,42.0,0.137714802081786
sigma,0.3,,sigma=0.3,42.5,0.1264070482793473
sigma,0.3,,sigma=0.3,43.0,0.11199660901083869
sigma,0.3,,sigma=0.3,43.5,0.09383747333868699
sigma,0.3,,sigma=0.3,44.0,0.07237913815535559
sigma,0.3,,sigma=0.3,44.5,0.05001820471690067
sigma,0.3,,sigma=0.3,45.0,0.030289815823335498
sigma,0.3,,sigma=0.3,45.5,0.01572040184050955
sigma,0.3,,sigma=0.3,46.0,0.006731233676093888
sigma,0.3,,sigma=0.3,46.5,0.002255080866688164
sigma,0.3,,sigma=0.3,47.0,0.0005778011840283104
sigma,0.3,,sigma=0.3,47.5,0.0001167641956922338
sigma,0.3,,sigma=0.3,48.0,1.9059018705912302e-05
sigma,0.3,,sigma=0.3,48.5,3.174128872505145e-06
sigma,0.3,,sigma=0.3,49.0,6.326196993532488e-07
sigma,0.3,,sigma=0.3,49.5,0.0
sigma,0.3,,sigma=0.3,50.0,0.0
sigma,0.2,,sigma=0.2,20.0,0.06301841320104191
sigma,0.2,,sigma=0.2,20.5,0.06748931319264657
sigma,0.2,,sigma=0.2,21.0,0.07210161204789345
sigma,0.2,,sigma=0.2,21.5,0.07681169199002777
sigma,0.2,,sigma=0.2,22.0,0.08158738983397579
sigma,0.2,,sigma=0.2,22.5,0.08640845031064963
sigma,0.2,,sigma=0.2,23.0,0.09125954842991359
sigma,0.2,,sigma=0.2,23.5,0.0961120897458966
sigma,0.2,,sigma=0.2,24.0,0.10094135091635263
sigma,0.2,,sigma=0.2,24.5,0.10572169973311075
sigma,0.2,,sigma=0.2,25.0,0.11042748524963829
sigma,0.2,,sigma=0.2,25.5,0.11505040549868345
sigma,0.2,,sigma=0.2,26.0,0.11954169872642545
sigma,0.2,,sigma=0.2,26.5,0.1239438360698593
sigma,0.2,,sigma=0.2,27.0,0.12818056310138656
sigma,0.2,,sigma=0.2,27.5,0.13216018380169542
sigma,0.2,,sigma=0.2,28.0,0.13581903538430865
sigma,0.2,,sigma=0.2,28.5,0.1390727959684877
sigma,0.2,,sigma=0.2,29.0,0.1418098735646589
sigma,0.2,,sigma=0.2,29.5,0.1438824610996232
sigma,0.2,,sigma=0.2,30.0,0.14510142865711356
sigma,0.2,,sigma=0.2,30.5,0.14527762622899032
sigma,0.2,,sigma=0.2,31.0,0.14429842693346498
sigma,0.2,,sigma=0.2,31.5,0.14222661685151916
sigma,0.2,,sigma=0.2,32.0,0.13937663346694767
sigma,0.2,,sigma=0.2,32.5,0.13622048667891246
sigma,0.2,,sigma=0.2,33.0,0.1332748317959904
sigma,0.2,,sigma=0.2,33.5,0.1307192112654377
sigma,0.2,,sigma=0.2,34.0,0.12856506575358126
sigma,0.2,,sigma=0.2,34.5,0.12667275726112096
sigma,0.2,,sigma=0.2,35.0,0.12486988830514822
sigma,0.2,,sigma=0.2,35.5,0.12300373193124894
sigma,0.2,,sigma=0.2,36.0,0.12098368477403139
sigma,0.2,,sigma=0.2,36.5,0.11873428130206103
sigma,0.2,,sigma=0.2,37.0,0.11618979132509952
sigma,0.2,,sigma=0.2,37.5,0.11332817822575154
sigma,0.2,,sigma=0.2,38.0,0.11013313795189845
sigma,0.2,,sigma=0.2,38.5,0.10659948771816147
sigma,0.2,,sigma=0.2,39.0,0.10272282045130944
sigma,0.2,,sigma=0.2,39.5,0.0987086727626486
sigma,0.2,,sigma=0.2,40.0,0.09430999490840493
sigma,0.2,,sigma=0.2,40.5,0.09045373042735708
sigma,0.2,,sigma=0.2,41.0,0.08615647394863919
sigma,0.2,,sigma=0.2,41.5,0.08125028008031827
sigma,0.2,,sigma=0.2,42.0,0.07552458135697439
sigma,0.2,,sigma=0.2,42.5,0.06860592504330862
sigma,0.2,,sigma=0.2,43.0,0.060060625450608675
sigma,0.2,,sigma=0.2,43.5,0.04962623599751429
sigma,0.2,,sigma=0.2,44.0,0.03765508536648306
sigma,0.2,,sigma=0.2,44.5,0.025514040456066985
sigma,0.2,,sigma=0.2,45.0,0.015078379525945002
sigma,0.2,,sigma=0.2,45.5,0.00758259440812204
sigma,0.2,,sigma=0.2,46.0,0.003108369133211425
sigma,0.2,,sigma=0.2,46.5,0.0009753557305979078
sigma,0.2,,sigma=0.2,47.0,0.00022300638666366936
sigma,0.2,,sigma=0.2,47.5,3.522483003718365e-05
sigma,0.2,,sigma=0.2,48.0,2.3213395955558335e-06
sigma,0.2,,sigma=0.2,48.5,0.0
sigma,0.2,,sigma=0.2,49.0,0.0
sigma,0.2,,sigma=0.2,49.5,2.198877381508818e-07
sigma,0.2,,sigma=0.2,50.0,0.0
sigma,0.1,,sigma=0.1,20.0,0.029313935039702973
sigma,0.1,,sigma=0.1,20.5,0.031552096796133695
sigma,0.1,,sigma=0.1,21.0,0.03385866462166489
sigma,0.1,,sigma=0.1,21.5,0.03621258604528373
sigma,0.1,,sigma=0.1,22.0,0.03859791002241765
sigma,0.1,,sigma=0.1,22.5,0.041004145346339636
sigma,0.1,,sigma=0.1,23.0,0.043423031964756595
sigma,0.1,,sigma=0.1,23.5,0.0458398622349354
sigma,0.1,,sigma=0.1,24.0,0.048241547607559034
sigma,0.1,,sigma=0.1,24.5,0.050614263260502196
sigma,0.1,,sigma=0.1,25.0,0.05294371568355127
sigma,0.1,,sigma=0.1,25.5,0.05522321791159999
sigma,0.1,,sigma=0.1,26.0,0.057425518666513284
sigma,0.1,,sigma=0.1,26.5,0.059565309761850656
sigma,0.1,,sigma=0.1,27.0,0.061597216106716216
sigma,0.1,,sigma=0.1,27.5,0.0634635720341771
sigma,0.1,,sigma=0.1,28.0,0.06511269637397774
sigma,0.1,,sigma=0.1,28.5,0.06647161509992926
sigma,0.1,,sigma=0.1,29.0,0.0674384860221874
sigma,0.1,,sigma=0.1,29.5,0.06787427831982723
sigma,0.1,,sigma=0.1,30.0,0.06760140191283204
sigma,0.1,,sigma=0.1,30.5,0.0664393229209686
sigma,0.1,,sigma=0.1,31.0,0.06427955803380742
sigma,0.1,,sigma=0.1,31.5,0.06119004994969138
sigma,0.1,,sigma=0.1,32.0,0.057487693216823725
sigma,0.1,,sigma=0.1,32.5,0.053656341020592295
sigma,0.1,,sigma=0.1,33.0,0.050176195779878016
sigma,0.1,,sigma=0.1,33.5,0.0472655166534491
sigma,0.1,,sigma=0.1,34.0,0.04493442426098465
sigma,0.1,,sigma=0.1,34.5,0.043047265288494105
sigma,0.1,,sigma=0.1,35.0,0.04143080524132465
sigma,0.1,,sigma=0.1,35.5,0.03993095685834852
sigma,0.1,,sigma=0.1,36.0,0.038445611959463805
sigma,0.1,,sigma=0.1,36.5,0.03689581784236534
sigma,0.1,,sigma=0.1,37.0,0.03521912752850266
sigma,0.1,,sigma=0.1,37.5,0.03338631376824485
sigma,0.1,,sigma=0.1,38.0,0.03137906661883427
sigma,0.1,,sigma=0.1,38.5,0.02918855774847459
sigma,0.1,,sigma=0.1,39.0,0.026810486255786463
sigma,0.1,,sigma=0.1,39.5,0.02437622853995955
sigma,0.1,,sigma=0.1,40.0,0.021744539427868408
sigma,0.1,,sigma=0.1,40.5,0.01987768413142419
sigma,0.1,,sigma=0.1,41.0,0.017862461902455083
sigma,0.1,,sigma=0.1,41.5,0.015683832628126376
sigma,0.1,,sigma=0.1,42.0,0.013334398822004325
sigma,0.1,,sigma=0.1,42.5,0.010804833423699327
sigma,0.1,,sigma=0.1,43.0,0.008124666449207233
sigma,0.1,,sigma=0.1,43.5,0.005415015761729953
sigma,0.1,,sigma=0.1,44.0,0.002931042316196293
sigma,0.1,,sigma=0.1,44.5,0.0010098797064008699
sigma,0.1,,sigma=0.1,45.0,0.0
sigma,0.1,,sigma=0.1,45.5,0.0
sigma,0.1,,sigma=0.1,46.0,0.0
sigma,0.1,,sigma=0.1,46.5,0.0
sigma,0.1,,sigma=0.1,47.0,0.0
sigma,0.1,,sigma=0.1,47.5,0.0
sigma,0.1,,sigma=0.1,48.0,0.0
sigma,0.1,,sigma=0.1,48.5,0.0
sigma,0.1,,sigma=0.1,49.0,0.0
sigma,0.1,,sigma=0.1,49.5,1.0963445302284176e-07
sigma,0.1,,sigma=0.1,50.0,0.0
glucose_cap,0.5,10.0,glucose_cap=10.0,20.0,0.16413200702179107
glucose_cap,0.5,10.0,glucose_cap=10.0,20.5,0.175301134355095
glucose_cap,0.5,10.0,glucose_cap=10.0,21.0,0.18683063948712053
glucose_cap,0.5,10.0,glucose_cap=10.0,21.5,0.19830375216889884
glucose_cap,0.5,10.0,glucose_cap=10.0,22.0,0.2079840358304518
glucose_cap,0.5,10.0,glucose_cap=10.0,22.5,0.21785592888921215
glucose_cap,0.5,10.0,glucose_cap=10.0,23.0,0.22791601257894084
glucose_cap,0.5,10.0,glucose_cap=10.0,23.5,0.23811327523173675
glucose_cap,0.5,10.0,glucose_cap=10.0,24.0,0.24839413757020723
glucose_cap,0.5,10.0,glucose_cap=10.0,24.5,0.25800215082730066
glucose_cap,0.5,10.0,glucose_cap=10.0,25.0,0.2659507419405781
glucose_cap,0.5,10.0,glucose_cap=10.0,25.5,0.2738147491453373
glucose_cap,0.5,10.0,glucose_cap=10.0,26.0,0.2816608930293625
glucose_cap,0.5,10.0,glucose_cap=10.0,26.5,0.289424422030636
glucose_cap,0.5,10.0,glucose_cap=10.0,27.0,0.29703187155133187
glucose_cap,0.5,10.0,glucose_cap=10.0,27.5,0.30439698393555276
glucose_cap,0.5,10.0,glucose_cap=10.0,28.0,0.3114145155568668
glucose_cap,0.5,10.0,glucose_cap=10.0,28.5,0.31795145699766436
glucose_cap,0.5,10.0,glucose_cap=10.0,29.0,0.3238387247196423
glucose_cap,0.5,10.0,glucose_cap=10.0,29.5,0.32886089645552863
glucose_cap,0.5,10.0,glucose_cap=10.0,30.0,0.3327548883846988
glucose_cap,0.5,10.0,glucose_cap=10.0,30.5,0.3352611479392205
glucose_cap,0.5,10.0,glucose_cap=10.0,31.0,0.3362302045682114
glucose_cap,0.5,10.0,glucose_cap=10.0,31.5,0.3357410811096958
glucose_cap,0.5,10.0,glucose_cap=10.0,32.0,0.3341991506894047
glucose_cap,0.5,10.0,glucose_cap=10.0,32.5,0.3321946805535795
glucose_cap,0.5,10.0,glucose_cap=10.0,33.0,0.3304009933034646
glucose_cap,0.5,10.0,glucose_cap=10.0,33.5,0.32898286798384396
glucose_cap,0.5,10.0,glucose_cap=10.0,34.0,0.32791696949897825
glucose_cap,0.5,10.0,glucose_cap=10.0,34.5,0.3269896036002784
glucose_cap,0.5,10.0,glucose_cap=10.0,35.0,0.3259543283235047
glucose_cap,0.5,10.0,glucose_cap=10.0,35.5,0.32459548684429657
glucose_cap,0.5,10.0,glucose_cap=10.0,36.0,0.3227711669204714
glucose_cap,0.5,10.0,glucose_cap=10.0,36.5,0.3203748594416227
glucose_cap,0.5,10.0,glucose_cap=10.0,37.0,0.31732497870550025
glucose_cap,0.5,10.0,glucose_cap=10.0,37.5,0.3135896388063289
glucose_cap,0.5,10.0,glucose_cap=10.0,38.0,0.30913333070802934
glucose_cap,0.5,10.0,glucose_cap=10.0,38.5,0.30393740044195705
glucose_cap,0.5,10.0,glucose_cap=10.0,39.0,0.2979704811623971
glucose_cap,0.5,10.0,glucose_cap=10.0,39.5,0.2913747471824571
glucose_cap,0.5,10.0,glucose_cap=10.0,40.0,0.2838727604489698
glucose_cap,0.5,10.0,glucose_cap=10.0,40.5,0.27642836840142715
glucose_cap,0.5,10.0,glucose_cap=10.0,41.0,0.267676366124722
glucose_cap,0.5,10.0,glucose_cap=10.0,41.5,0.2570062369430396
glucose_cap,0.5,10.0,glucose_cap=10.0,42.0,0.24359792045924775
glucose_cap,0.5,10.0,glucose_cap=10.0,42.5,0.2260962823732236
glucose_cap,0.5,10.0,glucose_cap=10.0,43.0,0.20299348791832517
glucose_cap,0.5,10.0,glucose_cap=10.0,43.5,0.17360206414756568
glucose_cap,0.5,10.0,glucose_cap=10.0,44.0,0.13916404363692927
glucose_cap,0.5,10.0,glucose_cap=10.0,44.5,0.09902653323856565
glucose_cap,0.5,10.0,glucose_cap=10.0,45.0,0.06071268841811541
glucose_cap,0.5,10.0,glucose_cap=10.0,45.5,0.031996016705284645
glucose_cap,0.5,10.0,glucose_cap=10.0,46.0,0.013976962804717954
glucose_cap,0.5,10.0,glucose_cap=10.0,46.5,0.004814530959846395
glucose_cap,0.5,10.0,glucose_cap=10.0,47.0,0.0012873907701179592
glucose_cap,0.5,10.0,glucose_cap=10.0,47.5,0.00027984289583487756
glucose_cap,0.5,10.0,glucose_cap=10.0,48.0,5.253443911664778e-05
glucose_cap,0.5,10.0,glucose_cap=10.0,48.5,9.636687352258416e-06
glucose_cap,0.5,10.0,glucose_cap=10.0,49.0,1.8371437337012396e-06
glucose_cap,0.5,10.0,glucose_cap=10.0,49.5,1.6495933972311846e-07
glucose_cap,0.5,10.0,glucose_cap=10.0,50.0,0.0
glucose_cap,0.5,4.0,glucose_cap=4.0,20.0,0.12828120535790705
glucose_cap,0.5,4.0,glucose_cap=4.0,20.5,0.13522059177397247
glucose_cap,0.5,4.0,glucose_cap=4.0,21.0,0.14251695812057433
glucose_cap,0.5,4.0,glucose_cap=4.0,21.5,0.15014899258731773
glucose_cap,0.5,4.0,glucose_cap=4.0,22.0,0.15809132570779996
glucose_cap,0.5,4.0,glucose_cap=4.0,22.5,0.1663145703896042
glucose_cap,0.5,4.0,glucose_cap=4.0,23.0,0.1747854117621188
glucose_cap,0.5,4.0,glucose_cap=4.0,23.5,0.18346666873224823
glucose_cap,0.5,4.0,glucose_cap=4.0,24.0,0.19216713522606052
glucose_cap,0.5,4.0,glucose_cap=4.0,24.5,0.20080402075619155
glucose_cap,0.5,4.0,glucose_cap=4.0,25.0,0.20947545403956463
glucose_cap,0.5,4.0,glucose_cap=4.0,25.5,0.21813146074149123
glucose_cap,0.5,4.0,glucose_cap=4.0,26.0,0.22671721770587683
glucose_cap,0.5,4.0,glucose_cap=4.0,26.5,0.2351717332960582
glucose_cap,0.5,4.0,glucose_cap=4.0,27.0,0.2434254049838668
glucose_cap,0.5,4.0,glucose_cap=4.0,27.5,0.25139580969745795
glucose_cap,0.5,4.0,glucose_cap=4.0,28.0,0.25898129174692774
glucose_cap,0.5,4.0,glucose_cap=4.0,28.5,0.2660518682335849
glucose_cap,0.5,4.0,glucose_cap=4.0,29.0,0.2724390857603901
glucose_cap,0.5,4.0,glucose_cap=4.0,29.5,0.2779265676356053
glucose_cap,0.5,4.0,glucose_cap=4.0,30.0,0.2822529366351833
glucose_cap,0.5,4.0,glucose_cap=4.0,30.5,0.2851566344556919
glucose_cap,0.5,4.0,glucose_cap=4.0,31.0,0.286478315845281
glucose_cap,0.5,4.0,glucose_cap=4.0,31.5,0.28630508460313314
glucose_cap,0.5,4.0,glucose_cap=4.0,32.0,0.28503000866037465
glucose_cap,0.5,4.0,glucose_cap=4.0,32.5,0.28328790648107616
glucose_cap,0.5,4.0,glucose_cap=4.0,33.0,0.28176033174476506
glucose_cap,0.5,4.0,glucose_cap=4.0,33.5,0.28064414629339657
glucose_cap,0.5,4.0,glucose_cap=4.0,34.0,0.2799328333020125
glucose_cap,0.5,4.0,glucose_cap=4.0,34.5,0.27941835483310323
glucose_cap,0.5,4.0,glucose_cap=4.0,35.0,0.27885321664956964
glucose_cap,0.5,4.0,glucose_cap=4.0,35.5,0.2780207986794977
glucose_cap,0.5,4.0,glucose_cap=4.0,36.0,0.2767652892323063
glucose_cap,0.5,4.0,glucose_cap=4.0,36.5,0.2749806584316184
glucose_cap,0.5,4.0,glucose_cap=4.0,37.0,0.2725966001175497
glucose_cap,0.5,4.0,glucose_cap=4.0,37.5,0.2695736049284445
glucose_cap,0.5,4.0,glucose_cap=4.0,38.0,0.2658890975966201
glucose_cap,0.5,4.0,glucose_cap=4.0,38.5,0.2615251484721637
glucose_cap,0.5,4.0,glucose_cap=4.0,39.0,0.25645539942328843
glucose_cap,0.5,4.0,glucose_cap=4.0,39.5,0.2506992215111828
glucose_cap,0.5,4.0,glucose_cap=4.0,40.0,0.2441164334522469
glucose_cap,0.5,4.0,glucose_cap=4.0,40.5,0.2377543855100214
glucose_cap,0.5,4.0,glucose_cap=4.0,41.0,0.2302054625666192
glucose_cap,0.5,4.0,glucose_cap=4.0,41.5,0.22092354484875928
glucose_cap,0.5,4.0,glucose_cap=4.0,42.0,0.2091222933809504
glucose_cap,0.5,4.0,glucose_cap=4.0,42.5,0.19350608145158696
glucose_cap,0.5,4.0,glucose_cap=4.0,43.0,0.17248937341120663
glucose_cap,0.5,4.0,glucose_cap=4.0,43.5,0.14505524517638907
glucose_cap,0.5,4.0,glucose_cap=4.0,44.0,0.11193211687249191
glucose_cap,0.5,4.0,glucose_cap=4.0,44.5,0.07529534074834333
glucose_cap,0.5,4.0,glucose_cap=4.0,45.0,0.04429306527290489
glucose_cap,0.5,4.0,glucose_cap=4.0,45.5,0.02256005822973298
glucose_cap,0.5,4.0,glucose_cap=4.0,46.0,0.009633854962537899
glucose_cap,0.5,4.0,glucose_cap=4.0,46.5,0.0032025667906322246
glucose_cap,0.5,4.0,glucose_cap=4.0,47.0,0.0007587120356672974
glucose_cap,0.5,4.0,glucose_cap=4.0,47.5,9.672171041360664e-05
glucose_cap,0.5,4.0,glucose_cap=4.0,48.0,0.0
glucose_cap,0.5,4.0,glucose_cap=4.0,48.5,0.0
glucose_cap,0.5,4.0,glucose_cap=4.0,49.0,0.0
glucose_cap,0.5,4.0,glucose_cap=4.0,49.5,0.0
glucose_cap,0.5,4.0,glucose_cap=4.0,50.0,0.0
glucose_cap,0.5,2.0,glucose_cap=2.0,20.0,0.10516187922641665
glucose_cap,0.5,2.0,glucose_cap=2.0,20.5,0.11239725737114728
glucose_cap,0.5,2.0,glucose_cap=2.0,21.0,0.11993753047684835
