reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,state,model
arm_r_0471,arm_r_0471 r_0471No1 r_0471No2,glutamate dehydrogenase (NADP) (arm),True,False,False,False,redox,-1.0,1.3120061560969567,-1.3120061560969567,s_0180 + s_0419 + s_0794 + s_1212 --> pmet_r_0471 ; pmet_r_0471 + 9.69555943377933e-09 prot_P39708 --> s_0803 + s_0991 + s_1207 ; pmet_r_0471 + 9.69555943377933e-09 prot_P07262 --> s_0803 + s_0991 + s_1207,batch_pristine,ecYeast7_v1.0_batch.mat
r_0163No1,r_0163No1,alcohol dehydrogenase (ethanol to acetaldehyde) (No1),True,False,False,False,redox,1.0,1.089245046143329,1.089245046143329,3.08641975308642e-07 prot_P00331 + s_0680 + s_1198 --> s_0359 + s_0794 + s_1203,batch_pristine,ecYeast7_v1.0_batch.mat
r_0886No1,r_0886No1,phosphofructokinase (No1),True,False,False,False,carrier,1.0,0.7771411296378995,0.7771411296378995,4.3267566632052614e-07 prot_P16861 + 4.3267566632052614e-07 prot_P16862 + s_0434 + s_0557 --> s_0394 + s_0555 + s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
NGAM,NGAM,NGAM,False,False,False,False,carrier,1.0,0.7,0.7,s_0434 + s_0803 --> s_0394 + s_0794 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0962,arm_r_0962 r_0962No1 r_0962No2,pyruvate kinase (arm),True,False,False,False,carrier,-1.0,0.6701214933018373,-0.6701214933018373,s_0394 + s_0794 + s_1360 --> pmet_r_0962 ; pmet_r_0962 + 1.1973180076628352e-06 prot_P00549 --> s_0434 + s_1399 ; pmet_r_0962 + 1.1973180076628352e-06 prot_P52489 --> s_0434 + s_1399,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0958,arm_r_0958 r_0958No1 r_0958No2,pyruvate carboxylase (arm),True,False,False,False,carrier,2.0,0.274607172116482,0.549214344232964,s_0434 + s_0445 + s_1399 --> pmet_r_0958 ; pmet_r_0958 + 4.6296296296296296e-06 prot_P32327 --> s_0394 + s_0794 + s_1271 + s_1322 ; pmet_r_0958 + 4.6296296296296296e-06 prot_P11154 --> s_0394 + s_0794 + s_1271 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
r_2034,r_2034,pyruvate transport,False,False,False,True,carrier,-1.0,0.3257342376087873,-0.3257342376087873,s_0794 + s_1399 --> s_0799 + s_1401,batch_pristine,ecYeast7_v1.0_batch.mat
r_1667,r_1667,bicarbonate formation,False,False,False,False,carrier,1.0,0.3202747545394732,0.3202747545394732,s_0456 + s_0803 --> s_0445 + s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0510,arm_r_0510 r_0510No1 r_0510No2 r_0510No3 r_0510No4,glycogen (starch) synthase (arm),True,False,False,False,carrier,4.0,0.037998925427500996,0.15199570171000398,s_0803 + s_1543 --> pmet_r_0510 ; pmet_r_0510 + 1.4726505374890463e-06 prot_P23337 + 1.4726505374890463e-06 prot_P47011 --> s_0773 + s_0794 + s_1538 ; pmet_r_0510 + 1.2258479187817044e-06 prot_P23337 + 1.2258479187817044e-06 prot_P36143 --> s_0773 + s_0794 + s_1538 ; pmet_r_0510 + 1.4777470020118295,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0005,arm_r_0005 r_0005No1 r_0005No2,"1,3-beta-glucan synthase (arm)",True,False,False,False,carrier,2.0,0.062337292128509844,0.12467458425701969,s_1543 --> pmet_r_0005 ; pmet_r_0005 + 1.920231730492865e-05 prot_P40989 --> s_0001 + s_0794 + s_1538 ; pmet_r_0005 + 1.9393479028008143e-05 prot_P38631 --> s_0001 + s_0794 + s_1538,batch_pristine,ecYeast7_v1.0_batch.mat
r_0459No1,r_0459No1,galactose-1-phosphate uridylyltransferase (No1),True,False,False,False,carrier,-1.0,0.12287907090509341,-0.12287907090509341,7.71604938271605e-06 prot_P08431 + s_0410 + s_0794 + s_1559 --> s_0633 + s_1541,batch_pristine,ecYeast7_v1.0_batch.mat
r_0714_REVNo1,r_0714_REVNo1,"malate dehydrogenase, cytoplasmic (reversible) (No1)",True,False,False,False,redox,-1.0,0.12094338320516479,-0.12094338320516479,2.2843567251461987e-09 prot_P22133 + s_0794 + s_1203 + s_1271 --> s_0066 + s_1198,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0250,arm_r_0250 r_0250No1 r_0250No2,carbamoyl-phosphate synthase (glutamine-hydrolysing) (arm),True,False,False,False,carrier,4.0,0.030195964246519793,0.12078385698607917,2.0 s_0434 + s_0445 + s_0803 + s_0999 --> pmet_r_0250 ; pmet_r_0250 + 1.0442773600668338e-07 prot_P03965 + 1.0442773600668338e-07 prot_P07258 --> 2.0 s_0394 + s_0455 + 2.0 s_0794 + s_0991 + s_1322 ; pmet_r_0250 + 6.661337596589396e-07 prot_P07259 --> 2.0 s_0394 + s_0455 + 2.0 s_0794 + s_0991 + s_132,batch_pristine,ecYeast7_v1.0_batch.mat
arm_r_0916,arm_r_0916 r_0916No1 r_0916No2 r_0916No3,phosphoribosylpyrophosphate synthetase (arm),True,False,False,False,carrier,3.0,0.03180586954917143,0.0954176086475143,s_0434 + s_1408 --> pmet_r_0916 ; pmet_r_0916 + 4.577748480187504e-06 prot_P38063 + 4.577748480187504e-06 prot_Q12265 --> s_0423 + s_0794 + s_1386 ; pmet_r_0916 + 4.577748480187504e-06 prot_P38620 + 4.577748480187504e-06 prot_Q12265 --> s_0423 + s_0794 + s_1386 ; pmet_r_0916 + 4.577748480187504e-06 ,batch_pristine,ecYeast7_v1.0_batch.mat
r_0476No1,r_0476No1,glutamine synthetase (No1),True,False,False,False,carrier,1.0,0.09075288907964756,0.09075288907964756,1.690900380374128e-06 prot_P32288 + s_0419 + s_0434 + s_0991 --> s_0394 + s_0794 + s_0999 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
r_0722No1,r_0722No1,mannose-1-phosphate guanylyltransferase (No1),True,False,False,False,carrier,-1.0,0.05924977614731811,-0.05924977614731811,1.4179570075435313e-06 prot_P41940 + s_0573 + s_0785 + s_0794 --> s_0633 + s_0743,batch_pristine,ecYeast7_v1.0_batch.mat
r_1825_REV,r_1825_REV,H+ diffusion (reversible),False,False,False,True,pure_ion_transport,1.0,0.05783763283402882,0.05783763283402882,s_0795 --> s_0794,batch_pristine,ecYeast7_v1.0_batch.mat
r_0219No1,r_0219No1,aspartate-semialdehyde dehydrogenase (No1),True,False,False,False,redox,-1.0,0.05266626681626502,-0.05266626681626502,8.417508417508418e-07 prot_P13663 + s_0295 + s_0794 + s_1212 --> s_0978 + s_1207 + s_1322,batch_pristine,ecYeast7_v1.0_batch.mat
r_0546No1,r_0546No1,homoserine dehydrogenase (NADH) (No1),True,False,False,False,redox,-1.0,0.05266626681626502,-0.05266626681626502,1.2301938785552603e-05 prot_P31116 + s_0794 + s_0978 + s_1203 --> s_1014 + s_1198,batch_pristine,ecYeast7_v1.0_batch.mat
