rxn_id,mw_kDa,kcat_s,source,group
R07497__cyto,24.51,3.5148,dlkcat,Biosynthesis of antibiotics
R01663__cyto,32.0,133.5051,dlkcat,Pyrimidine metabolism
R04941__cyto,44.88,0.493,dlkcat,Selenocompound metabolism
R11099__pero,116.58,4.9101,dlkcat,Spontaneous
R05046__cyto,31.66,1.9569,dlkcat,Folate biosynthesis
R00582__cyto,34.25,306.5076,dlkcat,Biosynthesis of antibiotics
R04536__cyto,152.045,13.7,default_13.7,Fatty acid biosynthesis
R11005__mito,60.71,13.7,default_13.7,
R00405__mito,48.28,0.2707,dlkcat,Biosynthesis of antibiotics
R00770__cyto,90.826667,40.3036,dlkcat,
R08281__mito,47.4375,33.5215,dlkcat,Drug metabolism - cytochrome P450
R02731__cyto,57.286,4.0869,dlkcat,Fructose and mannose metabolism
R04946__cyto,66.69,13.4669,dlkcat,Selenocompound metabolism
R00014__mito,52.884286,11.4864,dlkcat,Pyruvate metabolism
R00177__cyto,41.92,13.8343,dlkcat,Cysteine and methionine metabolism
R11220__cyto,49.694167,13.7,default_13.7,
R00209__mito,46.35,131.8522,dlkcat,Biosynthesis of antibiotics
R01279__cyto,79.676667,16.1747,dlkcat,Fatty acid metabolism
R04962__mito,114.783333,13.7,default_13.7,Fatty acid biosynthesis
R02326__cyto,16.88,1.0929,dlkcat,Pyrimidine metabolism
R00904__cyto,55.16,22.6334,dlkcat,beta-Alanine metabolism
R11005__cyto,60.71,13.7,default_13.7,
R00515__cyto,70.08,4.1887,dlkcat,Pyrimidine metabolism
R03450__mito,58.687143,13.7,default_13.7,
R00341__cyto,61.31,1.825,dlkcat,Biosynthesis of antibiotics
R08281__cyto,47.4375,33.5215,dlkcat,Drug metabolism - cytochrome P450
R00925__cyto,71.985,14.2723,dlkcat,
R03970__cyto,63.95,20.2413,dlkcat,Cyanoamino acid metabolism
R00086__cyto,86.975,13.7,default_13.7,Purine metabolism
R03259__cyto,63.836667,13.7,default_13.7,
R00236__cyto,71.985,79.239,dlkcat,Pyruvate metabolism
R04962__cyto,114.783333,13.7,default_13.7,Fatty acid biosynthesis
R02731__mito,57.286,4.0869,dlkcat,Fructose and mannose metabolism
R11220__mito,49.694167,13.7,default_13.7,
R08964__cyto,96.64,15.5952,dlkcat,
R01274__cyto,28.58,2.8753,dlkcat,Fatty acid elongation
R09510__cyto,69.284,56.459,dlkcat,
R02283__cyto,281.95,3.9765,dlkcat,2-Oxocarboxylic acid metabolism
R04557__cyto,40.94,50.106,dlkcat,
R00751__cyto,41.855,0.3185,dlkcat,Biosynthesis of antibiotics
R00513__cyto,59.45,12.2557,dlkcat,Pyrimidine metabolism
R03313__cyto,46.97,12.6506,dlkcat,Biosynthesis of antibiotics
R02026__cyto,56.84,10.7464,dlkcat,Cysteine and methionine metabolism
R04355__pero,124.995,13.7,default_13.7,Fatty acid biosynthesis
R04922__cyto,32.89,96.5701,dlkcat,Phosphonate and phosphinate metabolism
R04037__cyto,91.64,1.1696,dlkcat,Histidine metabolism
R04779__cyto,105.13,11.8962,dlkcat,Biosynthesis of antibiotics
R04726__cyto,124.995,13.7,default_13.7,Fatty acid biosynthesis
R02109__cyto,170.75,13.7,default_13.7,
R02340__cyto,75.35,2.5271,dlkcat,Benzoxazinoid biosynthesis
R03066__cyto,82.25,10.0214,dlkcat,Folate biosynthesis
R01574__cyto,73.32,78.383,dlkcat,
R03777__pero,79.676667,17.9284,dlkcat,Fatty acid metabolism
R10951__cyto,266.64,13.7,default_13.7,
R00287__cyto,70.08,3.883,dlkcat,Pyrimidine metabolism
R04301__cyto,29.59,1.4304,dlkcat,Betalain biosynthesis
R02106__cyto,34.1,3.2498,dlkcat,Microbial metabolism in diverse environments
R01880__cyto,60.835,32.5352,dlkcat,Pyrimidine metabolism
R01708__cyto,45.33,37.3828,dlkcat,Microbial metabolism in diverse environments
R01317__cyto,103.08,13.7,default_13.7,Arachidonic acid metabolism
R01818__cyto,28.56,5.3437,dlkcat,Biosynthesis of antibiotics
R02061__cyto,38.92,0.2891,dlkcat,Biosynthesis of antibiotics
R02687__cyto,77.21,13.7,default_13.7,Glycerolipid metabolism
R04206__cyto,65.37,210.606,dlkcat,
R07888__cyto,79.676667,15.0938,dlkcat,alpha-Linolenic acid metabolism
R9737__mito,48.4,13.7,default_13.7,Ubiquinone and other terpenoid-quinone biosynthesis
R12329__cyto,45.5975,13.7,default_13.7,Fatty acid biosynthesis
R00257__cyto,176.78,6.6443,dlkcat,Nicotinate and nicotinamide metabolism
R04426__cyto,39.53,3.8476,dlkcat,2-Oxocarboxylic acid metabolism
R03013__cyto,33.78,3.8832,dlkcat,Histidine metabolism
