strain,species,config,T_C,mu,qO2
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),42.0,0.03847702872921876,3.5252997158551715
cduobushaemulonii_draft,C. duobushaemulonii,repaired (B5),44.0,0.032893100845691095,3.4994545914016815
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,22.0,0.016705181772066226,1.2640092852998555
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,24.0,0.02678436525988462,1.4863523194030221
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,26.0,0.03771538577257537,1.8195131125571096
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,28.0,0.04742679941616069,2.197567735559305
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,30.0,0.05487126910487793,2.5052022782555357
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,32.0,0.059630033537575275,2.6343963177221115
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,34.0,0.0618274136310451,2.781214033662274
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,36.0,0.06208502503306634,2.8696568245406247
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,38.0,0.060486032056821466,2.8911637887687736
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,40.0,0.05714723430258646,2.7310927464163153
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,42.0,0.05257208186392545,2.717248152743201
cduobushaemulonii_draft,C. duobushaemulonii,repaired + complex III,44.0,0.04703405810102891,2.5437986087913402
cparapsilosis_iDC1003,C. parapsilosis,before (B3),22.0,0.019558096318991868,3.8679736406393235
cparapsilosis_iDC1003,C. parapsilosis,before (B3),24.0,0.031621970717158845,4.39813315005984
cparapsilosis_iDC1003,C. parapsilosis,before (B3),26.0,0.0449886847584092,5.222900117375192
cparapsilosis_iDC1003,C. parapsilosis,before (B3),28.0,0.057109938347548066,6.1758877841876965
cparapsilosis_iDC1003,C. parapsilosis,before (B3),30.0,0.06664646140641556,6.95946057337136
cparapsilosis_iDC1003,C. parapsilosis,before (B3),32.0,0.07510605302165489,4.338980592756849
cparapsilosis_iDC1003,C. parapsilosis,before (B3),34.0,0.08206446174028936,4.774237379424347
cparapsilosis_iDC1003,C. parapsilosis,before (B3),36.0,0.08556286643100887,4.941655175187172
cparapsilosis_iDC1003,C. parapsilosis,before (B3),38.0,0.08570176864579265,5.0003117561834145
cparapsilosis_iDC1003,C. parapsilosis,before (B3),40.0,0.08301797244476566,4.949495230274469
cparapsilosis_iDC1003,C. parapsilosis,before (B3),42.0,0.07779749475609773,4.734599809336256
cparapsilosis_iDC1003,C. parapsilosis,before (B3),44.0,0.07071634168374562,4.590485792123461
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),22.0,0.019558096318994116,3.8679736406394043
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),24.0,0.0316219707171582,4.398133150059814
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),26.0,0.04498868475840894,5.222900117375186
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),28.0,0.05710993834754942,6.175887784187733
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),30.0,0.06664646140641563,6.9594605733713575
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),32.0,0.0751060530216534,4.338980592756817
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),34.0,0.0820644617402886,4.774237379424333
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),36.0,0.08556286643100984,4.941655175187186
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),38.0,0.08570176864579221,5.000311756183406
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),40.0,0.08301797244476597,4.949495230274469
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),42.0,0.07779749475609801,4.734599809336256
cparapsilosis_iDC1003,C. parapsilosis,repaired (B5),44.0,0.07071634168374545,4.590485792123459
