line,step_from,step_to,T_C,status_from,status_to,growth_from,growth_to,o2_from,o2_to,alive_from,alive_to,growth_term_from,growth_term_to,d_growth_term,resp_term_from,resp_term_to,d_resp_term
random1,0.9500000000000001,1.0,40.0,optimal,optimal,1.6040391899770354,1.600626441413196,36.15836687354284,36.029827862236466,True,True,-2.360726775228013,-2.395428382616774,-0.03470160738876116,0.04401890905861179,0.0493144797055107,0.005295570646898909
random1,0.9500000000000001,1.0,43.0,optimal,optimal,1.575642731377033,1.5730271467045838,36.10629075408903,36.02102614085414,True,True,0.7719566085650345,0.7683639095588325,-0.0035926990062019604,-0.11552147144640224,-0.1322753983367706,-0.016753926890368365
random1,0.9500000000000001,1.0,45.0,optimal,optimal,1.3652306194112938,1.3629140384769538,45.475029861442216,45.41919795914527,True,True,-1.0201288143483902,-1.0037551494808648,0.01637366486752545,-0.4991341829749095,-0.5131800575566892,-0.014045874581779638
random1,0.9500000000000001,1.0,47.0,optimal,optimal,0.2182784346045679,0.21173829950473214,17.425286397949048,17.17591027153615,True,True,-0.20060528480796092,-0.2588203482481729,-0.05821506344021199,-2.7233108413666667,-2.8848716315660567,-0.16156079019939007
random1,0.9500000000000001,1.0,50.0,optimal,optimal,0.0009347210153263796,0.0009299074252706597,7.868243780011273,8.108040883858422,True,True,0.4218502184130566,0.42082672758616113,-0.0010234908268954568,-0.9865358665301749,-1.1100609244564497,-0.12352505792627477
PC2,-1.0,-0.9500000000000001,15.0,infeasible,infeasible,0.0,0.0,,,False,False,0.8177174153283523,0.8205430674212759,0.002825652092923625,0.0,0.0,0.0
PC2,-1.0,-0.9500000000000001,20.0,optimal,optimal,0.07194823543301815,0.07391140265556634,0.6702796390164616,1.2094623982945099,True,True,0.19045937140057279,0.20505983503776437,0.014600463637191585,-50.71590727683133,-28.094849762099095,22.621057514732236
PC2,-1.0,-0.9500000000000001,25.0,optimal,optimal,0.45267287120452016,0.4584611386592225,14.688460192375855,14.710326472267516,True,True,0.596230922353292,0.6345686793701637,0.0383377570168717,0.09832675933735818,0.08935656587936708,-0.008970193457991105
PC2,-1.0,-0.9500000000000001,27.0,optimal,optimal,0.7509478800191597,0.7572537940944055,16.31881755312444,16.506998671347183,True,True,1.0027720365405273,0.9987490397614218,-0.004022996779105448,0.42501661870848106,0.39826870889264854,-0.026747909815832527
PC2,-1.0,-0.9500000000000001,30.0,optimal,optimal,1.1318147435813446,1.136264802923272,22.109622324981785,22.180559825142534,True,True,0.7886693641776518,0.7780887556439751,-0.010580608533676705,0.3815219706183846,0.38199559744681194,0.0004736268284273315
PC2,-1.0,-0.9500000000000001,35.0,optimal,optimal,1.5152857342095265,1.5162024066624675,29.979386073597365,30.03890922984792,True,True,0.7563027155713021,0.7605110297299461,0.004208314158643978,-0.16787158898932394,-0.165331425001554,0.0025401639877699334
PC2,-1.0,-0.9500000000000001,37.0,optimal,optimal,1.586740601606702,1.5875515267422742,33.75514813044721,33.80531848691364,True,True,-0.2060142529350817,-0.20258399954105322,0.0034302533940284707,0.24450804139412827,0.24978881688415502,0.005280775490026757
PC2,-1.0,-0.9500000000000001,40.0,optimal,optimal,1.6450012109447072,1.6458398938057446,38.198966465477,38.25262648783661,True,True,-1.7791407107332322,-1.7803080875251518,-0.0011673767919195832,-0.036468409445339814,-0.039654575391571606,-0.003186165946231792
PC2,-1.0,-0.9500000000000001,43.0,optimal,optimal,1.6062613851887988,1.6072085463278798,36.571039881344305,36.633029047162694,True,True,0.7576822157369232,0.7602186123721975,0.002536396635274274,-0.06282638763902337,-0.05106057197592828,0.011765815663095092
PC2,-1.0,-0.9500000000000001,45.0,optimal,optimal,1.4587444959390843,1.4571682301906876,29.881572221829522,29.823101511996445,True,True,-1.646374869223423,-1.6388211629187057,0.0075537063047173,-4.466395201430232,-4.486654357086879,-0.020259155656646932
PC2,-1.0,-0.9500000000000001,47.0,optimal,optimal,0.7269489534484116,0.7076603509717703,24.865663684774226,24.717389322999107,True,True,-0.4704422020070851,-0.28781453077129915,0.18262767123578594,-0.16141855260700888,-0.18287799700068735,-0.021459444393678473
PC2,-1.0,-0.9500000000000001,50.0,optimal,optimal,0.0011689429863389223,0.0011624793372292043,6.318637404731854,6.3419717337838435,True,True,0.4138132195129879,0.41523443626738255,0.0014212167543946608,-0.27167780567671107,-0.28211446216841657,-0.010436656491705498
