line,step_sd,logL
axis:kcat_scale,-1.0,-32.86852797481709
axis:kcat_scale,-0.9500000000000001,-29.698786950763168
axis:kcat_scale,-0.9,-26.675662294816362
axis:kcat_scale,-0.8500000000000001,-23.703517631467424
axis:kcat_scale,-0.8,-21.106102598004814
axis:kcat_scale,-0.75,-18.64144310376928
axis:kcat_scale,-0.7000000000000001,-16.28600567925369
axis:kcat_scale,-0.65,-14.097019760234344
axis:kcat_scale,-0.6000000000000001,-12.012610895243759
axis:kcat_scale,-0.55,-9.971018260654951
axis:kcat_scale,-0.5,-8.070177484262727
axis:kcat_scale,-0.45,-6.273243831718895
axis:kcat_scale,-0.4,-4.636730418188858
axis:kcat_scale,-0.35000000000000003,-3.1534796717218287
axis:kcat_scale,-0.30000000000000004,-1.873278110830662
axis:kcat_scale,-0.25,-0.8022716435639627
axis:kcat_scale,-0.2,0.1199602106911275
axis:kcat_scale,-0.15000000000000002,0.98793924636181
axis:kcat_scale,-0.1,1.6478935328148032
axis:kcat_scale,-0.05,2.098010838952326
axis:kcat_scale,0.0,2.3643166223999525
axis:kcat_scale,0.05,2.514244467004255
axis:kcat_scale,0.1,2.4697664178408285
axis:kcat_scale,0.15000000000000002,2.2059942816581413
axis:kcat_scale,0.2,1.9788189685365707
axis:kcat_scale,0.25,-10.658186421237948
axis:kcat_scale,0.30000000000000004,-10.544301444391328
axis:kcat_scale,0.35000000000000003,-10.652074752318445
axis:kcat_scale,0.4,-10.92495303247209
axis:kcat_scale,0.45,-11.443439479289257
axis:kcat_scale,0.5,-12.018822357592244
axis:kcat_scale,0.55,-13.299103212002565
axis:kcat_scale,0.6000000000000001,-14.792966006590719
axis:kcat_scale,0.65,-16.262669241764097
axis:kcat_scale,0.7000000000000001,-17.694204346394002
axis:kcat_scale,0.75,-19.170859646696996
axis:kcat_scale,0.8,-20.755262987728976
axis:kcat_scale,0.8500000000000001,-22.361395042089626
axis:kcat_scale,0.9,-23.47378304668582
axis:kcat_scale,0.9500000000000001,-24.255024320445038
axis:kcat_scale,1.0,-25.330795098982982
axis:kappa_scale,-1.0,2.3643166223999525
axis:kappa_scale,-0.9500000000000001,2.3643166223999525
axis:kappa_scale,-0.9,2.3643166223999525
axis:kappa_scale,-0.8500000000000001,2.3643166223999525
axis:kappa_scale,-0.8,2.3643166223999525
axis:kappa_scale,-0.75,2.3643166223999525
axis:kappa_scale,-0.7000000000000001,2.3643166223999525
axis:kappa_scale,-0.65,2.3643166223999525
axis:kappa_scale,-0.6000000000000001,2.3643166223999525
axis:kappa_scale,-0.55,2.3643166223999525
axis:kappa_scale,-0.5,2.3643166223999525
axis:kappa_scale,-0.45,2.3643166223999525
axis:kappa_scale,-0.4,2.3643166223999525
axis:kappa_scale,-0.35000000000000003,2.3643166223999525
