view,walker,acceptance,frozen_runs_ge50,longest_constant_run
128w (P7) 250-1500,53,0.18094475580464373,0,48
128w (P7) 250-1500,54,0.20656525220176142,0,28
128w (P7) 250-1500,55,0.17614091273018415,0,26
128w (P7) 250-1500,56,0.177742193755004,0,42
128w (P7) 250-1500,57,0.07766212970376302,3,85
128w (P7) 250-1500,58,0.20416333066453163,0,33
128w (P7) 250-1500,59,0.14411529223378702,0,41
128w (P7) 250-1500,60,0.1921537229783827,0,35
128w (P7) 250-1500,61,0.1545236188951161,0,45
128w (P7) 250-1500,62,0.21937550040032025,0,43
128w (P7) 250-1500,63,0.20096076861489193,0,31
128w (P7) 250-1500,64,0.16493194555644516,0,48
128w (P7) 250-1500,65,0.1433146517213771,2,89
128w (P7) 250-1500,66,0.1753402722177742,1,57
128w (P7) 250-1500,67,0.14731785428342675,2,71
128w (P7) 250-1500,68,0.1545236188951161,0,46
128w (P7) 250-1500,69,0.13690952762209768,1,58
128w (P7) 250-1500,70,0.20896717373899118,0,22
128w (P7) 250-1500,71,0.10488390712570056,2,56
128w (P7) 250-1500,72,0.1977582065652522,0,33
128w (P7) 250-1500,73,0.20256204963971178,0,33
128w (P7) 250-1500,74,0.20576461168935148,0,43
128w (P7) 250-1500,75,0.10248198558847077,1,73
128w (P7) 250-1500,76,0.10808646917534027,0,41
128w (P7) 250-1500,77,0.07045636509207366,2,56
128w (P7) 250-1500,78,0.16413130504403523,1,72
128w (P7) 250-1500,79,0.13370696557245795,1,58
128w (P7) 250-1500,80,0.14731785428342675,2,61
128w (P7) 250-1500,81,0.15932746196957567,0,28
128w (P7) 250-1500,82,0.15612489991993594,0,39
128w (P7) 250-1500,83,0.1689351481184948,0,34
128w (P7) 250-1500,84,0.2145716573258607,0,38
128w (P7) 250-1500,85,0.2353883106485188,0,24
128w (P7) 250-1500,86,0.20256204963971178,0,33
128w (P7) 250-1500,87,0.04083266613290633,7,160
128w (P7) 250-1500,88,0.17373899119295436,0,40
128w (P7) 250-1500,89,0.15932746196957567,0,49
128w (P7) 250-1500,90,0.1745396317053643,2,136
128w (P7) 250-1500,91,0.1921537229783827,0,49
128w (P7) 250-1500,92,0.1200960768614892,1,54
128w (P7) 250-1500,93,0.2033626901521217,0,31
128w (P7) 250-1500,94,0.14491593274619696,0,38
128w (P7) 250-1500,95,0.13690952762209768,1,52
128w (P7) 250-1500,96,0.23058446757405926,0,24
128w (P7) 250-1500,97,0.18574859887910328,0,26
128w (P7) 250-1500,98,0.18094475580464373,0,32
128w (P7) 250-1500,99,0.088871096877502,1,75
128w (P7) 250-1500,100,0.1377101681345076,1,87
128w (P7) 250-1500,101,0.22818254603682947,0,31
128w (P7) 250-1500,102,0.1801441152922338,0,33
128w (P7) 250-1500,103,0.13610888710968774,1,62
128w (P7) 250-1500,104,0.1633306645316253,2,62
128w (P7) 250-1500,105,0.06485188150520416,4,62
128w (P7) 250-1500,106,0.06244995996797438,5,102
128w (P7) 250-1500,107,0.1633306645316253,0,46
128w (P7) 250-1500,108,0.21136909527622097,0,38
128w (P7) 250-1500,109,0.20816653322658127,0,26
128w (P7) 250-1500,110,0.22738190552441953,0,28
128w (P7) 250-1500,111,0.20976781425140112,0,26
128w (P7) 250-1500,112,0.15052041633306645,0,32
128w (P7) 250-1500,113,0.15612489991993594,0,49
128w (P7) 250-1500,114,0.18254603682946358,1,59
128w (P7) 250-1500,115,0.15612489991993594,0,42
128w (P7) 250-1500,116,0.17614091273018415,0,39
128w (P7) 250-1500,117,0.1257005604483587,0,49
128w (P7) 250-1500,118,0.17133706965572457,0,39
128w (P7) 250-1500,119,0.21857485988791034,0,28
128w (P7) 250-1500,120,0.11609287429943956,1,65
128w (P7) 250-1500,121,0.18414731785428343,0,32
128w (P7) 250-1500,122,0.20496397117694154,1,79
128w (P7) 250-1500,123,0.16012810248198558,0,39
128w (P7) 250-1500,124,0.11529223378702963,1,59
128w (P7) 250-1500,125,0.08566853482786228,3,64
128w (P7) 250-1500,126,0.17614091273018415,0,49
128w (P7) 250-1500,127,0.13851080864691753,0,41
40w (P4+P6) 1500-2500,0,0.24024024024024024,0,26
40w (P4+P6) 1500-2500,1,0.15015015015015015,0,34
40w (P4+P6) 1500-2500,2,0.07607607607607608,2,69
40w (P4+P6) 1500-2500,3,0.15115115115115116,0,38
40w (P4+P6) 1500-2500,4,0.12112112112112113,0,46
40w (P4+P6) 1500-2500,5,0.2082082082082082,0,30
40w (P4+P6) 1500-2500,6,0.16916916916916916,0,27
40w (P4+P6) 1500-2500,7,0.17017017017017017,1,53
40w (P4+P6) 1500-2500,8,0.15015015015015015,0,39
40w (P4+P6) 1500-2500,9,0.2092092092092092,0,22
40w (P4+P6) 1500-2500,10,0.25825825825825827,0,20
40w (P4+P6) 1500-2500,11,0.21021021021021022,0,27
40w (P4+P6) 1500-2500,12,0.2072072072072072,0,19
40w (P4+P6) 1500-2500,13,0.12412412412412413,0,37
40w (P4+P6) 1500-2500,14,0.21121121121121122,0,28
40w (P4+P6) 1500-2500,15,0.17617617617617617,1,61
40w (P4+P6) 1500-2500,16,0.21621621621621623,0,35
40w (P4+P6) 1500-2500,17,0.1991991991991992,0,23
40w (P4+P6) 1500-2500,18,0.1981981981981982,1,68
40w (P4+P6) 1500-2500,19,0.15615615615615616,0,40
40w (P4+P6) 1500-2500,20,0.2072072072072072,0,36
40w (P4+P6) 1500-2500,21,0.11211211211211211,1,56
40w (P4+P6) 1500-2500,22,0.1961961961961962,0,47
40w (P4+P6) 1500-2500,23,0.21621621621621623,0,28
40w (P4+P6) 1500-2500,24,0.08608608608608609,2,51
40w (P4+P6) 1500-2500,25,0.15815815815815815,0,41
40w (P4+P6) 1500-2500,26,0.07507507507507508,1,62
40w (P4+P6) 1500-2500,27,0.056056056056056056,3,98
40w (P4+P6) 1500-2500,28,0.16316316316316315,0,30
40w (P4+P6) 1500-2500,29,0.1891891891891892,0,28
40w (P4+P6) 1500-2500,30,0.0940940940940941,2,78
40w (P4+P6) 1500-2500,31,0.1841841841841842,0,28
40w (P4+P6) 1500-2500,32,0.2082082082082082,0,21
40w (P4+P6) 1500-2500,33,0.0990990990990991,1,88
40w (P4+P6) 1500-2500,34,0.0990990990990991,0,41
40w (P4+P6) 1500-2500,35,0.16016016016016016,0,37
40w (P4+P6) 1500-2500,36,0.15615615615615616,0,30
40w (P4+P6) 1500-2500,37,0.16316316316316315,0,41
40w (P4+P6) 1500-2500,38,0.17317317317317318,0,31
40w (P4+P6) 1500-2500,39,0.2172172172172172,0,30
