rung,experiment,strain,quantity,before,after,abs_change,rel_change
B1,transfer_candida_B1_unfolding,chaemulonii_draft,pool_binding_ratio,5.695592759070935,5.695592759070911,-2.4868995751603507e-14,4.366357779354319e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_all_caps_free_model,2.044991485091813,2.044991485091808,-4.884981308350689e-15,2.388753862283867e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,all_caps_ratio,5.695592759070935,5.695592759070911,-2.4868995751603507e-14,4.366357779354319e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,fit_r2,-2.089061033033758,-2.089061033033707,5.10702591327572e-14,2.444651368495079e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,descr_rmax,0.6897776735795825,0.6897776735795708,-1.176836406102666e-14,1.706109738222615e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,descr_CTmin_C,20.578748027194997,20.578748027194987,-1.0658141036401503e-14,5.179197987320062e-16
B1,transfer_candida_B1_unfolding,chaemulonii_draft,descr_Ea_eV,1.326748932354156,1.3267489323541557,-2.220446049250313e-16,1.67359927345892e-16
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_22C,0.0538338854343746,0.053833885434374,-5.967448757360216e-16,1.1084930447078257e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_24C,0.0962057764913403,0.0962057764913393,-9.992007221626409e-16,1.0386078243987576e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_26C,0.161141268714394,0.1611412687143928,-1.1934897514720433e-15,7.406481039859372e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_28C,0.2504245219222134,0.2504245219222107,-2.6645352591003757e-15,1.0640073258991909e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_30C,0.3581291170118761,0.3581291170118714,-4.718447854656915e-15,1.3175270120525957e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_32C,0.4698426526034625,0.4698426526034541,-8.382183835919932e-15,1.7840406334914686e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_34C,0.5679112297322297,0.5679112297322236,-6.106226635438361e-15,1.0752079402123195e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_36C,0.6421330469446173,0.6421330469446069,-1.0325074129013956e-14,1.60793377293732e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_38C,0.6820228841968717,0.6820228841968632,-8.548717289613705e-15,1.2534355499933702e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_40C,0.6885384201265197,0.6885384201265106,-9.103828801926284e-15,1.3221961964378757e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_42C,0.6672887435418963,0.6672887435418903,-5.995204332975845e-15,8.984422996788393e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,mu_44C,0.6256138116056842,0.6256138116056771,-7.105427357601002e-15,1.1357529558633619e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_24C,0.050167856476877,0.0501678564768771,9.71445146547012e-17,1.936389582430661e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_26C,0.0840293830183187,0.0840293830183191,3.885780586188048e-16,4.6243116950423564e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_28C,0.130587392277999,0.1305873922779993,2.7755575615628914e-16,2.1254406824007845e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_32C,0.2450060653545828,0.2450060653545816,-1.1934897514720433e-15,4.8712661449616604e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_34C,0.2961453054472023,0.2961453054472029,6.106226635438361e-16,2.0619022227002676e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_36C,0.3348493168814765,0.3348493168814754,-1.1102230246251565e-15,3.3155899344962136e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_38C,0.355650434061142,0.3556504340611422,2.220446049250313e-16,6.243338504877469e-16
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_40C,0.3590480519933453,0.3590480519933452,-5.551115123125783e-17,1.5460646819575753e-16
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_42C,0.3479671089984785,0.3479671089984799,1.3877787807814457e-15,3.988247006378738e-15
B1,transfer_candida_B1_unfolding,chaemulonii_draft,model_mu_44C,0.3262351290664034,0.3262351290664039,4.996003610813204e-16,1.5314119068386088e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,growth_scale,1.9176776375861837,1.9176776375861588,-2.4868995751603507e-14,1.2968287925027154e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,peak_mu,0.567066685808302,0.5670666858082902,-1.176836406102666e-14,2.075305137040792e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,peak_mu_model,0.2957049061291028,0.2957049061291004,-2.3869795029440866e-15,8.072167398879568e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_pool_free_model,2.044991485091807,2.044991485091808,8.881784197001252e-16,4.3431888405161335e-16
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,pool_binding_ratio,6.915649496187221,6.915649496187237,1.5987211554602254e-14,2.3117440470944084e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_all_caps_free_model,2.044991485091807,2.044991485091808,8.881784197001252e-16,4.3431888405161335e-16
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,all_caps_ratio,6.915649496187221,6.915649496187237,1.5987211554602254e-14,2.3117440470944084e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,fit_r2,-0.3430627406529041,-0.3430627406528828,2.1316282072803006e-14,6.213522935260955e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,descr_rmax,0.5673394649081861,0.5673394649081859,-2.220446049250313e-16,3.913787399946967e-16
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,descr_CTmin_C,17.16956601344142,17.169566013441383,-3.552713678800501e-14,2.0691924746491627e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,descr_Ea_eV,1.2251905142409731,1.2251905142409545,-1.865174681370263e-14,1.5223548172226677e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_22C,0.1382484707492586,0.1382484707492551,-3.524958103184872e-15,2.5497266509212184e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_24C,0.2219932665627039,0.2219932665627044,4.996003610813204e-16,2.2505203370220423e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_26C,0.3169835643772135,0.3169835643772069,-6.6058269965196814e-15,2.083965144848546e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_28C,0.4068970621527356,0.4068970621527307,-4.884981308350689e-15,1.2005447477320517e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_30C,0.4792957663041423,0.4792957663041384,-3.885780586188048e-15,8.107270832269952e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_32C,0.5293637982813494,0.5293637982813423,-7.105427357601002e-15,1.3422578915803698e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_34C,0.557166833075565,0.5571668330755559,-9.103828801926284e-15,1.6339502392260288e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_36C,0.567066685808302,0.5670666858082902,-1.176836406102666e-14,2.075305137040792e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_38C,0.5616861388737683,0.5616861388737552,-1.3100631690576847e-14,2.332375820568548e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_40C,0.5411061896303275,0.5411061896303232,-4.3298697960381105e-15,8.001885543013632e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_42C,0.5086118281042028,0.5086118281041981,-4.6629367034256575e-15,9.167967486730036e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,mu_44C,0.4674351079407142,0.4674351079407032,-1.099120794378905e-14,2.3513869106261246e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_22C,0.0720916112487365,0.0720916112487356,-9.020562075079397e-16,1.2512637627082434e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_24C,0.1157615139331399,0.1157615139331417,1.8041124150158794e-15,1.558473411170034e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_26C,0.165295541943226,0.1652955419432246,-1.3877787807814457e-15,8.395742344086362e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_28C,0.2121822011049284,0.2121822011049285,1.1102230246251565e-16,5.23240412647114e-16
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_30C,0.2499355245688951,0.2499355245688963,1.2212453270876722e-15,4.886241478453913e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_32C,0.2760442046702225,0.2760442046702224,-1.1102230246251565e-16,4.0219030352457124e-16
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_34C,0.2905424885576083,0.2905424885576073,-9.992007221626409e-16,3.4390864039306287e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_36C,0.2957049061291028,0.2957049061291004,-2.3869795029440866e-15,8.072167398879568e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_38C,0.2928991441860755,0.2928991441860725,-2.9976021664879227e-15,1.0234246927616764e-14
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_40C,0.282167439941276,0.2821674399412774,1.3877787807814457e-15,4.918281078320967e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_42C,0.2652227976879377,0.2652227976879387,9.992007221626409e-16,3.767401335304157e-15
B1,transfer_candida_B1_unfolding,cduobushaemulonii_draft,model_mu_44C,0.2437506172982667,0.2437506172982642,-2.4980018054066022e-15,1.0248186581410416e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,growth_scale,1.9176776375861837,1.9176776375861588,-2.4868995751603507e-14,1.2968287925027154e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,peak_mu,0.7744174718344323,0.7744174718344186,-1.3766765505351941e-14,1.7776930410339743e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,peak_mu_model,0.4038308924586543,0.4038308924586523,-1.9984014443252818e-15,4.948609632508205e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_pool_free_model,2.8367217903016315,2.8367217903016555,2.398081733190338e-14,8.453707872901233e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,pool_binding_ratio,7.0245289384146785,7.024528938414702,2.3092638912203256e-14,3.287428824717019e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_all_caps_free_model,2.8367217903016315,2.8367217903016555,2.398081733190338e-14,8.453707872901233e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,all_caps_ratio,7.0245289384146785,7.024528938414702,2.3092638912203256e-14,3.287428824717019e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,fit_r2,-1.017080399000124,-1.0170803990000672,5.684341886080802e-14,5.5888815590871574e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,descr_rmax,0.7750427005663243,0.775042700566313,-1.1324274851176597e-14,1.461116251130672e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,descr_CTmin_C,17.34369135300426,17.343691353004264,3.552713678800501e-15,2.0484184171007532e-16
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,descr_Ea_eV,1.1761170317749583,1.1761170317749503,-7.993605777301127e-15,6.796607447506676e-15
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_22C,0.1674994746786616,0.1674994746786689,7.299716386910404e-15,4.3580533019070675e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_24C,0.2649485630832215,0.2649485630832246,3.1086244689504383e-15,1.1732935754680827e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_26C,0.3784319885234201,0.3784319885234106,-9.492406860545088e-15,2.5083521341794894e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_28C,0.4914901730809028,0.4914901730808916,-1.1213252548714081e-14,2.2814805184046477e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_30C,0.5904337233477757,0.5904337233477583,-1.7319479184152442e-14,2.9333485705983245e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_32C,0.6782730376904657,0.6782730376904518,-1.3877787807814457e-14,2.0460473934020177e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_34C,0.7369569246892395,0.7369569246892198,-1.965094753586527e-14,2.6664987976266995e-14
B1,transfer_candida_B1_unfolding,cparapsilosis_iDC1003,mu_36C,0.767712975986542,0.7677129759865321,-9.880984919163893e-15,1.2870675927375633e-14
