rxn_id,enzyme_id,group,u_sub_29C,u_opt_39C,u_supra_43.95C
DRPANo1,P0A6L0,default,0.004682356594379124,0.004352605224040903,0.0
TKT2No2,P33570,default,5.9055874738856676e-05,0.0,0.0
UDCPDPNo1,P75806,default,0.0001731614178007542,0.00013235896689600915,9.666999962931246e-05
ATPS4rppNo2,P0A6E6,default,0.0,0.0,0.054889218467138214
CYTK1No1,P0A6I0,default,8.782649512463667e-05,7.590340220117683e-05,6.112079832623849e-05
GK1No1,P60546,default,0.00013191581790354396,0.00014155406668061343,0.007068270321697939
HACD1No1,P21177,default,1.2629381682754509e-06,1.157345450733145e-06,3.085513269722614e-06
HACD2No2,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
ECOAH5No1,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
DHFSNo1,P08192,default,5.914922278920894e-06,5.880849317286397e-06,9.908326550351578e-06
CYSabcppNo1,P0AEM9,default,1.79283441900193e-05,1.719178680072244e-05,1.3600126085082337e-05
CYTBDppNo1,P26458,default,0.0008638907988103987,4.5162803392158584e-05,0.0
CYTBD2ppNo1,P26458,default,0.0001717348942898626,0.00023984664624655374,0.011889845850113894
METSNo1,P13009,default,1.4981361981154262e-05,4.176777699007564e-05,0.0
METSNo2,P25665,default,0.0,0.0,0.0015885208007093605
ASPO6No1,P10902,default,0.0,0.0,3.2953131042984834e-05
ACACT5rNo1,P21151,default,0.022828766651228006,0.019142248702993896,0.014084629912755059
DHPS2No1,P0AC13,default,0.0005318433515178587,0.0003721157302022856,0.00025354847592244477
QULNSNo1,P11458,default,0.0,0.0,0.00014595656695733764
ALKPNo1,P77475,default,0.0,1.0639156590968894e-06,0.0
ACACT6rNo2,P21151,default,0.017836561593722197,0.014956213064402807,0.011004596647805497
R15BPKNo1,P16690,default,0.020212391142500424,0.003005177240375415,0.0040492415973465935
FACOAE160No1,P0AGG2,default,6.190761501680551e-05,7.726057001768251e-05,7.70142902763725e-05
METabcppNo1,P28635,default,0.00013014751403271922,5.265039932133091e-05,2.72908277402376e-05
MOBDabcppNo1,P09833,default,2.003893116016072e-09,0.0,0.0
MOBDabcppNo3,P0AEB0,default,0.0,1.7453071851397985e-09,1.1099611662006209e-09
DNTPPANo1,P0AFC0,default,2.9958858162298807e-06,2.0437941345777878e-06,1.4452889738230525e-06
HMBSNo1,P06983,default,0.0008198709068993973,0.0005122103202471687,0.00032589895284712176
MEPCTNo1,Q46893,default,3.112518183554926e-06,2.2234092611798456e-06,1.5073400717306739e-06
GLUDyNo1,P00370,default,0.002132522266659728,6.315273486215027e-08,0.016364492703644408
DAADNo1,P0A6J5,default,0.0,0.0,0.000265233039129348
THDPSNo1,P0A9D8,default,8.475728050166896e-05,4.5836112694440795e-05,2.724471219684958e-05
NAMNPPNo1,P18133,default,0.0005828462149631881,0.0005304069455949287,0.0
DHFRNo2,P0ABQ4,default,5.2547901322349035e-05,3.927371220725101e-05,3.344622983971805e-05
HACD3No2,P77399,default,7.620285791501378e-06,6.389674882630115e-06,4.671742491670054e-06
SHKKNo1,P0A6D7,default,1.212741421847596e-06,9.81129024139357e-07,0.0
SHKKNo2,P0A6E1,default,0.0,0.0,7.901137754941159e-07
GUAPRTNo2,P0A9M5,default,0.00012756594907271539,7.878777761957801e-05,4.9859608889043784e-05
PDHNo1,P0A9P0,default,0.0,0.0,0.005095602891696551
MTHFR2No1,P0AEZ1,default,5.904702621799217e-07,4.950501547712695e-07,3.679485288120669e-07
DUTPDPNo2,P52006,default,1.0656234995276255e-06,6.409318528460556e-07,4.290573825611955e-07
GLNSNo1,P0A9C5,default,0.026286574677340323,0.01797349942846213,0.011933129911589355
ACACT1rNo1,P76461,default,1.183394525738364e-05,9.113574837598737e-06,6.4388994989809675e-06
ALAALArNo2,P07862,default,0.00013537133654262337,0.00010899600754561613,7.829347380592165e-05
ADNK1No1,P69441,default,0.0,0.0014811838489514522,0.0
CPPPGO2No1,P32131,default,3.60201034160639e-08,2.5616950954145863e-08,1.73989437441547e-08
PPPGONo1,P0ACB4,default,4.38104879843474e-05,3.1827826089338684e-05,2.2852364916997398e-05
