rxn_id,enzyme_id,group,FCC_sub_29C,FCC_opt_39C,FCC_supra_43.95C
HBZOPTNo1,P0AGK1,default,0.013272517230895897,0.007960392816250272,0.005076673996744219
CYTBD2ppNo1,P26458,default,8.479356693735784e-05,0.0001181448654158368,0.005873352472722526
GTPCINo1,P0A6T5,default,0.011191304384407241,0.008948648098958123,0.006645534357849203
3OAR140No1,P0AEK2,default,0.008474687477388887,0.006557661633060929,0.0059142524802519025
AACPS7No1,P0A6A8,default,0.00822770003158918,0.003282582504074427,0.004397008123142865
ADK3No1,P69441,default,,0.002021694406681429,0.007283712927025343
GK1No1,P60546,default,0.00013292430320194226,0.0001423004985151577,0.007124954105787451
CTPS2No1,P0A7E5,default,0.0016476285572109006,0.0013048788031960745,0.00650504199709856
PDHNo1,P0A9P0,default,,,0.005136470996709719
AKGDHNo1,P0A9P0,default,0.0009076520895337503,5.943850325818012e-06,0.004853603703272591
DRPANo1,P0A6L0,default,0.004718145029265763,0.0043755503941089735,
PPNCL2No1,P0ABQ0,default,2.0610556547562275e-05,2.0605957748442982e-05,0.00462534838701345
UAGDPNo1,P0ACC7,default,2.9418545766102255e-05,3.917631009597855e-05,0.004560083726011521
ALCD2x_REVNo2,P39451,default,0.004313898269672767,0.0021637160995763294,
UAMASNo1,P17952,default,0.0035003828368823653,0.0028027929892149306,0.0027811327742294223
KDOPSNo1,P0A715,default,2.6013500392663147e-05,2.3225330147980117e-05,0.003216179935507102
UAAGDSNo1,P22188,default,0.002723008109102587,0.002148533844634204,0.0015474485589403453
ALDD2yNo4,P0AFP4,default,,0.002521613688027946,
DURIPPNo1,P07650,default,0.00213544966504442,0.002459828724291069,
POXNo1,P07003,default,0.002299530298839614,0.0001316130315787145,
GLUTRRNo1,P0A6X1,default,0.0021763034056251906,0.002007607754050955,0.0016683193851327327
ACKrNo3,P11868,default,,0.0018274009887575549,1.9410139258380088e-05
G1PACTNo1,P0ACC7,default,7.393892201279506e-06,1.5353206039847578e-05,0.0017982099061383816
ACOAD2f_REVNo1,Q47146,default,0.001713281875839745,0.0016159379495062076,0.001255688388265841
ACOAD5f_REVNo1,Q47146,default,0.0017132818758328061,0.0016159379495062076,0.001255688388265841
ACOAD4f_REVNo1,Q47146,default,0.0017132818758328061,0.0016159379495062076,0.0012556883885364578
ACOAD3f_REVNo1,Q47146,default,0.0017132818758328061,0.001615937949503432,0.0012556883882491876
MECDPDH5No1,P0ABY4,default,0.001634541132826406,0.0008471240883545228,0.0004977237404932278
ALARNo1,P29012,default,5.672675888468426e-05,4.347259602299758e-05,0.0016339921704563998
METSNo2,P25665,default,,,0.0016012634237894119
MCTP1AppNo1,P02918,default,0.0015593163896474027,0.001004405804733155,0.0006509048952635377
ADNK1No1,P69441,default,,0.001488993509957126,
PGK_REVNo1,P0A799,default,0.001477114675933755,0.0012757993987699834,1.452297940240932e-06
PYKNo1,P21599,default,0.0013676279422017434,0.0012517144386631207,
ACOAD6f_REVNo1,Q47146,default,0.0013386208176396908,0.0012625640832292229,0.000981093989012305
PGAMT_REVNo1,P31120,default,0.0013048227289549907,0.0010610933444094028,0.0007682629081753878
FADRx2No1,P17846,default,0.000612011195853801,0.0011920209562699124,
ADPTNo1,P69503,default,0.0011462655228722252,,0.000584468467819399
PGM_REVNo1,P62707,default,0.0010606171482893667,0.0007778049597589876,2.579804517233164e-06
DPCOAKNo1,P0A6I9,default,0.0009910004261634575,0.0006628655773138759,0.0005208039393148067
UHGADANo1,P0A725,default,0.0009516855585686712,0.0007555750611482059,0.000573475535992074
CTECOAI7_REVNo1,P21177,default,0.0003884980042292985,0.0003551781760785522,0.0009495036513429422
PRPPS_REVNo1,P0A717,default,0.0009067503400697619,,
DCYTDNo1,P0ABF6,default,0.0008769605356187538,0.0006406123171154299,
CYTBDppNo1,P26458,default,0.0009552899280854121,0.0001635459246446258,
HMBSNo1,P06983,default,0.0008261385218852335,0.0005149111908658854,0.00032851338068184965
NNATrNo1,P0A752,default,0.0008248476828412454,0.00012219948165581584,4.109586339146043e-05
NNDPRNo1,P30011,default,,,0.0008185738436902734
TDSKNo1,P27300,default,0.0007605889181611092,0.0005593798551722928,0.00039053866225657874
UAGAATNo1,P0A6A8,default,0.0006947477122362655,0.0002771810546392528,0.0003712832330582394
PPM_REVNo1,P0A6K6,default,0.0006743410268642003,,
PAPPT3No1,P0A6W3,default,0.0006513072750138904,0.0004279512996918644,0.0002806174407440909
DASYN161No1,P0ABG1,default,0.000621577987681976,0.000497972190199869,0.00036437333113953363
ACOAD7f_REVNo1,Q47146,default,0.0006144285581752285,0.0005795184164797407,0.00045032328093164153
RBFSbNo1,P0AFU8,default,0.00023505515463762006,0.000179034929523314,0.0006092099298013465
NAMNPPNo1,P18133,default,0.0005873019184199357,0.0005332037626093467,
PTAr_REVNo2,P77218,default,0.0005822748100570152,0.0004490084205555078,4.6057748948058475e-06
