reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,strain,T_C,kcat_scale
R04533__cyto,R04533__cyto,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] + NADP+ <=> Acetoacetyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.11184085820159122,-0.11184085820159122,C00006__cyto + C04618__cyto <=> C00005__cyto + C00080__cyto + C05744__cyto,cauris_iRV973,40.0,1.0
R04536__cyto,R04536__cyto,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxooctanoyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.11184085820159122,-0.11184085820159122,C00006__cyto + C04620__cyto <=> C00005__cyto + C00080__cyto + C05750__cyto,cauris_iRV973,40.0,1.0
R04953__cyto,R04953__cyto,(R)-3-Hydroxyhexanoyl-[acp] + NADP+ <=> 3-Oxohexanoyl-[acp] + NADPH + H+,True,True,False,False,redox,1.0,-0.11184085820159122,-0.11184085820159122,C00006__cyto + C05747__cyto <=> C00005__cyto + C00080__cyto + C05746__cyto,cauris_iRV973,40.0,1.0
R04958__cyto,R04958__cyto,Octanoyl-[acp] + NAD+ => trans-Oct-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.11184085820159122,-0.11184085820159122,C00004__cyto + C00080__cyto + C05751__cyto --> C00003__cyto + C05752__cyto,cauris_iRV973,40.0,1.0
R04724__cyto,R04724__cyto,Dodecanoyl-[acyl-carrier protein] + NAD+ => trans-Dodec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.11184085820159122,-0.11184085820159122,C00004__cyto + C00080__cyto + C05758__cyto --> C00003__cyto + C05223__cyto,cauris_iRV973,40.0,1.0
R04429__cyto,R04429__cyto,Butyryl-[acp] + NAD+ => But-2-enoyl-[acyl-carrier protein] + NADH + H+,True,False,False,False,redox,-1.0,0.11184085820159122,-0.11184085820159122,C00004__cyto + C00080__cyto + C04246__cyto --> C00003__cyto + C05745__cyto,cauris_iRV973,40.0,1.0
R04961__cyto,R04961__cyto,Decanoyl-[acp] + NAD+ => trans-Dec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.11184085820159122,-0.11184085820159122,C00004__cyto + C00080__cyto + C05754__cyto --> C00003__cyto + C05755__cyto,cauris_iRV973,40.0,1.0
R04966__cyto,R04966__cyto,Tetradecanoyl-[acp] + NAD+ => trans-Tetradec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.11184085820159122,-0.11184085820159122,C00004__cyto + C00080__cyto + C05760__cyto --> C00003__cyto + C05761__cyto,cauris_iRV973,40.0,1.0
R04534__cyto,R04534__cyto,(3R)-3-Hydroxydecanoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxodecanoyl-[acp] + NADPH,True,True,False,False,redox,1.0,-0.11184085820159122,-0.11184085820159122,C00006__cyto + C04619__cyto <=> C00005__cyto + C00080__cyto + C05753__cyto,cauris_iRV973,40.0,1.0
R04969__cyto,R04969__cyto,Hexadecanoyl-[acp] + NAD+ => trans-Hexadec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.11112923174530075,-0.11112923174530075,C00004__cyto + C00080__cyto + C05763__cyto --> C00003__cyto + C05764__cyto,cauris_iRV973,40.0,1.0
R04543__cyto,R04543__cyto,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxohexadecanoyl-[acp] + NADPH,True,True,False,False,redox,1.0,-0.11112923174530075,-0.11112923174530075,C00006__cyto + C04633__cyto <=> C00005__cyto + C00080__cyto + C05762__cyto,cauris_iRV973,40.0,1.0
R08551__cyto,R08551__cyto,[Oxidized NADPH---hemoprotein reductase] + NADPH + H+ <=> [Reduced NADPH---hemoprotein red,True,True,False,False,redox,1.0,0.11094161349303758,0.11094161349303758,C00005__cyto + C03161__cyto <=> C00006__cyto + C00080__cyto + C03024__cyto,cauris_iRV973,40.0,1.0
R00858__cyto,R00858__cyto,Sulfite + 3 NADPH + 3 H+ => Hydrogen sulfide + 3 NADP+ + 3 H2O,True,False,False,False,redox,-3.0,0.02727160723351725,-0.08181482170055175,3.0 C00005__cyto + 3.0 C00080__cyto + C00094__cyto --> 3.0 C00001__cyto + 3.0 C00006__cyto + C00283__cyto,cauris_iRV973,40.0,1.0
R07761__cyto,R07761__cyto,(2E)-Octadecenoyl-CoA + NADPH + H+ <=> Stearoyl-CoA + NADP+,True,True,False,False,redox,-1.0,0.06256415401661966,-0.06256415401661966,C00005__cyto + C00080__cyto + C16218__cyto <=> C00006__cyto + C00412__cyto,cauris_iRV973,40.0,1.0
R07759__cyto,R07759__cyto,3-Oxostearoyl-CoA + NADPH + H+ <=> 3-Hydroxyoctadecanoyl-CoA + NADP+,True,True,False,False,redox,-1.0,0.06256415401661966,-0.06256415401661966,C00005__cyto + C00080__cyto + C16216__cyto <=> C00006__cyto + C16217__cyto,cauris_iRV973,40.0,1.0
R02874__cyto,R02874__cyto,"Oxygen + 2 H+ + Squalene + [Reduced NADPH---hemoprotein reductase] => H2O + (S)-2,3-Epoxys",True,False,False,False,redox,-2.0,0.028157489806703757,-0.05631497961340751,C00007__cyto + 2.0 C00080__cyto + C00751__cyto + C03024__cyto --> C00001__cyto + C01054__cyto + C03161__cyto,cauris_iRV973,40.0,1.0
R07505__cyto,R07505__cyto,"Episterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ => 5,7,24(28)-Ergostatrienol + 2 Ferricyt",True,False,False,False,redox,-2.0,0.025475744406640726,-0.05095148881328145,C00007__cyto + 2.0 C00080__cyto + 2.0 C00999__cyto + C15777__cyto --> 2.0 C00001__cyto + 2.0 C00996__cyto + C15778__cyto,cauris_iRV973,40.0,1.0
R01039__cyto,R01039__cyto,NADP+ + Glycerol <=> NADPH + H+ + Glycerone,True,True,False,False,redox,1.0,-0.03272542674959392,-0.03272542674959392,C00006__cyto + C00116__cyto <=> C00005__cyto + C00080__cyto + C00184__cyto,cauris_iRV973,40.0,1.0
R01224__cyto,R01224__cyto,"5-Methyltetrahydrofolate + NADP+ <=> 5,10-Methylenetetrahydrofolate + NADPH + H+",True,True,False,False,redox,1.0,-0.03156857039858802,-0.03156857039858802,C00006__cyto + C00440__cyto <=> C00005__cyto + C00080__cyto + C00143__cyto,cauris_iRV973,40.0,1.0
R01061__cyto,R01061__cyto,D-Glyceraldehyde 3-phosphate + Orthophosphate + NAD+ <=> 3-Phospho-D-glyceroyl phosphate +,True,True,False,False,redox,1.0,0.03056329600705502,0.03056329600705502,C00003__cyto + C00009__cyto + C00118__cyto <=> C00004__cyto + C00080__cyto + C00236__cyto,cauris_iRV973,40.0,1.0
R01513__cyto,R01513__cyto,3-Phospho-D-glycerate + NAD+ <=> 3-Phosphonooxypyruvate + NADH + H+,True,True,False,False,redox,1.0,0.03023765114094526,0.03023765114094526,C00003__cyto + C00197__cyto <=> C00004__cyto + C00080__cyto + C03232__cyto,cauris_iRV973,40.0,1.0
TI1000558_PLAS__plas,TI1000558_PLAS__plas,1.0 Spermine (cyto) + 1.0 H+ (cyto) => 1.0 Spermine (extr) + 1.0 H+ (extr),False,False,False,True,carrier,-1.0,0.02869966017610088,-0.02869966017610088,C00080__cyto + C00750__cyto --> C00080__extr + C00750__extr,cauris_iRV973,40.0,1.0
TO2000558_PLAS__plas,TO2000558_PLAS__plas,1.0 H+ (cyto) + 1.0 Spermine (extr) => 1.0 Spermine (cyto) + 1.0 H+ (extr),False,False,False,True,carrier,-1.0,0.02869966017610088,-0.02869966017610088,C00080__cyto + C00750__extr --> C00080__extr + C00750__cyto,cauris_iRV973,40.0,1.0
R00519__cyto,R00519__cyto,Formate + NAD+ => H+ + CO2 + NADH,True,False,False,False,redox,1.0,0.028272703520447834,0.028272703520447834,C00003__cyto + C00058__cyto --> C00004__cyto + C00011__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R06223__cyto,R06223__cyto,"2 trans,trans-Farnesyl diphosphate + NADPH + H+ <=> Squalene + 2 Diphosphate + NADP+",True,True,False,False,redox,-1.0,0.028157489806703757,-0.028157489806703757,C00005__cyto + C00080__cyto + 2.0 C00448__cyto <=> C00006__cyto + 2.0 C00013__cyto + C00751__cyto,cauris_iRV973,40.0,1.0
R02016__cyto,R02016__cyto,Thioredoxin + NADP+ <=> Thioredoxin disulfide + NADPH + H+,True,True,False,False,redox,1.0,-0.028058791786491472,-0.028058791786491472,C00006__cyto + C00342__cyto <=> C00005__cyto + C00080__cyto + C00343__cyto,cauris_iRV973,40.0,1.0
R12404__cyto,R12404__cyto,"4alpha-Carboxy-5alpha-cholesta-8,24-dien-3beta-ol + NADP+ <=> Zymosterone + NADPH + H+ + C",True,True,False,False,redox,1.0,0.027594707895444607,0.027594707895444607,C00006__cyto + C22112__cyto <=> C00005__cyto + C00011__cyto + C00080__cyto + C22136__cyto,cauris_iRV973,40.0,1.0
R05639__cyto,R05639__cyto,"14-Demethyllanosterol + NADP+ <=> 4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol + NA",True,True,False,False,redox,1.0,-0.027594707895444607,-0.027594707895444607,C00006__cyto + C05108__cyto <=> C00005__cyto + C00080__cyto + C11455__cyto,cauris_iRV973,40.0,1.0
R07494__cyto,R07494__cyto,4alpha-Methylzymosterol-4-carboxylate + NADP+ <=> 3-Keto-4-methylzymosterol + NADPH + H+ +,True,True,False,False,redox,1.0,0.027594707895444607,0.027594707895444607,C00006__cyto + C15808__cyto <=> C00005__cyto + C00011__cyto + C00080__cyto + C15816__cyto,cauris_iRV973,40.0,1.0
R12405__cyto,R12405__cyto,Zymosterone + NADPH + H+ <=> Zymosterol + NADP+,True,True,False,False,redox,-1.0,0.027594707895444607,-0.027594707895444607,C00005__cyto + C00080__cyto + C22136__cyto <=> C00006__cyto + C05437__cyto,cauris_iRV973,40.0,1.0
R07495__cyto,R07495__cyto,3-Keto-4-methylzymosterol + NADPH + H+ <=> 4alpha-Methylzymosterol + NADP+,True,True,False,False,redox,-1.0,0.027594707895444607,-0.027594707895444607,C00005__cyto + C00080__cyto + C15816__cyto <=> C00006__cyto + C05103__cyto,cauris_iRV973,40.0,1.0
R07506__cyto,R07506__cyto,"5,7,24(28)-Ergostatrienol + NADPH + H+ + Oxygen => Ergosta-5,7,22,24(28)-tetraen-3beta-ol ",True,False,False,False,redox,-1.0,0.025475744406640726,-0.025475744406640726,C00005__cyto + C00007__cyto + C00080__cyto + C15778__cyto --> 2.0 C00001__cyto + C00006__cyto + C05440__cyto,cauris_iRV973,40.0,1.0
R05641__cyto,R05641__cyto,"NADP+ + Ergosterol <=> NADPH + Ergosta-5,7,22,24(28)-tetraen-3beta-ol + H+",True,True,False,False,redox,1.0,-0.02250372657641317,-0.02250372657641317,C00006__cyto + C01694__cyto <=> C00005__cyto + C00080__cyto + C05440__cyto,cauris_iRV973,40.0,1.0
TR1000156_PLAS__plas,TR1000156_PLAS__plas,1.0 L-Valine (extr) + 1.0 H+ (extr) => 1.0 L-Valine (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,0.021879522050030412,0.021879522050030412,C00080__extr + C00183__extr --> C00080__cyto + C00183__cyto,cauris_iRV973,40.0,1.0
TI1000023_PLAS__plas,TI1000023_PLAS__plas,1.0 L-Glutamate (cyto) + 1.0 H+ (cyto) => 1.0 L-Glutamate (extr) + 1.0 H+ (extr),False,False,False,True,carrier,-1.0,0.019913098648927985,-0.019913098648927985,C00025__cyto + C00080__cyto --> C00025__extr + C00080__extr,cauris_iRV973,40.0,1.0
R00081__mito,R00081__mito,Oxygen + 4 Ferrocytochrome c + 6 H+ => 4 Ferricytochrome c + 2 H2O + 6 H+,False,False,False,True,redox,6.0,0.0027167159907636397,0.01630029594458184,C00007__mito + 6.0 C00080__mito + 4.0 C00126__mito --> 2.0 C00001__mito + 6.0 C00080__cyto + 4.0 C00125__mito,cauris_iRV973,40.0,1.0
TR1000107_PLAS__plas,TR1000107_PLAS__plas,1.0 L-Leucine (extr) + 1.0 H+ (extr) <=> 1.0 L-Leucine (cyto) + 1.0 H+ (cyto),False,True,False,True,carrier,1.0,0.01604746779863569,0.01604746779863569,C00080__extr + C00123__extr <=> C00080__cyto + C00123__cyto,cauris_iRV973,40.0,1.0
TO1000039_PLAS__plas,TO1000039_PLAS__plas,1.0 L-Lysine (extr) + 1.0 H+ (extr) => 1.0 H+ (cyto) + 1.0 L-Lysine (cyto),False,False,False,True,carrier,1.0,0.015927025975461025,0.015927025975461025,C00047__extr + C00080__extr --> C00047__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R07763__cyto,R07763__cyto,3-Oxostearoyl-[acp] + NADPH + H+ <=> (R)-3-Hydroxyoctadecanoyl-[acp] + NADP+,True,True,False,False,redox,-1.0,0.01281370443568582,-0.01281370443568582,C00005__cyto + C00080__cyto + C16219__cyto <=> C00006__cyto + C16220__cyto,cauris_iRV973,40.0,1.0
R07765__cyto,R07765__cyto,(2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrier protein] + NAD+,True,True,False,False,redox,-1.0,0.01281370443568582,-0.01281370443568582,C00004__cyto + C00080__cyto + C16221__cyto <=> C00003__cyto + C04088__cyto,cauris_iRV973,40.0,1.0
TR1000119_PLAS__plas,TR1000119_PLAS__plas,1.0 L-Histidine (extr) + 1.0 H+ (extr) <=> 1.0 L-Histidine (cyto) + 1.0 H+ (cyto),False,True,False,True,carrier,1.0,0.01225297076251304,0.01225297076251304,C00080__extr + C00135__extr <=> C00080__cyto + C00135__cyto,cauris_iRV973,40.0,1.0
TO1000404_PLAS__plas,TO1000404_PLAS__plas,1.0 D-Ornithine (extr) + 1.0 H+ (extr) => 1.0 D-Ornithine (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,0.011090103171392205,0.011090103171392205,C00080__extr + C00515__extr --> C00080__cyto + C00515__cyto,cauris_iRV973,40.0,1.0
R04326__cyto,R04326__cyto,"5'-Phosphoribosylglycinamide + 5,10-Methenyltetrahydrofolate + H2O <=> 5'-Phosphoribosyl-N",True,True,False,False,redox,1.0,0.00983014653083965,0.00983014653083965,C00001__cyto + C00445__cyto + C03838__cyto <=> C00080__cyto + C00101__cyto + C04376__cyto,cauris_iRV973,40.0,1.0
R02161__mito,R02161__mito,1.5 H+ (cyto) + 2 Ferricytochrome c (mito) + Ubiquinol-9 (mito) => Ubiquinone-9 (mito) + 1,True,False,False,True,redox,-1.5,0.0054334319815272794,-0.00815014797229092,1.5 C00080__cyto + 2.0 C00125__mito + M8428__mito --> 1.5 C00080__mito + 2.0 C00126__mito + C01967__mito,cauris_iRV973,40.0,1.0
R12185__cyto,R12185__cyto,Ammonia + HCO3- <=> Carbamate + H2O,False,True,False,False,carrier,-1.0,0.005950894362894591,-0.005950894362894591,C00014__cyto + C00080__cyto + C00288__cyto <=> C00001__cyto + C01563__cyto,cauris_iRV973,40.0,1.0
R12205__cyto,R12205__cyto,"Linoleoyl-CoA + 2 Ferrocytochrome b5 + Oxygen + 2 H+ <=> (9Z,12Z,15Z)-Octadecatrienoyl-CoA",True,True,False,False,redox,-2.0,0.0028600801692800905,-0.005720160338560181,C00007__cyto + 2.0 C00080__cyto + 2.0 C00999__cyto + C02050__cyto <=> 2.0 C00001__cyto + 2.0 C00996__cyto + C16162__cyto,cauris_iRV973,40.0,1.0
R11043__cyto,R11043__cyto,Oxygen + Oleoyl-CoA + 2 H+ + 2 Ferrocytochrome b5 <=> 2 H2O + Linoleoyl-CoA + 2 Ferricytoc,True,True,False,False,redox,-2.0,0.0028600801692800905,-0.005720160338560181,C00007__cyto + 2.0 C00080__cyto + C00510__cyto + 2.0 C00999__cyto <=> 2.0 C00001__cyto + 2.0 C00996__cyto + C02050__cyto,cauris_iRV973,40.0,1.0
R00342__cyto,R00342__cyto,NAD+ + (S)-Malate <=> NADH + Oxaloacetate + H+,True,True,False,False,redox,1.0,0.004733905375514391,0.004733905375514391,C00003__cyto + C00149__cyto <=> C00004__cyto + C00036__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
R01130__cyto,R01130__cyto,IMP + NAD+ + H2O <=> Xanthosine 5'-phosphate + NADH + H+,True,True,False,False,redox,1.0,0.002237206547417325,0.002237206547417325,C00001__cyto + C00003__cyto + C00130__cyto <=> C00004__cyto + C00080__cyto + C00655__cyto,cauris_iRV973,40.0,1.0
T_L_Serine_c00065_MitoCyto__mito,T_L_Serine_c00065_MitoCyto__mito,L-Serine (Mito) + H+ (Mito) <=> L-Serine (Cyto) + H+ (Cyto),False,True,False,True,carrier,1.0,-0.00026246619102715464,-0.00026246619102715464,C00065__mito + C00080__mito <=> C00065__cyto + C00080__cyto,cauris_iRV973,40.0,1.0
TO1000104_PLAS__plas,TO1000104_PLAS__plas,1.0 Biotin (extr) + 1.0 H+ (extr) => 1.0 Biotin (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,8.363114408965901e-05,8.363114408965901e-05,C00080__extr + C00120__extr --> C00080__cyto + C00120__cyto,cauris_iRV973,40.0,1.0
R02413__cyto,R02413__cyto,Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+,True,True,False,False,redox,1.0,-7.919794014213494e-05,-7.919794014213494e-05,C00006__cyto + C00493__cyto <=> C00005__cyto + C00080__cyto + C02637__cyto,cauris_iRV973,40.0,1.0
R03458__cyto,R03458__cyto,5-Amino-6-(5'-phospho-D-ribitylamino)uracil + NADP+ <=> 5-Amino-6-(5'-phosphoribosylamino),True,True,False,False,redox,1.0,-7.088382188782938e-05,-7.088382188782938e-05,C00006__cyto + C04454__cyto <=> C00005__cyto + C00080__cyto + C01268__cyto,cauris_iRV973,40.0,1.0
R01960__cyto,R01960__cyto,L-Kynurenine + Oxygen + NADPH + H+ => 3-Hydroxy-L-kynurenine + NADP+ + H2O,True,False,False,False,redox,-1.0,5.844110334465171e-05,-5.844110334465171e-05,C00005__cyto + C00007__cyto + C00080__cyto + C00328__cyto --> C00001__cyto + C00006__cyto + C03227__cyto,cauris_iRV973,40.0,1.0
R03348__cyto,R03348__cyto,Quinolinate + 5-Phospho-alpha-D-ribose 1-diphosphate => Nicotinate D-ribonucleotide + Diph,True,False,False,False,redox,-1.0,5.844110334465171e-05,-5.844110334465171e-05,C00080__cyto + C00119__cyto + C03722__cyto --> C00011__cyto + C00013__cyto + C01185__cyto,cauris_iRV973,40.0,1.0
R02324__cyto,R02324__cyto,ATP + Nicotinamide-beta-riboside <=> ADP + Nicotinamide D-ribonucleotide,True,True,False,False,redox,1.0,4.8383453453302794e-05,4.8383453453302794e-05,C00002__cyto + C03150__cyto <=> C00008__cyto + C00080__cyto + C00455__cyto,cauris_iRV973,40.0,1.0
R12026__cyto,R12026__cyto,NAD+ + Glycine + Hydrogen sulfide <=> Nicotinamide + ADP-5-ethyl-4-methylthiazole-2-carbox,True,True,False,False,redox,1.0,4.8383453453302794e-05,4.8383453453302794e-05,C00003__cyto + C00037__cyto + C00283__cyto <=> 3.0 C00001__cyto + C00080__cyto + C00153__cyto + C20784__cyto,cauris_iRV973,40.0,1.0
R02294__cyto,R02294__cyto,Nicotinamide-beta-riboside + Orthophosphate <=> Nicotinamide + alpha-D-Ribose 1-phosphate,True,True,False,False,carrier,1.0,-4.8383453453302794e-05,-4.8383453453302794e-05,C00009__cyto + C03150__cyto <=> C00080__cyto + C00153__cyto + C00620__cyto,cauris_iRV973,40.0,1.0
R00137__cyto,R00137__cyto,ATP + Nicotinamide D-ribonucleotide <=> Diphosphate + NAD+,True,True,False,False,redox,-1.0,4.8383453453302794e-05,-4.8383453453302794e-05,C00002__cyto + C00080__cyto + C00455__cyto <=> C00003__cyto + C00013__cyto,cauris_iRV973,40.0,1.0
R10712__cyto,R10712__cyto,H+ + 4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 2-(2-Carboxy-4-methylthiazol,True,False,False,False,redox,-1.0,4.8383453453302794e-05,-4.8383453453302794e-05,C00080__cyto + C04752__cyto + C20247__cyto --> C00011__cyto + C00013__cyto + C01081__cyto,cauris_iRV973,40.0,1.0
L_Aspartate_c00049_CytoMito__mito,L_Aspartate_c00049_CytoMito__mito,L-Aspartate (Cyto) <=> L-Aspartate (Mito),False,True,False,True,carrier,1.0,29.34222202589426,29.34222202589426,C00049__mito + C00080__mito <=> C00049__cyto + C00080__cyto,chaemulonii_draft,40.0,1.0
