reaction,members,name,costed,reversible,is_atp_synthase,translocates,kind,ion_per_flux_to_outer,flux,ion_to_outer,reaction_string,strain,T_C,kcat_scale
R04969__cyto,R04969__cyto,Hexadecanoyl-[acp] + NAD+ => trans-Hexadec-2-enoyl-[acp] + NADH + H+,True,False,False,False,redox,-1.0,0.04699797972387472,-0.04699797972387472,C00004__cyto + C00080__cyto + C05763__cyto --> C00003__cyto + C05764__cyto,cduobushaemulonii_draft,40.0,1.0
R04543__cyto,R04543__cyto,(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein] + NADP+ <=> 3-Oxohexadecanoyl-[acp] + NADPH,True,True,False,False,redox,1.0,-0.04699797972387472,-0.04699797972387472,C00006__cyto + C04633__cyto <=> C00005__cyto + C00080__cyto + C05762__cyto,cduobushaemulonii_draft,40.0,1.0
R08551__cyto,R08551__cyto,[Oxidized NADPH---hemoprotein reductase] + NADPH + H+ <=> [Reduced NADPH---hemoprotein red,True,True,False,False,redox,1.0,0.046918633554759635,0.046918633554759635,C00005__cyto + C03161__cyto <=> C00006__cyto + C00080__cyto + C03024__cyto,cduobushaemulonii_draft,40.0,1.0
R00858__cyto,R00858__cyto,Sulfite + 3 NADPH + 3 H+ => Hydrogen sulfide + 3 NADP+ + 3 H2O,True,False,False,False,redox,-3.0,0.011533513043047904,-0.03460053912914371,3.0 C00005__cyto + 3.0 C00080__cyto + C00094__cyto --> 3.0 C00001__cyto + 3.0 C00006__cyto + C00283__cyto,cduobushaemulonii_draft,40.0,1.0
R07761__cyto,R07761__cyto,(2E)-Octadecenoyl-CoA + NADPH + H+ <=> Stearoyl-CoA + NADP+,True,True,False,False,redox,-1.0,0.0264591844624068,-0.0264591844624068,C00005__cyto + C00080__cyto + C16218__cyto <=> C00006__cyto + C00412__cyto,cduobushaemulonii_draft,40.0,1.0
R07759__cyto,R07759__cyto,3-Oxostearoyl-CoA + NADPH + H+ <=> 3-Hydroxyoctadecanoyl-CoA + NADP+,True,True,False,False,redox,-1.0,0.0264591844624068,-0.0264591844624068,C00005__cyto + C00080__cyto + C16216__cyto <=> C00006__cyto + C16217__cyto,cduobushaemulonii_draft,40.0,1.0
R02874__cyto,R02874__cyto,"Oxygen + 2 H+ + Squalene + [Reduced NADPH---hemoprotein reductase] => H2O + (S)-2,3-Epoxys",True,False,False,False,redox,-2.0,0.011908164163715925,-0.02381632832743185,C00007__cyto + 2.0 C00080__cyto + C00751__cyto + C03024__cyto --> C00001__cyto + C01054__cyto + C03161__cyto,cduobushaemulonii_draft,40.0,1.0
TI1000035_PLAS__plas,TI1000035_PLAS__plas,1.0 L-Alanine (cyto) + 1.0 H+ (cyto) => 1.0 L-Alanine (extr) + 1.0 H+ (extr),False,False,False,True,carrier,-1.0,0.023502263284848855,-0.023502263284848855,C00041__cyto + C00080__cyto --> C00041__extr + C00080__extr,cduobushaemulonii_draft,40.0,1.0
R07505__cyto,R07505__cyto,"Episterol + 2 Ferrocytochrome b5 + Oxygen + 2 H+ => 5,7,24(28)-Ergostatrienol + 2 Ferricyt",True,False,False,False,redox,-2.0,0.010774019583056694,-0.02154803916611339,C00007__cyto + 2.0 C00080__cyto + 2.0 C00999__cyto + C15777__cyto --> 2.0 C00001__cyto + 2.0 C00996__cyto + C15778__cyto,cduobushaemulonii_draft,40.0,1.0
TR1000156_PLAS__plas,TR1000156_PLAS__plas,1.0 L-Valine (extr) + 1.0 H+ (extr) => 1.0 L-Valine (cyto) + 1.0 H+ (cyto),False,False,False,True,carrier,1.0,0.013410426200281718,0.013410426200281718,C00080__extr + C00183__extr --> C00080__cyto + C00183__cyto,cduobushaemulonii_draft,40.0,1.0
R01224__cyto,R01224__cyto,"5-Methyltetrahydrofolate + NADP+ <=> 5,10-Methylenetetrahydrofolate + NADPH + H+",False,True,False,False,redox,1.0,-0.01335075396638194,-0.01335075396638194,C00006__cyto + C00440__cyto <=> C00005__cyto + C00080__cyto + C00143__cyto,cduobushaemulonii_draft,40.0,1.0
R06223__cyto,R06223__cyto,"2 trans,trans-Farnesyl diphosphate + NADPH + H+ <=> Squalene + 2 Diphosphate + NADP+",True,True,False,False,redox,-1.0,0.011908164163715925,-0.011908164163715925,C00005__cyto + C00080__cyto + 2.0 C00448__cyto <=> C00006__cyto + 2.0 C00013__cyto + C00751__cyto,cduobushaemulonii_draft,40.0,1.0
R02016__cyto,R02016__cyto,Thioredoxin + NADP+ <=> Thioredoxin disulfide + NADPH + H+,True,True,False,False,redox,1.0,-0.011866423503046602,-0.011866423503046602,C00006__cyto + C00342__cyto <=> C00005__cyto + C00080__cyto + C00343__cyto,cduobushaemulonii_draft,40.0,1.0
