strain,T_C,fix,status,growth,atp_synthase_draw,redox_translocated,redox_in_compartment,carrier_translocated,chain_supplies_fraction,chain_supplies_fraction_incl_chemistry,n_ion_reactions,n_uncosted,n_uncosted_reversible,n_changed
chaemulonii_draft,40.0,b_direction,optimal,0.05592407393839998,10.579699425260308,28.79356461013204,8.537843487752454,1.5188237426132065,2.7215862618349944,3.528588724245913,78,15,8,7.0
chaemulonii_draft,30.0,ab_both,optimal,0.045465314205468156,18.338286867661104,0.0009339483653974438,1.9431257462627123,18.672128184313635,5.092887749751737e-05,0.10601097630642847,77,12,4,
chaemulonii_draft,40.0,ab_both,optimal,0.08489142592371829,28.43741978229373,0.013544921596976935,4.1522500555570545,29.068056319126566,0.0004763062788632653,0.1464899069270631,76,12,4,
cduobushaemulonii_draft,30.0,none,optimal,0.06286594423452774,21.041456031629114,0.010030627669533361,2.749516723956061,22.743545236861706,0.00047670786919191873,0.13114811767196602,75,15,11,
cduobushaemulonii_draft,40.0,none,optimal,0.06978492627820931,26.301942812766736,0.011134591565684224,3.009687711290908,28.13509272828103,0.0004233372281639815,0.11485167937443432,77,15,11,
cduobushaemulonii_draft,30.0,a_cost_transport,optimal,0.060557625867862584,20.678543617042365,0.009662322025504808,2.3767085863982245,21.790532715460184,0.00046726317889919184,0.1154032388652838,78,11,6,78.0
cduobushaemulonii_draft,40.0,a_cost_transport,optimal,0.06664636946527024,25.838795051177403,0.010633816540452458,2.7565797474132916,26.86760673315848,0.0004115445987086733,0.10709530217925738,80,13,8,78.0
cduobushaemulonii_draft,30.0,b_direction,optimal,0.04443773423864772,7.305798029418511,15.908630608103607,9.574544478559638,0.02559270170225708,2.1775349584047863,3.488075496208526,80,17,9,8.0
cduobushaemulonii_draft,40.0,b_direction,optimal,0.04320496920915874,9.437701426354431,20.13330305222007,11.620185032896568,0.024882724287583976,2.1332845936404143,3.364536199084048,79,17,9,8.0
cduobushaemulonii_draft,30.0,ab_both,optimal,0.06055762586786226,20.678543617042322,0.009662322025504792,2.4647385270228117,22.776866452436618,0.000467263178899192,0.11966030562273386,79,13,7,
cduobushaemulonii_draft,40.0,ab_both,optimal,0.06664636946527021,25.83879505117738,0.010633816540452543,2.7565797474132903,26.626451534262227,0.00041154459870867694,0.10709530217925742,80,13,7,
cparapsilosis_iDC1003,30.0,none,optimal,0.06664646140641432,22.296921978029452,20.645119266475028,8.30464956657908,16.50385767933818,0.9259179041312496,1.2983751237762826,86,8,3,
cparapsilosis_iDC1003,40.0,none,optimal,0.08301797244476632,30.021913869662193,33.63275631328818,8.240491055828555,11.603137639529695,1.1202735594839883,1.3947560955276266,87,8,3,
cparapsilosis_iDC1003,30.0,a_cost_transport,optimal,0.06489202356680507,22.01796274554691,20.38682838928635,8.182556758949998,16.2975471303748,0.9259180163437031,1.2975489820925623,86,5,2,33.0
cparapsilosis_iDC1003,40.0,a_cost_transport,optimal,0.08012293793864919,29.080703073436432,32.675663798511806,8.036730165443105,11.062517062385554,1.1236201448086434,1.399979699979928,86,4,2,33.0
cparapsilosis_iDC1003,30.0,b_direction,optimal,0.06664646140641439,22.29692197802945,20.64511926647502,8.304649566579075,16.503857679338168,0.9259179041312495,1.2983751237762822,86,8,3,0.0
cparapsilosis_iDC1003,40.0,b_direction,optimal,0.08301797244476564,30.021913869662168,33.632756313288155,8.240491055828526,11.603137639529683,1.1202735594839883,1.394756095527626,87,8,3,0.0
cparapsilosis_iDC1003,30.0,ab_both,optimal,0.0648920235668039,22.017962745546782,20.38682838928623,8.182556758949932,16.297547130374692,0.925918016343703,1.2975489820925612,86,5,2,
cparapsilosis_iDC1003,40.0,ab_both,optimal,0.08012293793864864,29.080703073436396,32.67566379851178,8.036730165443084,11.062517062385524,1.1236201448086438,1.399979699979928,86,4,2,
