rxn_id,mw_kDa,kcat_s,source,group
R00937__mito,23.52,310.3852,dlkcat,One carbon pool by folate
R11312__cyto,53.2,0.1355,dlkcat,
R02404__mito,33.83,7.3126,dlkcat,C5-Branched dibasic acid metabolism
R05510__cyto,30.37,17.6401,dlkcat,Chlorocyclohexane and chlorobenzene degradation
R09477__cyto,35.77,7.217,dlkcat,Pentose and glucuronate interconversions
R04430__mito,135.89,13.7,default_13.7,Fatty acid biosynthesis
R05168__cyto,35.215,67.087,dlkcat,Galactose metabolism
R04920__cyto,33.55,0.737,dlkcat,Phosphonate and phosphinate metabolism
R02235__mito,23.52,764.5214,dlkcat,One carbon pool by folate
R05506__cyto,60.042222,44.3308,dlkcat,Degradation of aromatic compounds
R04144__cyto,83.87,5.1465,dlkcat,Biosynthesis of antibiotics
R03758__cyto,45.6025,46.2637,dlkcat,"Glycine, serine and threonine metabolism"
R00708__cyto,64.43,12.2356,dlkcat,Arginine and proline metabolism
R01279__pero,78.966667,33.161,dlkcat,Fatty acid metabolism
R10170__cyto,85.78,7.7564,dlkcat,2-Oxocarboxylic acid metabolism
R05234__cyto,38.4775,14.6019,dlkcat,Microbial metabolism in diverse environments
R03158__cyto,52.66,0.6669,dlkcat,Propanoate metabolism
R00159__cyto,76.445,13.7,default_13.7,Pyrimidine metabolism
R00662__cyto,69.56,13.7,default_13.7,Pyrimidine metabolism
R12404__cyto,38.83,0.6237,dlkcat,Biosynthesis of antibiotics
R10115__cyto,45.16,13.7,default_13.7,Biotin metabolism
R02668__cyto,50.3,16.8214,dlkcat,Tryptophan metabolism
R10548__cyto,85.32,32.384,dlkcat,
R12399__cyto,44.238,1.4741,dlkcat,Steroid biosynthesis
R03492__cyto,63.46,13.7,default_13.7,
R00332__cyto,20.74,12.0198,dlkcat,Purine metabolism
R12024__mito,35.64,25.726,dlkcat,
R01752__cyto,55.306667,24.8172,dlkcat,Glycerolipid metabolism
R04582__cyto,75.8,0.4276,dlkcat,
R04967__mito,135.89,13.7,default_13.7,Fatty acid biosynthesis
R02617__cyto,63.939167,55.6744,dlkcat,
R01086__cyto,52.02,7.5183,dlkcat,Biosynthesis of antibiotics
R10056__cyto,51.377143,90.465,dlkcat,
R02396__cyto,84.97,5.2931,dlkcat,
R00756__cyto,105.19,18.2428,dlkcat,Microbial metabolism in diverse environments
R04863__cyto,154.18,3.9475,dlkcat,Lysine biosynthesis
R10827__cyto,24.525,13.7,default_13.7,Fatty acid elongation
R07497__cyto,24.44,19.2661,dlkcat,Biosynthesis of antibiotics
R01663__cyto,37.79,0.1182,dlkcat,Pyrimidine metabolism
R04941__cyto,45.0,0.6835,dlkcat,Selenocompound metabolism
R11099__pero,16.63,9.9347,dlkcat,Spontaneous
R05046__cyto,31.64,0.8051,dlkcat,Folate biosynthesis
R00582__cyto,34.32,32.509,dlkcat,Biosynthesis of antibiotics
R04536__cyto,152.495,13.7,default_13.7,Fatty acid biosynthesis
R11005__mito,55.935,13.7,default_13.7,
R00405__mito,33.83,0.3385,dlkcat,Biosynthesis of antibiotics
R00770__cyto,91.206667,19.2178,dlkcat,
R08281__mito,38.4775,2.2306,dlkcat,Drug metabolism - cytochrome P450
R02731__cyto,58.688571,49.8024,dlkcat,Fructose and mannose metabolism
R04946__cyto,66.65,2.5966,dlkcat,Selenocompound metabolism
R00014__mito,52.596667,12.9973,dlkcat,Pyruvate metabolism
R00177__cyto,41.95,19.1063,dlkcat,Cysteine and methionine metabolism
R11220__cyto,54.23,13.7,default_13.7,
R00209__mito,46.7225,81.231,dlkcat,Biosynthesis of antibiotics
R01279__cyto,78.966667,33.161,dlkcat,Fatty acid metabolism
R04962__mito,135.89,13.7,default_13.7,Fatty acid biosynthesis
R02326__cyto,16.93,1.0693,dlkcat,Pyrimidine metabolism
R00904__cyto,55.306667,31.4583,dlkcat,beta-Alanine metabolism
R11005__cyto,55.935,13.7,default_13.7,
R00515__cyto,69.56,4.0105,dlkcat,Pyrimidine metabolism
R03450__mito,65.831111,13.7,default_13.7,
R00341__cyto,61.34,0.591,dlkcat,Biosynthesis of antibiotics
R08281__cyto,38.4775,2.2306,dlkcat,Drug metabolism - cytochrome P450
R00925__cyto,74.865,1.2978,dlkcat,
R03970__cyto,63.55,2.8567,dlkcat,Cyanoamino acid metabolism
R00086__cyto,76.445,13.7,default_13.7,Purine metabolism
R03259__cyto,68.285,13.7,default_13.7,
R00236__cyto,74.865,6.5301,dlkcat,Pyruvate metabolism
R04962__cyto,135.89,13.7,default_13.7,Fatty acid biosynthesis
R02731__mito,58.688571,49.8024,dlkcat,Fructose and mannose metabolism
R11220__mito,54.23,13.7,default_13.7,
R08964__cyto,128.86,15.1517,dlkcat,
R01274__cyto,37.3,0.9683,dlkcat,Fatty acid elongation
R09510__cyto,56.985,90.465,dlkcat,
R02283__cyto,49.23,2.167,dlkcat,2-Oxocarboxylic acid metabolism
R04557__cyto,42.41,4.9248,dlkcat,
R00751__cyto,41.945,1.2305,dlkcat,Biosynthesis of antibiotics
R00513__cyto,62.18,42.8154,dlkcat,Pyrimidine metabolism
R03313__cyto,47.47,3.7167,dlkcat,Biosynthesis of antibiotics
R02026__cyto,58.425,5.3715,dlkcat,Cysteine and methionine metabolism
R04355__pero,125.355,13.7,default_13.7,Fatty acid biosynthesis
R04922__cyto,33.55,0.9271,dlkcat,Phosphonate and phosphinate metabolism
R04037__cyto,92.81,1.4458,dlkcat,Histidine metabolism
R04779__cyto,105.19,18.2428,dlkcat,Biosynthesis of antibiotics
R04726__cyto,125.355,13.7,default_13.7,Fatty acid biosynthesis
R02109__cyto,204.68,13.7,default_13.7,
R02340__cyto,75.34,5.4435,dlkcat,Benzoxazinoid biosynthesis
R03066__cyto,83.34,3.3666,dlkcat,Folate biosynthesis
R01574__cyto,73.87,7.2265,dlkcat,
R03777__pero,78.966667,36.739,dlkcat,Fatty acid metabolism
R10951__cyto,268.41,13.7,default_13.7,
R00287__cyto,69.56,3.4552,dlkcat,Pyrimidine metabolism
R04301__cyto,29.65,125.353,dlkcat,Betalain biosynthesis
R02106__cyto,33.92,2.9977,dlkcat,Microbial metabolism in diverse environments
R01880__cyto,62.71,23.1206,dlkcat,Pyrimidine metabolism
R01708__cyto,45.6025,32.8797,dlkcat,Microbial metabolism in diverse environments
R01317__cyto,103.7,13.7,default_13.7,Arachidonic acid metabolism
R01818__cyto,28.71,9.9739,dlkcat,Biosynthesis of antibiotics
R02061__cyto,39.84,0.0227,dlkcat,Biosynthesis of antibiotics
R02687__cyto,70.0175,13.7,default_13.7,Glycerolipid metabolism
R04206__cyto,67.2625,227.8971,dlkcat,
R07888__cyto,78.966667,30.5066,dlkcat,alpha-Linolenic acid metabolism
R9737__mito,39.223571,13.7,default_13.7,Ubiquinone and other terpenoid-quinone biosynthesis
R12329__cyto,32.385,13.7,default_13.7,Fatty acid biosynthesis
R00257__cyto,80.14,24.1489,dlkcat,Nicotinate and nicotinamide metabolism
R04426__cyto,39.45,5.3318,dlkcat,2-Oxocarboxylic acid metabolism
R03013__cyto,36.91,1.2959,dlkcat,Histidine metabolism
R08244__cyto,58.52,4.0597,dlkcat,Drug metabolism - other enzymes
R00424__cyto,31.64,13.7,default_13.7,
R10288__cyto,64.8775,133.1783,dlkcat,
R01926__cyto,53.36,3.6483,dlkcat,Sphingolipid metabolism
R01706__cyto,58.445,13.7,default_13.7,Fatty acid biosynthesis
R04866__cyto,88.146667,13.7,default_13.7,Lysine degradation
R00014__cyto,52.596667,12.9973,dlkcat,Pyruvate metabolism
R03425__mito,113.18,1.0617,dlkcat,"Glycine, serine and threonine metabolism"
R00754__cyto,38.4775,81.0826,dlkcat,Biosynthesis of antibiotics
R03197__cyto,41.03,5.3506,dlkcat,Porphyrin and chlorophyll metabolism
R03643__cyto,23.77,13.7,default_13.7,
R02746__mito,172.52,13.7,default_13.7,Glycerophospholipid metabolism
R10953__cyto,63.24,8.3628,dlkcat,
R01054__cyto,23.2,2.2561,dlkcat,Purine metabolism
R01290__cyto,54.07,0.8018,dlkcat,Biosynthesis of antibiotics
R02715__mito,62.66,55.4228,dlkcat,
R04559__cyto,54.3,35.595,dlkcat,Biosynthesis of antibiotics
R02324__cyto,27.13,39.6021,dlkcat,Nicotinate and nicotinamide metabolism
R00754__mito,38.4775,81.0826,dlkcat,Biosynthesis of antibiotics
R07505__cyto,44.12,3.2457,dlkcat,Biosynthesis of antibiotics
R04506__cyto,55.306667,18.7479,dlkcat,
R03348__mito,25.42,3.7686,dlkcat,Nicotinate and nicotinamide metabolism
R04428__cyto,131.93,13.7,default_13.7,Fatty acid biosynthesis
R08575__cyto,35.86,166.0456,dlkcat,
R07762__pero,40.083333,13.7,default_13.7,Fatty acid biosynthesis
R01007__cyto,44.105,2.3713,dlkcat,
R04444__mito,64.43,6.405,dlkcat,Arginine and proline metabolism
R00897__cyto,45.145,49.9637,dlkcat,Biosynthesis of antibiotics
R10147__cyto,32.63,7.1553,dlkcat,Biosynthesis of antibiotics
R12657__mito,39.63,59.6353,dlkcat,Ubiquinone and other terpenoid-quinone biosynthesis
R08639__cyto,65.64,19.4924,dlkcat,Biosynthesis of antibiotics
R02872__cyto,50.23,21.1365,dlkcat,Biosynthesis of antibiotics
R10700__cyto,229.37,13.7,default_13.7,Fatty acid biosynthesis
R01021__cyto,62.47,2.2583,dlkcat,Glycerophospholipid metabolism
R07389__cyto,33.55,0.8978,dlkcat,Ether lipid metabolism
R10089__cyto,28.955,79.3793,dlkcat,Vitamin B6 metabolism
R11166__cyto,37.35,13.7,default_13.7,
R08306__cyto,38.4775,24.0973,dlkcat,Drug metabolism - cytochrome P450
R02091__cyto,62.71,42.8154,dlkcat,Pyrimidine metabolism
R02746__cyto,172.52,13.7,default_13.7,Glycerophospholipid metabolism
R03361__cyto,130.176667,13.7,default_13.7,Inositol phosphate metabolism
R07330__cyto,38.917143,28.3803,dlkcat,
R00126__cyto,45.36,13.7,default_13.7,Purine metabolism
R05578__cyto,58.44,12.0,dlkcat,Porphyrin and chlorophyll metabolism
R04887__cyto,29.65,6.9676,dlkcat,Tyrosine metabolism
R03530__cyto,16.93,1.1075,dlkcat,Purine metabolism
R04221__cyto,38.9625,148.8254,dlkcat,Arginine and proline metabolism
R04001__cyto,85.78,7.7564,dlkcat,2-Oxocarboxylic acid metabolism
R07116__cyto,30.0625,35.3815,dlkcat,Metabolism of xenobiotics by cytochrome P450
R02098__cyto,23.65,4.0119,dlkcat,Pyrimidine metabolism
R03471__cyto,63.0,4.4104,dlkcat,Thiamine metabolism
R01775__cyto,45.6025,22.1849,dlkcat,Biosynthesis of antibiotics
R00086__mito,76.445,13.7,default_13.7,Purine metabolism
R02096__cyto,62.71,42.8154,dlkcat,Pyrimidine metabolism
R02101__cyto,42.34,27.7277,dlkcat,Pyrimidine metabolism
R01070__cyto,39.37,0.3546,dlkcat,Biosynthesis of antibiotics
R11945__mito,41.941429,61.3479,dlkcat,Oxidative Phosphorilation
R03409__cyto,43.57,0.8364,dlkcat,Purine metabolism
R02748__cyto,33.19,6.226,dlkcat,Purine metabolism
R01496__cyto,62.095,21.0291,dlkcat,Sphingolipid metabolism
R00239__cyto,49.22,7.9075,dlkcat,Biosynthesis of antibiotics
R10035__cyto,90.946667,4.6594,dlkcat,Cyanoamino acid metabolism
R06516__cyto,65.95,93.4618,dlkcat,Sphingolipid metabolism
R00995__pero,69.37,2.2209,dlkcat,C5-Branched dibasic acid metabolism
R02093__cyto,16.93,1.086,dlkcat,Pyrimidine metabolism
R01056__cyto,25.27,15.5369,dlkcat,Biosynthesis of antibiotics
R02047__mito,45.6025,1.4882,dlkcat,
R01665__cyto,32.75,2.0331,dlkcat,Pyrimidine metabolism
R01059__cyto,62.7,11.5141,dlkcat,Fructose and mannose metabolism
R00129__cyto,64.8775,130.2961,dlkcat,
R02372__cyto,62.71,42.8154,dlkcat,Pyrimidine metabolism
R08359__cyto,34.615,9.5941,dlkcat,Glutathione metabolism
R02094__cyto,23.65,4.2423,dlkcat,Pyrimidine metabolism
R01724__cyto,47.45,47.9086,dlkcat,Nicotinate and nicotinamide metabolism
R08091__cyto,60.042222,68.8997,dlkcat,Geraniol degradation
R00191__cyto,65.31,0.9259,dlkcat,Purine metabolism
R03018__cyto,63.24,3.9114,dlkcat,Pantothenate and CoA biosynthesis
R07113__cyto,30.0625,118.2364,dlkcat,Metabolism of xenobiotics by cytochrome P450
R11945__cyto,41.941429,61.3479,dlkcat,Oxidative Phosphorilation
R00569__cyto,76.445,21.5043,dlkcat,Pyrimidine metabolism
R03238__cyto,105.19,18.2428,dlkcat,Galactose metabolism
R07003__cyto,30.0625,35.3815,dlkcat,Metabolism of xenobiotics by cytochrome P450
R07384__cyto,33.55,1.3941,dlkcat,Ether lipid metabolism
R03348__cyto,25.42,3.7686,dlkcat,Nicotinate and nicotinamide metabolism
R07274__cyto,40.09,14.8879,dlkcat,Cysteine and methionine metabolism
R05639__cyto,42.41,0.3891,dlkcat,Biosynthesis of antibiotics
R07494__cyto,38.83,1.088,dlkcat,Biosynthesis of antibiotics
R03458__cyto,45.6025,47.2981,dlkcat,Riboflavin metabolism
R10828__mito,42.41,13.7,default_13.7,Fatty acid elongation
R07896__pero,78.966667,31.591,dlkcat,alpha-Linolenic acid metabolism
R02030__mito,21.09,13.7,default_13.7,Glycerophospholipid metabolism
R01857__cyto,16.93,0.5905,dlkcat,Purine metabolism
R12173__cyto,56.175,14.191,dlkcat,Biosynthesis of unsaturated fatty acids
R00710__cyto,55.306667,16.3985,dlkcat,Biosynthesis of antibiotics
R04420__cyto,44.4,0.3618,dlkcat,Cysteine and methionine metabolism
R02568__cyto,39.37,0.3504,dlkcat,Microbial metabolism in diverse environments
R03304__cyto,29.65,179.9909,dlkcat,Tyrosine metabolism
R00026__cyto,90.946667,19.9237,dlkcat,
R02250__cyto,70.0175,13.7,default_13.7,Glycerolipid metabolism
R00590__pero,35.76,4.7613,dlkcat,Cysteine and methionine metabolism
R10633__cyto,45.78,13.7,default_13.7,Nicotinate and nicotinamide metabolism
R01324__mito,73.98,78.1878,dlkcat,2-Oxocarboxylic acid metabolism
R03422__cyto,59.3125,13.7,default_13.7,
R00275__cyto,27.6,119.1098,dlkcat,
R07394__cyto,27.34,5.5269,dlkcat,Cysteine and methionine metabolism
R00964__cyto,62.18,23.1206,dlkcat,Pyrimidine metabolism
R11218__cyto,54.23,13.7,default_13.7,
R00939__mito,23.52,310.3852,dlkcat,One carbon pool by folate
R09087__cyto,85.32,31.9057,dlkcat,
R12119__cyto,59.65,2.3081,dlkcat,
R02850__cyto,56.2525,22.9348,dlkcat,
